week,vx_manufacturer,dose,birth_cohort,percentage
20201228,Pfizer,1,1950-1959,0.003
20201228,Pfizer,1,1960-1969,0.001
20201228,Pfizer,1,1980-1989,0.002
20201228,Pfizer,1,<1940,0.004
20201228,Pfizer,1,all_birth_cohorts,0.001
20210104,Pfizer,1,1940-1949,0.002
20210104,Pfizer,1,1950-1959,0.014
20210104,Pfizer,1,1960-1969,0.022
20210104,Pfizer,1,1970-1979,0.015
20210104,Pfizer,1,1980-1989,0.012
20210104,Pfizer,1,1990+,0.007
20210104,Pfizer,1,<1940,0.021
20210104,Pfizer,1,all_birth_cohorts,0.013
20210111,Pfizer,1,1940-1949,0.006
20210111,Pfizer,1,1950-1959,0.032
20210111,Pfizer,1,1960-1969,0.046
20210111,Pfizer,1,1970-1979,0.026
20210111,Pfizer,1,1980-1989,0.018
20210111,Pfizer,1,1990+,0.014
20210111,Pfizer,1,<1940,0.025
20210111,Pfizer,1,all_birth_cohorts,0.023
20210118,Moderna,1,1940-1949,0.002
20210118,Moderna,1,1950-1959,0.005
20210118,Pfizer,1,1950-1959,0.034
20210118,Pfizer,2,1950-1959,0.002
20210118,Pfizer,1,1960-1969,0.052
20210118,Moderna,1,1960-1969,0.001
20210118,Pfizer,2,1960-1969,0.002
20210118,Pfizer,1,1970-1979,0.031
20210118,Pfizer,1,1980-1989,0.02
20210118,Pfizer,1,1990+,0.015
20210118,Pfizer,2,<1940,0.002
20210118,Pfizer,1,all_birth_cohorts,0.026
20210118,Moderna,1,all_birth_cohorts,0.001
20210118,Pfizer,2,all_birth_cohorts,0.001
20210125,Pfizer,2,1950-1959,0.012
20210125,Pfizer,1,1950-1959,0.041
20210125,Moderna,1,1950-1959,0.007
20210125,Pfizer,2,1960-1969,0.021
20210125,Moderna,1,1960-1969,0.002
20210125,Pfizer,2,1970-1979,0.012
20210125,Pfizer,2,1980-1989,0.012
20210125,Pfizer,1,1990+,0.016
20210125,Pfizer,2,1990+,0.008
20210125,Pfizer,1,<1940,0.031
20210125,Pfizer,2,<1940,0.021
20210125,Pfizer,2,all_birth_cohorts,0.012
20210125,Pfizer,1,all_birth_cohorts,0.028
20210125,Moderna,1,all_birth_cohorts,0.001
20210201,Pfizer,2,1940-1949,0.004
20210201,Pfizer,2,1950-1959,0.029
20210201,Pfizer,1,1950-1959,0.044
20210201,Moderna,1,1950-1959,0.008
20210201,Pfizer,2,1960-1969,0.042
20210201,Pfizer,2,1970-1979,0.028
20210201,Pfizer,1,1970-1979,0.033
20210201,Pfizer,2,1980-1989,0.018
20210201,Pfizer,2,1990+,0.014
20210201,Pfizer,1,1990+,0.017
20210201,Pfizer,2,<1940,0.025
20210201,Pfizer,1,<1940,0.033
20210201,Pfizer,2,all_birth_cohorts,0.023
20210201,Pfizer,1,all_birth_cohorts,0.029
20210201,Moderna,1,all_birth_cohorts,0.002
20210208,Pfizer,1,1950-1959,0.049
20210208,Pfizer,2,1950-1959,0.034
20210208,Moderna,1,1950-1959,0.01
