DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,495354.13
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,353638.64
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,131450.07
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,161554.34
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,92475.17
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,107188.8
TEST,MIS_KD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,83739.17
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,103246.22
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,32918.72
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,42409.92
TEST,MIS_KD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,495354.13
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,353638.64
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,131450.07
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,161554.34
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,92475.17
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,107188.8
TEST,MYOCARD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,83739.17
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,103246.22
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,32918.72
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,42409.92
TEST,MYOCARD_narrow,Male,70-79,1,0,0,0,1566701.42
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,495354.13
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,353638.64
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,1981416.5
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,131450.07
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,1060915.92
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,161554.34
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,92475.17
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,107188.8
TEST,PERICARD_narrow,Male,50-59,1,0,0,0,1213840.74
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,83739.17
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1604003.83
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,103246.22
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,32918.72
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,42409.92
TEST,PERICARD_narrow,Male,70-79,1,0,0,0,1566701.42
