DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,1418277.07
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,1236113.05
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,417140.32
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,740309.46
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,632564.89
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,1418277.07
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,1236113.05
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,417140.32
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,740309.46
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,632564.89
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,1418277.07
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,1236113.05
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,417140.32
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,3742675.61
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,740309.46
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,683940.72
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,632564.89
