DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,25-29,0,219,0,0,615234.35
TEST,MIS_KD_narrow,Female,30-39,0,378,0,0,356445.3
TEST,MIS_KD_narrow,Male,30-39,0,68,0,0,1981416.5
TEST,MIS_KD_narrow,Female,40-49,0,1025,0,0,131450.07
TEST,MIS_KD_narrow,Female,40-49,1,127,0,0,1060915.92
TEST,MIS_KD_narrow,Male,40-49,0,834,0,0,161554.34
TEST,MIS_KD_narrow,Female,50-59,0,1182,0,0,113990.12
TEST,MIS_KD_narrow,Male,50-59,0,1257,0,0,107188.8
TEST,MIS_KD_narrow,Male,50-59,1,111,0,0,1213840.74
TEST,MIS_KD_narrow,Female,60-69,0,1207,0,0,111629.1
TEST,MIS_KD_narrow,Female,60-69,1,84,0,0,1604003.83
TEST,MIS_KD_narrow,Male,60-69,0,1172,0,0,114962.73
TEST,MIS_KD_narrow,Female,70-79,0,3367,0,0,40016.73
TEST,MIS_KD_narrow,Male,70-79,0,2753,0,0,48941.64
TEST,MIS_KD_narrow,Male,70-79,1,86,0,0,1566701.42
TEST,MYOCARD_narrow,Female,25-29,0,219,0,0,615234.35
TEST,MYOCARD_narrow,Female,30-39,0,378,0,0,356445.3
TEST,MYOCARD_narrow,Male,30-39,0,68,0,0,1981416.5
TEST,MYOCARD_narrow,Female,40-49,0,1025,0,0,131450.07
TEST,MYOCARD_narrow,Female,40-49,1,127,0,0,1060915.92
TEST,MYOCARD_narrow,Male,40-49,0,834,0,0,161554.34
TEST,MYOCARD_narrow,Female,50-59,0,1182,0,0,113990.12
TEST,MYOCARD_narrow,Male,50-59,0,1257,0,0,107188.8
TEST,MYOCARD_narrow,Male,50-59,1,111,0,0,1213840.74
TEST,MYOCARD_narrow,Female,60-69,0,1207,0,0,111629.1
TEST,MYOCARD_narrow,Female,60-69,1,84,0,0,1604003.83
TEST,MYOCARD_narrow,Male,60-69,0,1172,0,0,114962.73
TEST,MYOCARD_narrow,Female,70-79,0,3367,0,0,40016.73
TEST,MYOCARD_narrow,Male,70-79,0,2753,0,0,48941.64
TEST,MYOCARD_narrow,Male,70-79,1,86,0,0,1566701.42
