DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,12-17,0,0,0,0,8982421.47
TEST,MIS_KD_narrow,Male,12-17,0,0,0,0,2323040.04
TEST,MIS_KD_narrow,Female,18-24,0,0,0,0,322335.7
TEST,MIS_KD_narrow,Male,18-24,0,0,0,0,1952700.32
TEST,MIS_KD_narrow,Male,18-24,1,0,0,0,10364332.47
TEST,MIS_KD_narrow,Female,25-29,0,0,0,0,319280.38
TEST,MIS_KD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,MIS_KD_narrow,Male,25-29,0,0,0,0,358341.28
TEST,MIS_KD_narrow,Female,30-39,0,0,0,0,124640.45
TEST,MIS_KD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,MIS_KD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,MIS_KD_narrow,Male,30-39,0,0,0,0,163713.64
TEST,MIS_KD_narrow,Female,40-49,0,0,0,0,49390.15
TEST,MIS_KD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,MIS_KD_narrow,Male,40-49,0,0,0,0,143642.13
TEST,MIS_KD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,MIS_KD_narrow,Female,50-59,1,0,0,0,948847.34
TEST,MIS_KD_narrow,Female,50-59,0,0,0,0,32958.98
TEST,MIS_KD_narrow,Male,50-59,0,0,0,0,70542.58
TEST,MIS_KD_narrow,Female,60-69,0,0,0,0,37762.42
TEST,MIS_KD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,MIS_KD_narrow,Male,60-69,0,0,0,0,35729.6
TEST,MIS_KD_narrow,Male,60-69,1,0,0,0,1952700.32
TEST,MIS_KD_narrow,Female,70-79,0,0,0,0,50425.27
TEST,MIS_KD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,MIS_KD_narrow,Male,70-79,0,0,0,0,63765.42
TEST,MIS_KD_narrow,Female,80+,0,0,0,0,12813.73
TEST,MIS_KD_narrow,Female,80+,1,0,0,0,852761.53
TEST,MIS_KD_narrow,Male,80+,0,0,0,0,18173.23
TEST,MIS_KD_narrow,Male,80+,1,0,0,0,3641522.22
TEST,MYOCARD_narrow,Female,12-17,0,0,0,0,8982421.47
TEST,MYOCARD_narrow,Male,12-17,0,0,0,0,2323040.04
TEST,MYOCARD_narrow,Female,18-24,0,0,0,0,322335.7
TEST,MYOCARD_narrow,Male,18-24,0,0,0,0,1952700.32
TEST,MYOCARD_narrow,Male,18-24,1,0,0,0,10364332.47
TEST,MYOCARD_narrow,Female,25-29,0,0,0,0,319280.38
TEST,MYOCARD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,MYOCARD_narrow,Male,25-29,0,0,0,0,358341.28
TEST,MYOCARD_narrow,Female,30-39,0,0,0,0,124640.45
TEST,MYOCARD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,MYOCARD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,MYOCARD_narrow,Male,30-39,0,0,0,0,163713.64
TEST,MYOCARD_narrow,Female,40-49,0,0,0,0,49390.15
TEST,MYOCARD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,MYOCARD_narrow,Male,40-49,0,0,0,0,152589.27
TEST,MYOCARD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,MYOCARD_narrow,Female,50-59,1,0,0,0,948847.34
TEST,MYOCARD_narrow,Female,50-59,0,0,0,0,32958.98
TEST,MYOCARD_narrow,Male,50-59,0,0,0,0,70542.58
TEST,MYOCARD_narrow,Female,60-69,0,0,0,0,37762.42
TEST,MYOCARD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,MYOCARD_narrow,Male,60-69,0,0,0,0,35729.6
TEST,MYOCARD_narrow,Male,60-69,1,0,0,0,1952700.32
TEST,MYOCARD_narrow,Female,70-79,0,0,0,0,50425.27
TEST,MYOCARD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,MYOCARD_narrow,Male,70-79,0,0,0,0,63765.42
TEST,MYOCARD_narrow,Female,80+,0,0,0,0,12813.73
TEST,MYOCARD_narrow,Female,80+,1,0,0,0,852761.53
TEST,MYOCARD_narrow,Male,80+,0,0,0,0,18173.23
TEST,MYOCARD_narrow,Male,80+,1,0,0,0,3641522.22
TEST,PERICARD_narrow,Female,12-17,0,0,0,0,8982421.47
TEST,PERICARD_narrow,Male,12-17,0,0,0,0,2323040.04
TEST,PERICARD_narrow,Female,18-24,0,0,0,0,322335.7
TEST,PERICARD_narrow,Male,18-24,0,0,0,0,1952700.32
TEST,PERICARD_narrow,Male,18-24,1,0,0,0,10364332.47
TEST,PERICARD_narrow,Female,25-29,0,0,0,0,319280.38
TEST,PERICARD_narrow,Female,25-29,1,0,0,0,1684204.03
TEST,PERICARD_narrow,Male,25-29,0,0,0,0,358341.28
TEST,PERICARD_narrow,Female,30-39,0,0,0,0,124640.45
TEST,PERICARD_narrow,Female,30-39,1,0,0,0,10364332.47
TEST,PERICARD_narrow,Male,30-39,1,0,0,0,774346.68
TEST,PERICARD_narrow,Male,30-39,0,0,0,0,163713.64
TEST,PERICARD_narrow,Female,40-49,0,0,0,0,49390.15
TEST,PERICARD_narrow,Female,40-49,1,0,0,0,874911.18
TEST,PERICARD_narrow,Male,40-49,0,0,0,0,152589.27
TEST,PERICARD_narrow,Male,40-49,1,0,0,0,935668.9
TEST,PERICARD_narrow,Female,50-59,1,0,0,0,948847.34
TEST,PERICARD_narrow,Female,50-59,0,0,0,0,32958.98
TEST,PERICARD_narrow,Male,50-59,0,0,0,0,70542.58
TEST,PERICARD_narrow,Female,60-69,0,0,0,0,37762.42
TEST,PERICARD_narrow,Female,60-69,1,0,0,0,1480618.92
TEST,PERICARD_narrow,Male,60-69,0,0,0,0,35729.6
TEST,PERICARD_narrow,Male,60-69,1,0,0,0,1952700.32
TEST,PERICARD_narrow,Female,70-79,0,0,0,0,50425.27
TEST,PERICARD_narrow,Female,70-79,1,0,0,0,1924804.6
TEST,PERICARD_narrow,Male,70-79,0,0,0,0,63765.42
TEST,PERICARD_narrow,Female,80+,0,0,0,0,12813.73
TEST,PERICARD_narrow,Female,80+,1,0,0,0,852761.53
TEST,PERICARD_narrow,Male,80+,0,0,0,0,18173.23
TEST,PERICARD_narrow,Male,80+,1,0,0,0,3641522.22
