DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,0-4,0,0,0,25431.54
TEST,MIS_KD_narrow,Male,0-4,0,0,0,14407.22
TEST,MIS_KD_narrow,Female,12-17,0,0,0,5734.19
TEST,MIS_KD_narrow,Male,12-17,0,0,0,4319.44
TEST,MIS_KD_narrow,Female,18-24,0,0,0,6061.01
TEST,MIS_KD_narrow,Male,18-24,0,0,0,5281.29
TEST,MIS_KD_narrow,Female,25-29,0,0,0,4624.23
TEST,MIS_KD_narrow,Male,25-29,0,0,0,4938.83
TEST,MIS_KD_narrow,Female,30-39,0,0,0,2141.6
TEST,MIS_KD_narrow,Male,30-39,0,0,0,2700.94
TEST,MIS_KD_narrow,Female,40-49,0,0,0,1402.57
TEST,MIS_KD_narrow,Male,40-49,0,0,0,1681.89
TEST,MIS_KD_narrow,Female,5-11,0,0,0,6630.72
TEST,MIS_KD_narrow,Male,5-11,0,0,0,5166.27
TEST,MIS_KD_narrow,Female,50-59,0,0,0,1347.16
TEST,MIS_KD_narrow,Male,50-59,0,0,0,1330.07
TEST,MIS_KD_narrow,Female,60-69,0,0,0,1519.06
TEST,MIS_KD_narrow,Male,60-69,0,0,0,1649.6
TEST,MIS_KD_narrow,Female,70-79,0,0,0,1938.76
TEST,MIS_KD_narrow,Male,70-79,0,0,0,2292.92
TEST,MIS_KD_narrow,Female,80+,0,0,0,1991.31
TEST,MIS_KD_narrow,Male,80+,0,0,0,2753.71
TEST,MYOCARD_narrow,Female,0-4,0,0,0,25431.54
TEST,MYOCARD_narrow,Male,0-4,0,0,0,14407.22
TEST,MYOCARD_narrow,Female,12-17,0,0,0,5734.19
TEST,MYOCARD_narrow,Male,12-17,0,0,0,4319.44
TEST,MYOCARD_narrow,Female,18-24,0,0,0,6061.01
TEST,MYOCARD_narrow,Male,18-24,0,0,0,5281.29
TEST,MYOCARD_narrow,Female,25-29,0,0,0,4624.23
TEST,MYOCARD_narrow,Male,25-29,0,0,0,4938.83
TEST,MYOCARD_narrow,Female,30-39,0,0,0,2141.6
TEST,MYOCARD_narrow,Male,30-39,0,0,0,2700.94
TEST,MYOCARD_narrow,Female,40-49,0,0,0,1402.57
TEST,MYOCARD_narrow,Male,40-49,2,922.57,111.73,3332.64
TEST,MYOCARD_narrow,Female,5-11,0,0,0,6630.72
TEST,MYOCARD_narrow,Male,5-11,0,0,0,5166.27
TEST,MYOCARD_narrow,Female,50-59,0,0,0,1347.16
TEST,MYOCARD_narrow,Male,50-59,0,0,0,1336.97
TEST,MYOCARD_narrow,Female,60-69,0,0,0,1519.06
TEST,MYOCARD_narrow,Male,60-69,0,0,0,1649.6
TEST,MYOCARD_narrow,Female,70-79,0,0,0,1938.76
TEST,MYOCARD_narrow,Male,70-79,0,0,0,2292.92
TEST,MYOCARD_narrow,Female,80+,0,0,0,1991.31
TEST,MYOCARD_narrow,Male,80+,0,0,0,2753.71
TEST,PERICARD_narrow,Female,0-4,0,0,0,25431.54
TEST,PERICARD_narrow,Male,0-4,0,0,0,14407.22
TEST,PERICARD_narrow,Female,12-17,0,0,0,5734.19
TEST,PERICARD_narrow,Male,12-17,0,0,0,4319.44
TEST,PERICARD_narrow,Female,18-24,0,0,0,6061.01
TEST,PERICARD_narrow,Male,18-24,0,0,0,5281.29
TEST,PERICARD_narrow,Female,25-29,0,0,0,4624.23
TEST,PERICARD_narrow,Male,25-29,0,0,0,4938.83
TEST,PERICARD_narrow,Female,30-39,0,0,0,2141.6
TEST,PERICARD_narrow,Male,30-39,0,0,0,2700.94
TEST,PERICARD_narrow,Female,40-49,0,0,0,1402.57
TEST,PERICARD_narrow,Male,40-49,2,922.57,111.73,3332.64
TEST,PERICARD_narrow,Female,5-11,0,0,0,6630.72
TEST,PERICARD_narrow,Male,5-11,0,0,0,5166.27
TEST,PERICARD_narrow,Female,50-59,0,0,0,1347.16
TEST,PERICARD_narrow,Male,50-59,0,0,0,1336.97
TEST,PERICARD_narrow,Female,60-69,0,0,0,1519.06
TEST,PERICARD_narrow,Male,60-69,0,0,0,1649.6
TEST,PERICARD_narrow,Female,70-79,0,0,0,1938.76
TEST,PERICARD_narrow,Male,70-79,0,0,0,2292.92
TEST,PERICARD_narrow,Female,80+,0,0,0,1991.31
TEST,PERICARD_narrow,Male,80+,0,0,0,2753.71
