 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,55,""
Person years of follow-up,PY,23,""
Month of first diagnosis,01-2021,12,21.8
Month of first diagnosis,02-2021,10,18.2
Month of first diagnosis,03-2021,3,5.5
Month of first diagnosis,04-2020,2,3.6
Month of first diagnosis,04-2021,2,3.6
Month of first diagnosis,05-2020,3,5.5
Month of first diagnosis,06-2020,2,3.6
Month of first diagnosis,07-2020,2,3.6
Month of first diagnosis,09-2020,1,1.8
Month of first diagnosis,10-2020,2,3.6
Month of first diagnosis,11-2020,5,9.1
Month of first diagnosis,12-2020,11,20
Age in years,Min,10,""
Age in years,P25,38,""
Age in years,P50,51,""
Age in years,Mean,51,""
Age in years,P75,63,""
Age in years,Max,88,""
Age in categories,0-4,0,0%
Age in categories,5-11,1,1.8%
Age in categories,12-17,0,0%
Age in categories,18-24,3,5.5%
Age in categories,25-29,1,1.8%
Age in categories,30-39,10,18.2%
Age in categories,40-49,11,20%
Age in categories,50-59,12,21.8%
Age in categories,60-69,8,14.5%
Age in categories,70-79,5,9.1%
Age in categories,80+,4,7.3%
Person years across age categories,0-4,1,4.3%
Person years across age categories,5-11,1,4.3%
Person years across age categories,12-17,1,4.3%
Person years across age categories,18-24,5,21.7%
Person years across age categories,25-29,4,17.4%
Person years across age categories,30-39,6,26.1%
Person years across age categories,40-49,3,13%
Person years across age categories,50-59,1,4.3%
Person years across age categories,60-69,1,4.3%
At risk population at first covid diagnosis,Cardiovascular disease,9,""
At risk population at first covid diagnosis,Cancer,2,""
At risk population at first covid diagnosis,Chronic lung disease,4,""
At risk population at first covid diagnosis,HIV,0,""
At risk population at first covid diagnosis,Chronic kidney disease,0,""
At risk population at first covid diagnosis,Diabetes,5,""
At risk population at first covid diagnosis,Severe obesity,1,""
At risk population at first covid diagnosis,Sickle cell disease,0,""
At risk population at first covid diagnosis,Use of immunosuppressants,9,""
