sex,ageband_at_study_entry,Dose,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,50-59,0,,0,4,1,0,0,0,1943.23,529.47,4975.45,482.14,12.21,2686.31,0,0,1778.23,0,0,1778.23,0,0,1778.23
0,50-59,1,Pfizer,1,0,0,0,0,0,0,0,236794.94,0,0,228366.65,0,0,223073.38,0,0,223073.38,0,0,223073.38
0,50-59,1,Pfizer,2,0,0,0,0,0,0,0,262132.92,0,0,251843.59,0,0,245421.35,0,0,245421.35,0,0,245421.35
0,50-59,1,Pfizer,3,0,0,0,0,0,0,0,344594.17,0,0,333505.75,0,0,323885.39,0,0,323885.39,0,0,323885.39
0,50-59,1,Pfizer,4,0,0,0,0,0,0,0,657250.35,0,0,635548.69,0,0,615234.35,0,0,615234.35,0,0,615234.35
0,50-59,1,Pfizer,5,0,0,0,0,0,0,0,874911.18,0,0,836871.57,0,0,802001.92,0,0,802001.92,0,0,802001.92
0,50-59,1,Pfizer,6,0,0,0,0,0,0,0,1820761.11,0,0,1749822.36,0,0,1604003.83,0,0,1604003.83,0,0,1604003.83
0,40-49,0,,0,4,1,0,0,0,2017.2,549.62,5164.84,503.53,12.75,2805.49,0,0,1851.92,0,0,1851.92,0,0,1851.92
0,40-49,1,Pfizer,1,0,0,0,0,0,0,0,361223.38,0,0,354569.27,0,0,348155.87,0,0,348155.87,0,0,348155.87
0,40-49,1,Pfizer,2,0,0,0,0,0,0,0,409532.89,0,0,401000.96,0,0,392817.27,0,0,392817.27,0,0,392817.27
0,40-49,1,Pfizer,3,0,0,0,0,0,0,0,472759.02,0,0,461425.76,0,0,452135.31,0,0,452135.31,0,0,452135.31
0,40-49,1,Pfizer,4,0,0,0,0,0,0,0,1132238,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89
0,40-49,1,Pfizer,5,0,0,0,0,0,0,0,2641888.67,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04
0,40-49,1,Pfizer,6,0,0,0,0,0,0,0,3454777.49,0,0,2929050.48,0,0,2929050.48,0,0,2929050.48,0,0,2929050.48
1,70-79,0,,0,2,2,2,2,2,1581.31,191.5,5712.22,1581.31,191.5,5712.22,1581.31,191.5,5712.22,1581.31,191.5,5712.22,1581.31,191.5,5712.22
1,70-79,1,Pfizer,1,0,0,0,0,0,0,0,364152.22,0,0,364152.22,0,0,364152.22,0,0,364152.22,0,0,364152.22
1,70-79,1,Pfizer,2,0,0,0,0,0,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78,0,0,372199.78
1,70-79,1,Pfizer,3,0,0,0,0,0,0,0,408291.89,0,0,408291.89,0,0,408291.89,0,0,408291.89,0,0,408291.89
1,30-39,0,,0,3,1,0,0,0,2832.79,584.19,8278.6,938.58,23.76,5229.46,0,0,3460.55,0,0,3460.55,0,0,3460.55
1,30-39,1,Moderna,1,0,0,0,0,0,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71,0,0,2807006.71
1,40-49,0,,0,3,0,0,0,0,1828.26,377.03,5342.95,0,0,2246.13,0,0,2246.13,0,0,2246.13,0,0,2246.13
1,25-29,0,,0,1,0,0,0,0,1974.11,49.98,10999.04,0,0,7268.51,0,0,7268.51,0,0,7268.51,0,0,7268.51
0,80+,0,,0,1,0,0,0,0,711.16,18,3962.31,0,0,2620.26,0,0,2620.26,0,0,2620.26,0,0,2620.26
