Dose,type_vax,week_fup,sex,riskfactor,ADEM_broad_b,ACUASEARTHRITIS_broad_b,DM1_narrow_b,DM1_broad_b,HF_narrow_b,HF_broad_b,CAD_narrow_b,CAD_broad_b,ARR_narrow_b,ARR_broad_b,MYOCARD_narrow_b,MYOCARD_broad_b,PERICARD_narrow_b,PERICARD_broad_b,AKI_narrow_b,AKI_broad_b,MENINGOENC_narrow_b,MENINGOENC_broad_b,ARD_narrow_b,ARD_broad_b,CHILBLAIN_narrow_b,CHILBLAIN_broad_b,MIS_broad_b,Hemostroke_narrow_b,Hemostroke_broad_b,Ischstroke_narrow_b,Ischstroke_broad_b,VTE_narrow_b,VTE_broad_b,CONTRDIVERTIC_b,CONTRHYPERT_b,MIS_KD_narrow_b,MIS_KD_broad_b,DEATH_b,ArterialNoTP_b,VTENoTP_b,ArterialVTENoTP_b,GENCONV_narrow_b,GENCONV_broad_b,ANAPHYL_broad_b,IR_ADEM_broad,lb_ADEM_broad,ub_ADEM_broad,IR_ACUASEARTHRITIS_broad,lb_ACUASEARTHRITIS_broad,ub_ACUASEARTHRITIS_broad,IR_DM1_narrow,lb_DM1_narrow,ub_DM1_narrow,IR_DM1_broad,lb_DM1_broad,ub_DM1_broad,IR_HF_narrow,lb_HF_narrow,ub_HF_narrow,IR_HF_broad,lb_HF_broad,ub_HF_broad,IR_CAD_narrow,lb_CAD_narrow,ub_CAD_narrow,IR_CAD_broad,lb_CAD_broad,ub_CAD_broad,IR_ARR_narrow,lb_ARR_narrow,ub_ARR_narrow,IR_ARR_broad,lb_ARR_broad,ub_ARR_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_broad,lb_MYOCARD_broad,ub_MYOCARD_broad,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_broad,lb_PERICARD_broad,ub_PERICARD_broad,IR_AKI_narrow,lb_AKI_narrow,ub_AKI_narrow,IR_AKI_broad,lb_AKI_broad,ub_AKI_broad,IR_GENCONV_narrow,lb_GENCONV_narrow,ub_GENCONV_narrow,IR_GENCONV_broad,lb_GENCONV_broad,ub_GENCONV_broad,IR_MENINGOENC_narrow,lb_MENINGOENC_narrow,ub_MENINGOENC_narrow,IR_MENINGOENC_broad,lb_MENINGOENC_broad,ub_MENINGOENC_broad,IR_ARD_narrow,lb_ARD_narrow,ub_ARD_narrow,IR_ARD_broad,lb_ARD_broad,ub_ARD_broad,IR_CHILBLAIN_narrow,lb_CHILBLAIN_narrow,ub_CHILBLAIN_narrow,IR_CHILBLAIN_broad,lb_CHILBLAIN_broad,ub_CHILBLAIN_broad,IR_ANAPHYL_broad,lb_ANAPHYL_broad,ub_ANAPHYL_broad,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_Hemostroke_narrow,lb_Hemostroke_narrow,ub_Hemostroke_narrow,IR_Hemostroke_broad,lb_Hemostroke_broad,ub_Hemostroke_broad,IR_Ischstroke_narrow,lb_Ischstroke_narrow,ub_Ischstroke_narrow,IR_Ischstroke_broad,lb_Ischstroke_broad,ub_Ischstroke_broad,IR_VTE_narrow,lb_VTE_narrow,ub_VTE_narrow,IR_VTE_broad,lb_VTE_broad,ub_VTE_broad,IR_CONTRDIVERTIC,lb_CONTRDIVERTIC,ub_CONTRDIVERTIC,IR_CONTRHYPERT,lb_CONTRHYPERT,ub_CONTRHYPERT,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_DEATH,lb_DEATH,ub_DEATH,IR_ArterialNoTP,lb_ArterialNoTP,ub_ArterialNoTP,IR_VTENoTP,lb_VTENoTP,ub_VTENoTP,IR_ArterialVTENoTP,lb_ArterialVTENoTP,ub_ArterialVTENoTP
0,0,0,0,COVCANCER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,13369.33,2757.08,39070.85,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77,0,0,10713.77
0,0,0,0,COVCKD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,122710.68,0,0,122710.68,0,0,73626.41,0,0,92033.01,0,0,122710.68,0,0,122710.68,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,92033.01,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,368132.03,0,0,73626.41,0,0,73626.41,0,0,73626.41,0,0,92033.01,0,0,73626.41,0,0,92033.01
0,0,0,0,COVCOPD,0,1,0,2,1,1,1,1,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,0,1,0,0,0,0,0,6431.33,1753.99,44.41,9772.58,0,0,6431.33,3556.13,430.66,12845.96,1748.61,44.27,9742.64,1748.61,44.27,9742.64,1753.31,44.39,9768.83,1753.31,44.39,9768.83,3548.87,429.78,12819.75,3548.87,429.78,12819.75,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,3567.77,432.07,12888,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,1748.61,44.27,9742.64,1748.61,44.27,9742.64,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,0,0,6431.33,25208.97,11527.15,47854.48,0,0,6431.33,0,0,6431.33,0,0,6431.33,1753.31,44.39,9768.83,0,0,6431.33,1753.31,44.39,9768.83
0,0,0,0,COVDIAB,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,6258.65,1738.46,44.01,9686.07,0,0,6258.65,3976.16,481.53,14363.25,0,0,6258.65,0,0,6366.9,0,0,6258.65,0,0,6661.21,1731.95,43.85,9649.78,1731.95,43.85,9649.78,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6258.65,0,0,6478.95,0,0,6661.21,0,0,6366.9,0,0,6366.9,0,0,6258.65,23381.34,9400.51,48174.51,0,0,6258.65,0,0,6258.65,1696.63,42.95,9453,0,0,6478.95,0,0,6366.9,0,0,6595.02
0,0,0,0,COVHIV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0,0,0,0,COVOBES,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01,0,0,184066.01
0,0,0,0,COVSICKLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0
0,0,0,0,CV,0,1,0,2,4,4,3,4,5,5,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,1,1,1,1,0,28,0,0,2,4,1,5,1,1,0,0,0,1939.13,538.18,13.63,2998.57,0,0,1939.13,1089.27,131.92,3934.83,2191.95,597.23,5612.26,2216.29,603.86,5674.58,1595.79,329.09,4663.58,2210.45,602.27,5659.64,2798.72,908.74,6531.28,2798.72,908.74,6531.28,0,0,1939.13,0,0,1939.13,0,0,1939.13,0,0,1939.13,526.64,13.33,2934.24,1602.98,330.57,4684.59,525.9,13.31,2930.1,525.9,13.31,2930.1,0,0,1939.13,0,0,1939.13,526.14,13.32,2931.45,526.14,13.32,2931.45,0,0,1939.13,0,0,1939.13,0,0,1939.13,0,0,1939.13,0,0,1939.13,0,0,1939.13,536.67,13.59,2990.12,547.13,13.85,3048.39,533.04,13.5,2969.91,533.04,13.5,2969.91,0,0,1939.13,28905.34,19207.39,41776.27,0,0,1939.13,0,0,1939.13,1051.34,127.32,3797.79,2172.78,592.01,5563.18,533.04,13.5,2969.91,2755.36,894.66,6430.08
0,0,0,0,IMMUNOSUPPR,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,9,0,0,0,1,1,2,0,0,0,0,0,5652.4,0,0,5740.54,0,0,5652.4,1537.7,38.93,8567.52,1560.3,39.5,8693.42,1560.3,39.5,8693.42,1539.9,38.99,8579.8,1588.94,40.23,8853.02,1581.44,40.04,8811.23,1581.44,40.04,8811.23,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,3126.87,378.68,11295.34,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,1536.28,38.9,8559.59,1536.28,38.9,8559.59,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,0,0,5652.4,1534.34,38.85,8548.8,1534.34,38.85,8548.8,0,0,5652.4,24064.79,11003.95,45682.46,0,0,5652.4,0,0,5652.4,0,0,5652.4,1539.9,38.99,8579.8,1534.34,38.85,8548.8,3083.97,373.48,11140.36
0,0,0,0,any_risk_factors,0,2,0,5,4,4,3,4,6,6,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,1,1,2,2,0,40,0,0,2,4,2,6,1,1,0,0,0,1187.21,653.7,79.17,2361.4,0,0,1187.21,1665.94,540.93,3887.74,1320.26,359.73,3380.39,1329.05,362.12,3402.9,972.51,200.56,2842.1,1326.95,361.55,3397.52,2016.88,740.16,4389.9,2016.88,740.16,4389.9,0,0,1187.21,0,0,1187.21,0,0,1187.21,0,0,1187.21,322.2,8.16,1795.17,975.18,201.11,2849.89,321.92,8.15,1793.62,321.92,8.15,1793.62,0,0,1187.21,0,0,1187.21,322.01,8.15,1794.13,322.01,8.15,1794.13,0,0,1187.21,0,0,1187.21,0,0,1187.21,0,0,1187.21,0,0,1187.21,0,0,1187.21,325.92,8.25,1815.93,329.75,8.35,1837.26,649.35,78.64,2345.68,649.35,78.64,2345.68,0,0,1187.21,22209.72,15866.95,30243.34,0,0,1187.21,0,0,1187.21,643.67,77.95,2325.15,1313.28,357.83,3362.52,649.35,78.64,2345.68,1987.66,729.44,4326.31
