sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,2020,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76,0,0,1815.76
0,50-59,2021,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11,0,0,5220.11
0,80+,2020,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04,0,0,2474.04
0,80+,2021,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75,0,0,10205.75
0,40-49,2020,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58,0,0,1918.58
0,40-49,2021,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86,0,0,5214.86
0,70-79,2020,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62,0,0,2509.62
0,70-79,2021,15808,15808,15808,15808,15768,15808,15768,15808,15808,15808,15808,15808,15808,0,0,0,1,0,1,0,0,0,0,0,0,0,0,8523.3,0,0,8523.3,0,0,8523.3,2316.4,58.65,12906.16,0,0,8523.3,2316.4,58.65,12906.16,0,0,8523.3,0,0,8523.3,0,0,8523.3,0,0,8523.3,0,0,8523.3,0,0,8523.3
0,30-39,2020,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969,0,0,2969
0,5-11,2020,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76,0,0,9530.76
