sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,2020,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,74204,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2021,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,25811,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,54460,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,13202,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,70227,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,25837,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,53688,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,15808,15808,15808,15808,15768,15808,15768,15808,15808,15808,15808,15808,15808,0,0,0,1,0,1,0,0,0,0,0,0
0,30-39,2020,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,45381,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,14137,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,6183,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,67221,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,21476,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,16516,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,5714,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,20765,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,8372,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,17533,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2020,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,4031,0,0,0,0,0,0,0,0,0,0,0,0
0,0-4,2021,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,1267,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,17041,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,6456,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,45925,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,12837,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,36034,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,13851,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,58284,58284,58284,58284,58284,58284,58284,57720,58284,58284,58284,57720,58284,0,0,0,0,0,0,1,0,0,0,1,0
1,40-49,2021,21826,21826,21826,21826,21826,21826,21826,21461,21826,21826,21826,21461,21826,0,0,0,0,0,0,1,0,0,0,1,0
1,25-29,2020,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,18824,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,8457,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,73482,73482,73482,73482,73482,73482,73482,73116,73482,73482,73482,73116,73482,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,27818,27818,27818,27818,27818,27818,27818,27661,27818,27818,27818,27661,27818,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2020,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,18314,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,7766,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,60890,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,20788,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,18162,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2020,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,40025,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2021,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,8904,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,7350,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,21933,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,9260,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,6501,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,2851,0,0,0,0,0,0,0,0,0,0,0,0
