meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,41011,1
hospitalisation_secondary,ICD9,41401,7
hospitalisation_secondary,ICD9,4149,5
hospitalisation_primary,ICD9,41050,1
hospitalisation_secondary,ICD9,4148,3
hospitalisation_secondary,ICD9,41090,1
hospitalisation_primary,ICD9,41401,3
hospitalisation_primary,ICD9,4111,1
emergency_room_diagnosis,ICD9,41091,2
hospitalisation_primary,ICD9,41041,1
exemption,ICD9,414,3
hospitalisation_primary,ICD9,41071,1
emergency_room_diagnosis,ICD9,4111,1
hospitalisation_primary,ICD9,44021,1
hospitalisation_primary,ICD9,4139,1
hospitalisation_secondary,ICD9,4408,1
hospitalisation_secondary,ICD9,4139,2
hospitalisation_secondary,ICD9,412,1
hospitalisation_primary,ICD9,41021,2
