sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,Pfizer,0,2021,3806,3806,3806,3806,3806,3806,3806,3806,3806,3806,3806,0,0,0,0,0,0,0,0,0,0
1,70-79,Pfizer,0,2021,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,1898,0,0,0,0,0,0,0,0,0,0
1,30-39,Moderna,0,2021,220,220,220,220,220,220,220,220,220,220,220,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,0,2021,9354,9354,9354,9354,9354,9354,9354,9354,9354,9354,9354,0,0,0,0,0,0,0,0,0,0
0,50-59,Pfizer,1,2021,123,123,123,123,123,123,123,123,123,123,123,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,0,2021,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,0,2021,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,2753,0,0,0,0,0,0,0,0,0,0
0,60-69,Moderna,0,2021,957,957,957,957,957,957,957,957,957,957,957,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,0,2021,879,879,879,879,879,879,879,824,879,879,879,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,0,2021,3242,3242,3242,3242,3242,3242,3242,3242,3242,3242,3242,0,0,0,0,0,0,0,0,0,0
1,25-29,Moderna,0,2021,78,78,78,78,78,78,78,78,78,78,78,0,0,0,0,0,0,0,0,0,0
1,50-59,Pfizer,0,2021,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,1720,0,0,0,0,0,0,0,0,0,0
1,80+,Pfizer,0,2021,7194,7194,7194,7194,7180,7194,7180,7194,7194,7194,7194,0,0,0,1,0,1,0,0,0,0
0,70-79,Pfizer,0,2021,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,2490,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,0,2021,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,1257,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,0,2021,503,503,503,503,503,503,503,503,503,503,503,0,0,0,0,0,0,0,0,0,0
0,70-79,AstraZeneca,0,2021,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,3367,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,0,2021,3101,3101,3101,3101,3101,3101,3101,3101,3101,3101,3101,0,0,0,0,0,0,0,0,0,0
1,60-69,Moderna,0,2021,956,956,956,956,956,956,956,956,956,956,956,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,0,2021,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,1207,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,0,2021,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,1006,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,0,2021,323,323,323,323,323,323,323,323,323,323,323,0,0,0,0,0,0,0,0,0,0
1,25-29,Pfizer,0,2021,359,359,359,359,359,359,359,359,359,359,359,0,0,0,0,0,0,0,0,0,0
1,60-69,J&J,0,2021,182,182,182,182,182,182,182,182,182,182,182,0,0,0,0,0,0,0,0,0,0
0,30-39,Moderna,0,2021,303,303,303,303,303,303,303,303,303,303,303,0,0,0,0,0,0,0,0,0,0
1,60-69,AstraZeneca,0,2021,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,1172,0,0,0,0,0,0,0,0,0,0
0,50-59,Moderna,0,2021,871,871,871,871,871,871,871,871,871,871,871,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,0,2021,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,1025,0,0,0,0,0,0,0,0,0,0
0,18-24,Pfizer,0,2021,425,425,425,425,425,425,425,425,425,425,425,0,0,0,0,0,0,0,0,0,0
1,70-79,Moderna,0,2021,653,653,653,653,653,653,653,653,653,653,653,0,0,0,0,0,0,0,0,0,0
0,50-59,AstraZeneca,0,2021,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,1182,0,0,0,0,0,0,0,0,0,0
0,18-24,Moderna,0,2021,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0
0,12-17,Pfizer,0,2021,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0
1,12-17,Pfizer,0,2021,56,56,56,56,56,56,56,56,56,56,56,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,1,2021,102,102,102,102,102,102,102,102,102,102,102,0,0,0,0,0,0,0,0,0,0
0,30-39,Pfizer,1,2021,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,1,2021,174,174,174,174,174,174,174,174,174,174,174,0,0,0,0,0,0,0,0,0,0
1,40-49,AstraZeneca,0,2021,834,834,834,834,834,834,834,834,834,834,834,0,0,0,0,0,0,0,0,0,0
0,50-59,J&J,0,2021,95,95,95,95,95,95,95,95,95,95,95,0,0,0,0,0,0,0,0,0,0
1,70-79,J&J,0,2021,126,126,126,126,126,126,126,126,126,126,126,0,0,0,0,0,0,0,0,0,0
0,70-79,Pfizer,1,2021,70,70,70,70,70,70,70,70,70,70,70,0,0,0,0,0,0,0,0,0,0
0,70-79,J&J,0,2021,197,197,197,197,197,197,197,197,197,197,197,0,0,0,0,0,0,0,0,0,0
1,50-59,Moderna,0,2021,843,843,843,843,843,843,843,819,843,843,843,0,0,0,0,0,0,0,0,0,0
0,80+,Pfizer,1,2021,158,158,158,158,158,158,158,158,158,158,158,0,0,0,0,0,0,0,0,0,0
0,80+,Moderna,0,2021,291,291,291,291,291,291,291,291,291,291,291,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,0,2021,69,69,69,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0
1,40-49,Pfizer,1,2021,144,144,144,144,144,144,144,144,144,144,144,0,0,0,0,0,0,0,0,0,0
1,30-39,Pfizer,0,2021,743,743,743,743,743,743,743,743,743,743,743,0,0,0,0,0,0,0,0,0,0
1,18-24,Moderna,0,2021,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0
0,70-79,Moderna,0,2021,486,486,486,486,486,486,486,486,486,486,486,0,0,0,0,0,0,0,0,0,0
0,25-29,AstraZeneca,0,2021,219,219,219,219,219,219,219,219,219,219,219,0,0,0,0,0,0,0,0,0,0
1,40-49,Moderna,0,2021,488,488,488,488,488,488,488,488,488,488,488,0,0,0,0,0,0,0,0,0,0
0,40-49,AstraZeneca,1,2021,127,127,127,127,127,127,127,127,127,127,127,0,0,0,0,0,0,0,0,0,0
1,30-39,AstraZeneca,0,2021,68,68,68,68,68,68,68,68,68,68,68,0,0,0,0,0,0,0,0,0,0
0,30-39,AstraZeneca,0,2021,378,378,378,378,378,378,378,378,378,378,378,0,0,0,0,0,0,0,0,0,0
0,40-49,Moderna,0,2021,169,169,169,169,169,169,169,169,169,169,169,0,0,0,0,0,0,0,0,0,0
1,50-59,J&J,0,2021,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0
1,70-79,AstraZeneca,1,2021,86,86,86,86,86,86,86,86,86,86,86,0,0,0,0,0,0,0,0,0,0
0,40-49,Pfizer,1,2021,154,154,154,154,154,154,154,154,154,154,154,0,0,0,0,0,0,0,0,0,0
0,25-29,Pfizer,1,2021,80,80,80,80,80,80,80,80,80,80,80,0,0,0,0,0,0,0,0,0,0
0,60-69,J&J,1,2021,36,36,36,36,36,36,36,36,36,36,36,0,0,0,0,0,0,0,0,0,0
0,25-29,Moderna,0,2021,204,204,204,204,204,204,204,204,204,204,204,0,0,0,0,0,0,0,0,0,0
1,60-69,Pfizer,1,2021,69,69,69,69,69,69,69,69,69,69,69,0,0,0,0,0,0,0,0,0,0
0,60-69,AstraZeneca,1,2021,84,84,84,84,84,84,84,84,84,84,84,0,0,0,0,0,0,0,0,0,0
0,60-69,Pfizer,1,2021,91,91,91,91,91,91,91,91,91,91,91,0,0,0,0,0,0,0,0,0,0
1,18-24,Pfizer,1,2021,13,13,13,13,13,13,13,13,13,13,13,0,0,0,0,0,0,0,0,0,0
1,50-59,AstraZeneca,1,2021,111,111,111,111,111,111,111,111,111,111,111,0,0,0,0,0,0,0,0,0,0
