sex,ageband_at_study_entry,Dose,type_vax,week,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,50-59,0,,2020-01-06,0,0,0,0,0,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8
0,40-49,0,,2020-01-06,0,0,0,0,0,0,0,92538.68,0,0,92538.68,0,0,92538.68,0,0,92538.68,0,0,92538.68
1,70-79,0,,2020-01-06,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,30-39,0,,2020-01-06,0,0,0,0,0,0,0,170336.69,0,0,170336.69,0,0,170336.69,0,0,170336.69,0,0,170336.69
1,40-49,0,,2020-01-06,0,0,0,0,0,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73,0,0,109541.73
1,25-29,0,,2020-01-06,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-01-06,0,0,0,0,0,0,0,130180.02,0,0,130180.02,0,0,130180.02,0,0,130180.02,0,0,130180.02
1,50-59,0,,2020-01-06,0,0,0,0,0,0,0,94485.5,0,0,94485.5,0,0,94485.5,0,0,94485.5,0,0,94485.5
1,60-69,0,,2020-01-06,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
1,5-11,0,,2020-01-06,0,0,0,0,0,0,0,337685.02,0,0,337685.02,0,0,337685.02,0,0,337685.02,0,0,337685.02
0,70-79,0,,2020-01-06,0,0,0,0,0,0,0,140496.69,0,0,140496.69,0,0,140496.69,0,0,140496.69,0,0,140496.69
0,30-39,0,,2020-01-06,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,5-11,0,,2020-01-06,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-01-06,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-01-06,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-01-06,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-01-06,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-01-06,0,0,0,0,0,0,0,184823.49,0,0,184823.49,0,0,184823.49,0,0,184823.49,0,0,184823.49
0,25-29,0,,2020-01-06,0,0,0,0,0,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35
1,12-17,0,,2020-01-06,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
1,0-4,0,,2020-01-06,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-01-06,0,0,0,0,0,0,0,356445.3,0,0,356445.3,0,0,356445.3,0,0,356445.3,0,0,356445.3
0,50-59,0,,2020-01-13,0,0,0,0,0,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8
0,40-49,0,,2020-01-13,0,0,0,0,0,0,0,92793.61,0,0,92793.61,0,0,92793.61,0,0,92793.61,0,0,92793.61
1,70-79,0,,2020-01-13,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,30-39,0,,2020-01-13,0,0,0,0,0,0,0,170336.69,0,0,170336.69,0,0,170336.69,0,0,170336.69,0,0,170336.69
1,40-49,0,,2020-01-13,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
1,25-29,0,,2020-01-13,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-01-13,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
1,50-59,0,,2020-01-13,0,0,0,0,0,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96,0,0,94817.96
1,60-69,0,,2020-01-13,0,0,0,0,0,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9,0,0,109363.9
1,5-11,0,,2020-01-13,0,0,0,0,0,0,0,337685.02,0,0,337685.02,0,0,337685.02,0,0,337685.02,0,0,337685.02
0,70-79,0,,2020-01-13,0,0,0,0,0,0,0,140790.31,0,0,140790.31,0,0,140790.31,0,0,140790.31,0,0,140790.31
0,30-39,0,,2020-01-13,0,0,0,0,0,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04,0,0,137486.04
0,5-11,0,,2020-01-13,0,0,0,0,0,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98,0,0,447628.98
0,60-69,0,,2020-01-13,0,0,0,0,0,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73,0,0,99216.73
0,18-24,0,,2020-01-13,0,0,0,0,0,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89,0,0,409532.89
1,18-24,0,,2020-01-13,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,0-4,0,,2020-01-13,0,0,0,0,0,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238,0,0,1132238
1,80+,0,,2020-01-13,0,0,0,0,0,0,0,187916.77,0,0,187916.77,0,0,187916.77,0,0,187916.77,0,0,187916.77
0,25-29,0,,2020-01-13,0,0,0,0,0,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35,0,0,310452.35
1,12-17,0,,2020-01-13,0,0,0,0,0,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11,0,0,343715.11
1,0-4,0,,2020-01-13,0,0,0,0,0,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21,0,0,687430.21
0,12-17,0,,2020-01-13,0,0,0,0,0,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77,0,0,357390.77
0,50-59,0,,2020-01-20,0,0,0,0,0,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8,0,0,89525.8
0,40-49,0,,2020-01-20,0,0,0,0,0,0,0,92985.73,0,0,92985.73,0,0,92985.73,0,0,92985.73,0,0,92985.73
1,70-79,0,,2020-01-20,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,30-39,0,,2020-01-20,0,0,0,0,0,0,0,171420.26,0,0,171420.26,0,0,171420.26,0,0,171420.26,0,0,171420.26
1,40-49,0,,2020-01-20,0,0,0,0,0,0,0,110258.86,0,0,110258.86,0,0,110258.86,0,0,110258.86,0,0,110258.86
1,25-29,0,,2020-01-20,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
0,80+,0,,2020-01-20,0,0,0,0,0,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09,0,0,130939.09
