sex,ageband_at_study_entry,Dose,type_vax,week,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,50-59,0,,2020-01-06,0,0,0,0,0,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83,0,0,109988.83
0,40-49,0,,2020-01-06,0,0,0,0,0,0,0,108135.09,0,0,108135.09,0,0,108135.09,0,0,108135.09,0,0,108135.09
1,70-79,0,,2020-01-06,0,0,0,0,0,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17,0,0,549944.17
0,50-59,0,,2020-01-06,0,0,0,0,0,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01,0,0,19248046.01
1,30-39,0,,2020-01-06,0,0,0,0,0,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24,0,0,174982.24
1,40-49,0,,2020-01-06,0,0,0,0,0,0,0,122822.54,0,0,122822.54,0,0,122822.54,0,0,122822.54,0,0,122822.54
1,25-29,0,,2020-01-06,0,0,0,0,0,0,0,392817.27,0,0,392817.27,0,0,392817.27,0,0,392817.27,0,0,392817.27
0,80+,0,,2020-01-06,0,0,0,0,0,0,0,418435.78,0,0,418435.78,0,0,418435.78,0,0,418435.78,0,0,418435.78
0,80+,0,,2020-01-06,0,0,0,0,0,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68,0,0,363170.68
1,50-59,0,,2020-01-06,0,0,0,0,0,0,0,108308.94,0,0,108308.94,0,0,108308.94,0,0,108308.94,0,0,108308.94
1,60-69,0,,2020-01-06,0,0,0,0,0,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5,0,0,4812011.5
1,5-11,0,,2020-01-06,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
