Dose,sex,ageband_at_study_entry,type_vax,week_fup,CV,COVCANCER,COVCOPD,COVHIV,COVCKD,COVDIAB,COVOBES,COVSICKLE,IMMUNOSUPPR,any_risk_factors,year,Persontime,Persontime_COVID_L1plus,Persontime_COVID_L2plus,Persontime_COVID_L3plus,Persontime_COVID_L4plus,Persontime_COVID_L5plus,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b
0,0,50-59,,0,0,0,0,0,0,0,0,0,0,0,2020,55845,55416,55831,55845,55845,55845,3,1,0,0,0
0,0,50-59,,0,0,0,0,0,0,0,0,0,0,0,2021,20084,19246,19813,20084,20084,20084,3,1,0,0,0
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,449,421,442,449,449,449,0,0,0,0,0
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,394,366,387,394,394,394,0,0,0,0,0
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,296,276,289,296,296,296,0,0,0,0,0
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,166,152,159,166,166,166,0,0,0,0,0
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,123,109,116,123,123,123,0,0,0,0,0
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,58,48,51,58,58,58,0,0,0,0,0
2,0,50-59,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,61,61,61,61,61,61,0,0,0,0,0
0,0,40-49,,0,0,0,0,0,0,0,0,0,0,0,2020,52497,52223,52280,52497,52497,52497,2,1,0,0,0
0,0,40-49,,0,0,0,0,0,0,0,0,0,0,0,2021,20380,19939,20154,20380,20380,20380,3,1,0,0,0
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,0,0,0,2021,296,282,289,296,296,296,0,0,0,0,0
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,0,0,0,2021,275,261,268,275,275,275,0,0,0,0,0
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,0,0,0,2021,238,225,232,238,238,238,0,0,0,0,0
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,0,0,0,2021,111,104,111,111,111,111,0,0,0,0,0
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,0,0,0,2021,51,44,51,51,51,51,0,0,0,0,0
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,0,0,0,2021,39,32,39,39,39,39,0,0,0,0,0
0,1,70-79,,0,1,0,0,0,0,0,0,0,0,1,2020,9629,9629,9629,9629,9629,9629,0,0,0,0,0
0,1,70-79,,0,1,0,0,0,0,0,0,0,0,1,2021,2990,2990,2990,2990,2990,2990,0,0,0,0,0
1,1,70-79,Pfizer,1,1,0,0,0,0,0,0,0,0,1,2021,75,75,75,75,75,75,0,0,0,0,0
1,1,70-79,Pfizer,2,1,0,0,0,0,0,0,0,0,1,2021,63,63,63,63,63,63,0,0,0,0,0
1,1,70-79,Pfizer,3,1,0,0,0,0,0,0,0,0,1,2021,50,50,50,50,50,50,0,0,0,0,0
0,1,30-39,,0,0,0,0,0,0,0,0,0,0,0,2020,32630,32376,32610,32630,32630,32630,3,1,0,0,0
0,1,30-39,,0,0,0,0,0,0,0,0,0,0,0,2021,14101,13555,14094,14101,14101,14101,1,0,0,0,0
