Dose,sex,ageband_at_study_entry,type_vax,week_fup,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,0,50-59,,0,3,1,0,0,0,1783.01,367.7,5210.72,590.35,14.95,3289.22,0,0,2177.24,0,0,2177.24,0,0,2177.24
1,0,50-59,Pfizer,1,0,0,0,0,0,0,0,286064.38,0,0,273854.31,0,0,270012.67,0,0,270012.67,0,0,270012.67
1,0,50-59,Pfizer,2,0,0,0,0,0,0,0,322335.7,0,0,306916.45,0,0,302099.38,0,0,302099.38,0,0,302099.38
1,0,50-59,Pfizer,3,0,0,0,0,0,0,0,434633.3,0,0,417140.32,0,0,408291.89,0,0,408291.89,0,0,408291.89
1,0,50-59,Pfizer,4,0,0,0,0,0,0,0,836871.57,0,0,802001.92,0,0,769921.84,0,0,769921.84,0,0,769921.84
1,0,50-59,Pfizer,5,0,0,0,0,0,0,0,1203002.88,0,0,1132238,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89
1,0,50-59,Pfizer,6,0,0,0,0,0,0,0,2807006.71,0,0,2641888.67,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04
0,0,40-49,,0,2,1,0,0,0,1187.36,143.79,4289.16,593.13,15.02,3304.71,0,0,2180.31,0,0,2180.31,0,0,2180.31
1,0,40-49,Pfizer,1,0,0,0,0,0,0,0,391675.35,0,0,383864.17,0,0,376358.44,0,0,376358.44,0,0,376358.44
1,0,40-49,Pfizer,2,0,0,0,0,0,0,0,437455.59,0,0,427734.36,0,0,418435.78,0,0,418435.78,0,0,418435.78
1,0,40-49,Pfizer,3,0,0,0,0,0,0,0,504630.42,0,0,491738.4,0,0,481201.15,0,0,481201.15,0,0,481201.15
1,0,40-49,Pfizer,4,0,0,0,0,0,0,0,1132238,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89,0,0,1069335.89
1,0,40-49,Pfizer,5,0,0,0,0,0,0,0,2641888.67,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04,0,0,2323040.04
1,0,40-49,Pfizer,6,0,0,0,0,0,0,0,3454777.49,0,0,2929050.48,0,0,2929050.48,0,0,2929050.48,0,0,2929050.48
0,1,70-79,,0,0,0,0,0,0,0,0,11335.72,0,0,11335.72,0,0,11335.72,0,0,11335.72,0,0,11335.72
