sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,January,2020,50-59,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,5921,0,0,0,0,0,0,0,0,0,0,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67,0,0,22755.67
0,February,2020,50-59,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,5519,0,0,0,0,0,0,0,0,0,0,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18,0,0,24413.18
0,March,2020,50-59,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,5868,0,0,0,0,0,0,0,0,0,0,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2,0,0,22961.2
0,April,2020,50-59,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,5660,0,0,0,0,0,0,0,0,0,0,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805,0,0,23805
0,May,2020,50-59,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,5805,0,0,0,0,0,0,0,0,0,0,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39,0,0,23210.39
0,June,2020,50-59,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,5550,0,0,0,0,0,0,0,0,0,0,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81,0,0,24276.81
0,July,2020,50-59,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,5648,0,0,0,0,0,0,0,0,0,0,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58,0,0,23855.58
0,August,2020,50-59,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,5592,0,0,0,0,0,0,0,0,0,0,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48,0,0,24094.48
0,September,2020,50-59,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,5368,0,0,0,0,0,0,0,0,0,0,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91,0,0,25099.91
0,October,2020,50-59,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,5480,0,0,0,0,0,0,0,0,0,0,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92,0,0,24586.92
