sex,Dose,type_vax,week_fup,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,0,CV,1,1,1,1,1,663.91,16.81,3699.07,663.91,16.81,3699.07,663.91,16.81,3699.07,663.91,16.81,3699.07,663.91,16.81,3699.07
1,1,Pfizer,1,CV,0,0,0,0,0,0,0,219083.45,0,0,219083.45,0,0,219083.45,0,0,219083.45,0,0,219083.45
1,1,Pfizer,2,CV,0,0,0,0,0,0,0,221970.88,0,0,221970.88,0,0,221970.88,0,0,221970.88,0,0,221970.88
1,1,Pfizer,3,CV,0,0,0,0,0,0,0,261116.9,0,0,261116.9,0,0,261116.9,0,0,261116.9,0,0,261116.9
0,0,,0,CV,1,1,1,1,1,590.42,14.95,3289.6,590.42,14.95,3289.6,590.42,14.95,3289.6,590.42,14.95,3289.6,590.42,14.95,3289.6
0,1,Pfizer,1,CV,0,0,0,0,0,0,0,183564.47,0,0,181830.39,0,0,180128.77,0,0,180128.77,0,0,180128.77
0,1,Pfizer,2,CV,0,0,0,0,0,0,0,187133.78,0,0,185331.94,0,0,183564.47,0,0,183564.47,0,0,183564.47
0,1,Pfizer,3,CV,0,0,0,0,0,0,0,203529.19,0,0,201399.58,0,0,199314.09,0,0,199314.09,0,0,199314.09
0,2,Pfizer,1,CV,0,0,0,0,0,0,0,249050.5,0,0,245869.2,0,0,245869.2,0,0,245869.2,0,0,245869.2
0,2,Pfizer,2,CV,0,0,0,0,0,0,0,265228.98,0,0,261623.93,0,0,261623.93,0,0,261623.93,0,0,261623.93
0,2,Pfizer,3,CV,0,0,0,0,0,0,0,267333.97,0,0,263671.86,0,0,263671.86,0,0,263671.86,0,0,263671.86
0,2,Pfizer,4,CV,0,0,0,0,0,0,0,266804.6,0,0,263156.88,0,0,263156.88,0,0,263156.88,0,0,263156.88
0,2,Pfizer,5,CV,0,0,0,0,0,0,0,282466.08,0,0,278380.83,0,0,278380.83,0,0,278380.83,0,0,278380.83
0,2,Pfizer,6,CV,0,0,0,0,0,0,0,311889.63,0,0,306916.45,0,0,306916.45,0,0,306916.45,0,0,306916.45
0,2,Pfizer,7,CV,0,0,0,0,0,0,0,324665.84,0,0,321566.4,0,0,321566.4,0,0,321566.4,0,0,321566.4
0,2,Pfizer,8,CV,0,0,0,0,0,0,0,369140.61,0,0,369140.61,0,0,369140.61,0,0,369140.61,0,0,369140.61
0,2,Pfizer,9,CV,0,0,0,0,0,0,0,467834.45,0,0,467834.45,0,0,467834.45,0,0,467834.45,0,0,467834.45
0,2,Pfizer,10,CV,0,0,0,0,0,0,0,647770.78,0,0,647770.78,0,0,647770.78,0,0,647770.78,0,0,647770.78
0,2,Pfizer,11,CV,0,0,0,0,0,0,0,874911.18,0,0,874911.18,0,0,874911.18,0,0,874911.18,0,0,874911.18
0,2,Pfizer,12,CV,0,0,0,0,0,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96,0,0,1259217.96
