DAP,AESI,Month in 2021,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,HF_narrow,January,503,0,0,267865.45,total
TEST,HF_narrow,February,426,0,0,316282.45,total
TEST,HF_narrow,March,327,0,0,412037.68,total
TEST,CAD_narrow,January,503,0,0,267865.45,total
TEST,CAD_narrow,February,426,0,0,316282.45,total
TEST,CAD_narrow,March,327,0,0,412037.68,total
TEST,GENCONV_narrow,January,503,0,0,267865.45,total
TEST,GENCONV_narrow,February,426,0,0,316282.45,total
TEST,GENCONV_narrow,March,327,0,0,412037.68,total
TEST,KD_narrow,January,503,0,0,267865.45,total
TEST,KD_narrow,February,426,0,0,316282.45,total
TEST,KD_narrow,March,327,0,0,412037.68,total
TEST,MISCC_narrow,January,503,0,0,267865.45,total
TEST,MISCC_narrow,February,426,0,0,316282.45,total
TEST,MISCC_narrow,March,327,0,0,412037.68,total
TEST,MIS_narrow,January,503,0,0,267865.45,total
TEST,MIS_narrow,February,426,0,0,316282.45,total
TEST,MIS_narrow,March,327,0,0,412037.68,total
TEST,Ischstroke_narrow,January,503,0,0,267865.45,total
TEST,Ischstroke_narrow,February,426,0,0,316282.45,total
TEST,Ischstroke_narrow,March,327,0,0,412037.68,total
TEST,VTE_narrow,January,503,0,0,267865.45,total
TEST,VTE_narrow,February,426,0,0,316282.45,total
TEST,VTE_narrow,March,327,0,0,412037.68,total
TEST,MIS_KD_narrow,January,503,0,0,267865.45,total
TEST,MIS_KD_narrow,February,426,0,0,316282.45,total
TEST,MIS_KD_narrow,March,327,0,0,412037.68,total
TEST,ArterialNoTP,January,503,0,0,267865.45,total
TEST,ArterialNoTP,February,426,0,0,316282.45,total
TEST,ArterialNoTP,March,327,0,0,412037.68,total
TEST,VTENoTP,January,503,0,0,267865.45,total
TEST,VTENoTP,February,426,0,0,316282.45,total
TEST,VTENoTP,March,327,0,0,412037.68,total
TEST,ArterialVTENoTP,January,503,0,0,267865.45,total
TEST,ArterialVTENoTP,February,426,0,0,316282.45,total
TEST,ArterialVTENoTP,March,327,0,0,412037.68,total
