 ,Parameters,UKN,perc_UKN
"","",N,%
Study population,N,17,100%
Person-years of follow-up,PY,1,100%
Month of first vaccination,"",1,""
January 2021,N,1,5.882%
February 2021,N,1,5.882%
March 2021,N,9,52.941%
April 2021,N,6,35.294%
Age in years,Min,32,""
Age in years,P25,46,""
Age in years,P50,58,""
Age in years,Mean,63,""
Age in years,P75,84,""
Age in years,Max,99,""
Age in categories,30-39,2,11.765%
Age in categories,40-49,4,23.529%
Age in categories,50-59,4,23.529%
Age in categories,60-69,1,5.882%
Age in categories,70-79,1,5.882%
Age in categories,>80,5,29.412%
Person years across age categories,30-39,0,NaN%
Person years across age categories,40-49,0,NaN%
Person years across age categories,50-59,0,NaN%
Person years across age categories,60-69,0,NaN%
Person years across age categories,70-79,0,NaN%
Person years across age categories,>80,0,NaN%
Person years across sex,Female,8,47.059%
Person years across sex,Male,9,52.941%
