DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,AstraZeneca,2020,50,0,0,353,0
TEST,AstraZeneca,2020,50,0,0,353,0
TEST,J&J,2020,50,0,0,353,0
TEST,J&J,2020,50,0,0,353,0
TEST,Moderna,2020,50,0,0,353,0
TEST,Moderna,2020,50,0,0,353,0
TEST,Pfizer,2020,50,0,0,353,0
TEST,Pfizer,2020,50,0,0,353,0
TEST,UKN,2020,50,0,0,353,0
TEST,UKN,2020,50,0,0,353,0
TEST,AstraZeneca,2020,51,0,0,353,0
TEST,AstraZeneca,2020,51,0,0,353,0
TEST,J&J,2020,51,0,0,353,0
TEST,J&J,2020,51,0,0,353,0
TEST,Moderna,2020,51,0,0,353,0
TEST,Moderna,2020,51,0,0,353,0
TEST,Pfizer,2020,51,0,0,353,0
TEST,Pfizer,2020,51,0,0,353,0
TEST,UKN,2020,51,0,0,353,0
TEST,UKN,2020,51,0,0,353,0
TEST,AstraZeneca,2020,52,0,0,352,0
TEST,AstraZeneca,2020,52,0,0,352,0
TEST,J&J,2020,52,0,0,352,0
TEST,J&J,2020,52,0,0,352,0
TEST,Moderna,2020,52,0,0,352,0
TEST,Moderna,2020,52,0,0,352,0
TEST,Pfizer,2020,52,0,0,352,0
TEST,Pfizer,2020,52,0,0,352,0
TEST,UKN,2020,52,0,0,352,0
TEST,UKN,2020,52,0,0,352,0
TEST,AstraZeneca,2021,1,0,0,352,0
TEST,AstraZeneca,2021,1,0,0,352,0
TEST,J&J,2021,1,0,0,352,0
TEST,J&J,2021,1,0,0,352,0
TEST,Moderna,2021,1,0,0,352,0
TEST,Moderna,2021,1,0,0,352,0
TEST,Pfizer,2021,1,1,1,352,0.3
TEST,Pfizer,2021,1,1,0,352,0
TEST,UKN,2021,1,0,0,352,0
TEST,UKN,2021,1,0,0,352,0
TEST,AstraZeneca,2021,2,0,0,352,0
TEST,AstraZeneca,2021,2,0,0,352,0
TEST,J&J,2021,2,0,0,352,0
TEST,J&J,2021,2,0,0,352,0
TEST,Moderna,2021,2,0,0,352,0
TEST,Moderna,2021,2,0,0,352,0
TEST,Pfizer,2021,2,1,1,352,0.3
TEST,Pfizer,2021,2,1,0,352,0
TEST,UKN,2021,2,0,0,352,0
