"",IT-ARS,IT-ARS
"",Narrow,Broad
ACUASEARTHRITIS,"",""
2020,0,3
2021,0,0
ADEM,"",""
2020,0,0
2021,0,0
AKI,"",""
2020,0,0
2021,0,0
ALI,"",""
2020,0,0
2021,0,0
ANAPHYL,"",""
2020,0,1
2021,0,0
ANOSMIA,"",""
2020,0,0
2021,0,0
ARD,"",""
2020,0,0
2021,0,0
ARR,"",""
2020,0,0
2021,0,0
ArterialNoTP,"",""
2020,3,0
2021,0,0
ArterialTP,"",""
2020,0,0
2021,0,0
ArterialVTENoTP,"",""
2020,3,0
2021,0,0
ArterialVTETP,"",""
2020,0,0
2021,0,0
BP,"",""
2020,0,0
2021,0,0
CAD,"",""
2020,2,2
2021,0,0
CHILBLAIN,"",""
2020,0,0
2021,0,0
CONTRDIVERTIC,"",""
2020,0,0
2021,0,0
CONTRHYPERT,"",""
2020,0,0
2021,0,0
CVSTNoTP,"",""
2020,0,0
2021,0,0
CVSTTP,"",""
2020,0,0
2021,0,0
DEATH,"",""
2020,8,0
2021,4,0
DIC,"",""
2020,0,0
2021,0,0
DM,"",""
2020,0,1
2021,0,0
ERYTH,"",""
2020,0,0
2021,0,0
GBS,"",""
2020,0,0
2021,0,0
GENCONV,"",""
2020,0,0
2021,0,0
Hemostroke,"",""
2020,0,0
2021,0,0
HF,"",""
2020,1,1
2021,0,0
Ischstroke,"",""
2020,1,3
2021,0,0
MENINGOENC,"",""
2020,0,0
2021,0,0
MICROANGIO,"",""
2020,0,0
2021,0,0
MIS,"",""
2020,0,0
2021,0,0
MISCC,"",""
2020,0,0
2021,0,0
MYOCARD,"",""
2020,0,0
2021,0,0
Myocardalone,"",""
2020,0,0
2021,0,0
NARCOLEPSY,"",""
2020,0,0
2021,0,0
Sinusthrom,"",""
2020,0,0
2021,0,0
SOCV,"",""
2020,0,0
2021,0,0
STRCARD,"",""
2020,0,0
2021,0,0
SUDDENDEAT,"",""
2020,0,0
2021,0,0
TMA,"",""
2020,0,0
2021,0,0
TP,"",""
2020,0,0
2021,0,0
TRANSMYELITIS,"",""
2020,0,0
2021,0,0
VTE,"",""
2020,0,0
2021,0,0
VTENoTP,"",""
2020,0,0
2021,0,0
VTETP,"",""
2020,0,0
2021,0,0
