datasource,week,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,ADEM_broad,0,0,0,56469.54
TEST,20200113,none,no_dose,CV,ADEM_broad,0,0,0,56922.82
TEST,20200120,none,no_dose,CV,ADEM_broad,0,0,0,57115.86
TEST,20200127,none,no_dose,CV,ADEM_broad,0,0,0,57164.33
TEST,20200203,none,no_dose,CV,ADEM_broad,0,0,0,57285.85
TEST,20200210,none,no_dose,CV,ADEM_broad,0,0,0,57432.36
TEST,20200217,none,no_dose,CV,ADEM_broad,0,0,0,57555.03
TEST,20200224,none,no_dose,CV,ADEM_broad,0,0,0,57826.75
TEST,20200302,none,no_dose,CV,ADEM_broad,0,0,0,57976.04
TEST,20200309,none,no_dose,CV,ADEM_broad,0,0,0,58025.98
TEST,20200316,none,no_dose,CV,ADEM_broad,0,0,0,58151.2
TEST,20200323,none,no_dose,CV,ADEM_broad,0,0,0,58176.3
TEST,20200330,none,no_dose,CV,ADEM_broad,0,0,0,58377.96
TEST,20200406,none,no_dose,CV,ADEM_broad,0,0,0,58708.64
TEST,20200413,none,no_dose,CV,ADEM_broad,0,0,0,58862.53
TEST,20200420,none,no_dose,CV,ADEM_broad,0,0,0,59068.97
TEST,20200427,none,no_dose,CV,ADEM_broad,0,0,0,59224.76
TEST,20200504,none,no_dose,CV,ADEM_broad,0,0,0,59250.8
TEST,20200511,none,no_dose,CV,ADEM_broad,0,0,0,59512.51
TEST,20200518,none,no_dose,CV,ADEM_broad,0,0,0,59591.47
TEST,20200525,none,no_dose,CV,ADEM_broad,0,0,0,59591.47
TEST,20200601,none,no_dose,CV,ADEM_broad,0,0,0,59670.65
TEST,20200608,none,no_dose,CV,ADEM_broad,0,0,0,59776.54
TEST,20200615,none,no_dose,CV,ADEM_broad,0,0,0,59882.81
TEST,20200622,none,no_dose,CV,ADEM_broad,0,0,0,60096.49
TEST,20200629,none,no_dose,CV,ADEM_broad,0,0,0,60150.14
TEST,20200706,none,no_dose,CV,ADEM_broad,0,0,0,60257.75
TEST,20200713,none,no_dose,CV,ADEM_broad,0,0,0,60528.45
TEST,20200720,none,no_dose,CV,ADEM_broad,0,0,0,61021.88
TEST,20200727,none,no_dose,CV,ADEM_broad,0,0,0,61104.91
TEST,20200803,none,no_dose,CV,ADEM_broad,0,0,0,61104.91
TEST,20200810,none,no_dose,CV,ADEM_broad,0,0,0,61104.91
TEST,20200817,none,no_dose,CV,ADEM_broad,0,0,0,61495.35
TEST,20200824,none,no_dose,CV,ADEM_broad,0,0,0,61579.67
TEST,20200831,none,no_dose,CV,ADEM_broad,0,0,0,61692.46
TEST,20200907,none,no_dose,CV,ADEM_broad,0,0,0,61692.46
TEST,20200914,none,no_dose,CV,ADEM_broad,0,0,0,61692.46
TEST,20200921,none,no_dose,CV,ADEM_broad,0,0,0,61862.41
TEST,20200928,none,no_dose,CV,ADEM_broad,0,0,0,62090.47
TEST,20201005,none,no_dose,CV,ADEM_broad,0,0,0,62205.13
TEST,20201012,none,no_dose,CV,ADEM_broad,0,0,0,62291.41
TEST,20201019,none,no_dose,CV,ADEM_broad,0,0,0,62406.82
TEST,20201026,none,no_dose,CV,ADEM_broad,0,0,0,62726.41
TEST,20201102,none,no_dose,CV,ADEM_broad,0,0,0,62902.11
TEST,20201109,none,no_dose,CV,ADEM_broad,0,0,0,63019.8
TEST,20201116,none,no_dose,CV,ADEM_broad,0,0,0,63167.52
TEST,20201123,none,no_dose,CV,ADEM_broad,0,0,0,63375.5
TEST,20201130,none,no_dose,CV,ADEM_broad,0,0,0,63735.25
TEST,20201207,none,no_dose,CV,ADEM_broad,0,0,0,64160.15
TEST,20201214,none,no_dose,CV,ADEM_broad,0,0,0,64313.28
TEST,20201221,none,no_dose,CV,ADEM_broad,0,0,0,64374.74
TEST,20201228,none,no_dose,CV,ADEM_broad,0,0,0,64528.89
TEST,20210104,none,no_dose,CV,ADEM_broad,0,0,0,65058.58
TEST,20210111,none,no_dose,CV,ADEM_broad,0,0,0,65692.99
TEST,20210118,none,no_dose,CV,ADEM_broad,0,0,0,65692.99
TEST,20210125,none,no_dose,CV,ADEM_broad,0,0,0,65692.99
TEST,20210201,none,no_dose,CV,ADEM_broad,0,0,0,65853.53
TEST,20210208,none,no_dose,CV,ADEM_broad,0,0,0,66405.28
TEST,20210215,none,no_dose,CV,ADEM_broad,0,0,0,66767.26
TEST,20210222,none,no_dose,CV,ADEM_broad,0,0,0,67066.36
TEST,20210301,none,no_dose,CV,ADEM_broad,0,0,0,67808.92
TEST,20210308,none,no_dose,CV,ADEM_broad,0,0,0,70839.29
TEST,20210315,none,no_dose,CV,ADEM_broad,0,0,0,75020.22
TEST,20210322,none,no_dose,CV,ADEM_broad,0,0,0,79537.38
TEST,20210329,none,no_dose,CV,ADEM_broad,0,0,0,86702.91
TEST,20210405,none,no_dose,CV,ADEM_broad,0,0,0,99730.81
TEST,20210412,none,no_dose,CV,ADEM_broad,0,0,0,119025.02
TEST,20210419,none,no_dose,CV,ADEM_broad,0,0,0,135141.75
TEST,20210426,none,no_dose,CV,ADEM_broad,0,0,0,151559.42
TEST,20210503,none,no_dose,CV,ADEM_broad,0,0,0,177518.21
TEST,20210510,none,no_dose,CV,ADEM_broad,0,0,0,207606.04
TEST,20210517,none,no_dose,CV,ADEM_broad,0,0,0,247677.06
TEST,20210524,none,no_dose,CV,ADEM_broad,0,0,0,286673.03
TEST,20210531,none,no_dose,CV,ADEM_broad,0,0,0,335164.98
TEST,20210607,none,no_dose,CV,ADEM_broad,0,0,0,417140.32
TEST,20210614,none,no_dose,CV,ADEM_broad,0,0,0,482925.89
TEST,20210621,none,no_dose,CV,ADEM_broad,0,0,0,520217.46
TEST,20210628,none,no_dose,CV,ADEM_broad,0,0,0,1271097.38
TEST,20210315,AstraZeneca,1,CV,ADEM_broad,0,0,0,67368161.03
TEST,20210322,AstraZeneca,1,CV,ADEM_broad,0,0,0,6736816.1
