datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,COVID,Numerator,IR,lb,ub,ageband
TEST,0,none,no_dose,1960-1969,L1,5,1397.23,453.68,3260.67,50-59
TEST,1,Pfizer,1,1960-1969,L1,0,0,0,138617.62,50-59
TEST,2,Pfizer,1,1960-1969,L1,0,0,0,167374.31,50-59
TEST,3,Pfizer,1,1960-1969,L1,0,0,0,220157.39,50-59
TEST,4,Pfizer,1,1960-1969,L1,0,0,0,373230.81,50-59
TEST,5,Pfizer,1,1960-1969,L1,0,0,0,486412.72,50-59
TEST,6,Pfizer,1,1960-1969,L1,0,0,0,1069335.89,50-59
TEST,1,Pfizer,2,1960-1969,L1,0,0,0,1044467.61,50-59
TEST,0,none,no_dose,1970-1979,L1,7,2232.77,897.69,4600.37,40-49
TEST,1,Pfizer,1,1970-1979,L1,0,0,0,233107.82,40-49
TEST,2,Pfizer,1,1970-1979,L1,0,0,0,272194.59,40-49
TEST,3,Pfizer,1,1970-1979,L1,0,0,0,347258.56,40-49
TEST,4,Pfizer,1,1970-1979,L1,0,0,0,712890.59,40-49
TEST,5,Pfizer,1,1970-1979,L1,0,0,0,1548693.36,40-49
TEST,6,Pfizer,1,1970-1979,L1,0,0,0,2449751.31,40-49
TEST,0,none,no_dose,1940-1949,L1,3,1325.5,273.35,3873.67,70-79
TEST,1,Pfizer,1,1940-1949,L1,0,0,0,203222.21,70-79
TEST,2,Pfizer,1,1940-1949,L1,0,0,0,207606.04,70-79
TEST,3,Pfizer,1,1940-1949,L1,0,0,0,232304,70-79
TEST,0,none,no_dose,1980-1989,L1,5,2426.75,787.96,5663.22,30-39
TEST,1,Moderna,1,1980-1989,L1,0,0,0,1044467.61,30-39
TEST,0,none,no_dose,1990+,L1,3,717.19,147.9,2095.93,<30
TEST,0,none,no_dose,<1940,L1,2,955.43,115.71,3451.33,80+
TEST,1,Pfizer,1,<1940,L1,0,0,0,116857.17,80+
TEST,2,Pfizer,1,<1940,L1,0,0,0,117468.46,80+
TEST,3,Pfizer,1,<1940,L1,0,0,0,133402.3,80+
TEST,1,Pfizer,2,<1940,L1,0,0,0,137066.45,80+
TEST,2,Pfizer,2,<1940,L1,0,0,0,138475.15,80+
TEST,3,Pfizer,2,<1940,L1,0,0,0,138475.15,80+
TEST,4,Pfizer,2,<1940,L1,0,0,0,138475.15,80+
TEST,5,Pfizer,2,<1940,L1,0,0,0,138475.15,80+
TEST,6,Pfizer,2,<1940,L1,0,0,0,138475.15,80+
TEST,7,Pfizer,2,<1940,L1,0,0,0,141381.24,80+
TEST,8,Pfizer,2,<1940,L1,0,0,0,148224.78,80+
TEST,9,Pfizer,2,<1940,L1,0,0,0,175666.65,80+
TEST,10,Pfizer,2,<1940,L1,0,0,0,237630.2,80+
TEST,11,Pfizer,2,<1940,L1,0,0,0,326238.07,80+
TEST,12,Pfizer,2,<1940,L1,0,0,0,415852.85,80+
TEST,0,none,no_dose,1950-1959,L1,3,1007.18,207.7,2943.4,60-69
TEST,1,Pfizer,1,1950-1959,L1,0,0,0,150543.38,60-69
TEST,2,Pfizer,1,1950-1959,L1,0,0,0,151559.42,60-69
TEST,3,Pfizer,1,1950-1959,L1,0,0,0,163514.95,60-69
TEST,4,Pfizer,1,1950-1959,L1,0,0,0,271099.24,60-69
TEST,1,Pfizer,2,1950-1959,L1,0,0,0,404613.58,60-69
TEST,2,Pfizer,2,1950-1959,L1,0,0,0,484663.03,60-69
TEST,3,Pfizer,2,1950-1959,L1,0,0,0,493539.64,60-69
TEST,4,Pfizer,2,1950-1959,L1,0,0,0,493539.64,60-69
TEST,5,Pfizer,2,1950-1959,L1,0,0,0,570916.62,60-69
TEST,1,Pfizer,2,1970-1979,L1,0,0,0,962402.3,40-49
TEST,2,Pfizer,2,1970-1979,L1,0,0,0,1151592.5,40-49
TEST,3,Pfizer,2,1970-1979,L1,0,0,0,1203002.88,40-49
TEST,4,Pfizer,2,1970-1979,L1,0,0,0,1203002.88,40-49
TEST,5,Pfizer,2,1970-1979,L1,0,0,0,1203002.88,40-49
TEST,6,Pfizer,2,1970-1979,L1,0,0,0,1247558.54,40-49
TEST,7,Pfizer,2,1970-1979,L1,0,0,0,1283203.07,40-49
TEST,8,Pfizer,2,1970-1979,L1,0,0,0,1334022.99,40-49
TEST,9,Pfizer,2,1970-1979,L1,0,0,0,1374860.43,40-49
TEST,10,Pfizer,2,1970-1979,L1,0,0,0,1374860.43,40-49
TEST,11,Pfizer,2,1970-1979,L1,0,0,0,1374860.43,40-49
TEST,12,Pfizer,2,1970-1979,L1,0,0,0,1418277.07,40-49
TEST,13,Pfizer,2,1970-1979,L1,0,0,0,1585133.2,40-49
TEST,14,Pfizer,2,1970-1979,L1,0,0,0,1604003.83,40-49
TEST,15,Pfizer,2,1970-1979,L1,0,0,0,1604003.83,40-49
TEST,16,Pfizer,2,1970-1979,L1,0,0,0,1871337.81,40-49
TEST,17,Pfizer,2,1970-1979,L1,0,0,0,2406005.75,40-49
TEST,18,Pfizer,2,1970-1979,L1,0,0,0,2406005.75,40-49
TEST,19,Pfizer,2,1970-1979,L1,0,0,0,2406005.75,40-49
TEST,20,Pfizer,2,1970-1979,L1,0,0,0,2495117.08,40-49
TEST,21,Pfizer,2,1970-1979,L1,0,0,0,3133402.84,40-49
TEST,1,AstraZeneca,1,1940-1949,L1,0,0,0,305524.54,70-79
TEST,2,AstraZeneca,1,1940-1949,L1,0,0,0,305524.54,70-79
TEST,3,AstraZeneca,1,1940-1949,L1,0,0,0,305524.54,70-79
TEST,4,AstraZeneca,1,1940-1949,L1,0,0,0,305524.54,70-79
TEST,5,AstraZeneca,1,1940-1949,L1,0,0,0,305524.54,70-79
TEST,6,AstraZeneca,1,1940-1949,L1,0,0,0,309028.26,70-79
TEST,7,AstraZeneca,1,1940-1949,L1,0,0,0,310452.35,70-79
TEST,8,AstraZeneca,1,1940-1949,L1,0,0,0,310452.35,70-79
TEST,9,AstraZeneca,1,1940-1949,L1,0,0,0,338533.47,70-79
TEST,10,AstraZeneca,1,1940-1949,L1,0,0,0,370154.73,70-79
TEST,11,AstraZeneca,1,1940-1949,L1,0,0,0,392817.27,70-79
TEST,12,AstraZeneca,1,1940-1949,L1,0,0,0,471106.02,70-79
TEST,1,AstraZeneca,2,1940-1949,L1,0,0,0,712890.59,70-79
TEST,2,AstraZeneca,2,1940-1949,L1,0,0,0,1433365.13,70-79
TEST,3,AstraZeneca,2,1940-1949,L1,0,0,0,8982421.47,70-79
TEST,13,AstraZeneca,1,1940-1949,L1,0,0,0,3133402.84,70-79
TEST,1,Moderna,1,1950-1959,L1,0,0,0,663725.72,60-69
TEST,2,Moderna,1,1950-1959,L1,0,0,0,663725.72,60-69
TEST,3,Moderna,1,1950-1959,L1,0,0,0,673681.61,60-69
TEST,4,Moderna,1,1950-1959,L1,0,0,0,744399.57,60-69
TEST,5,Moderna,1,1950-1959,L1,0,0,0,1820761.11,60-69
TEST,1,Moderna,2,1950-1959,L1,0,0,0,874911.18,60-69
TEST,2,Moderna,2,1950-1959,L1,0,0,0,942212.04,60-69
TEST,3,Moderna,2,1950-1959,L1,0,0,0,962402.3,60-69
TEST,4,Moderna,2,1950-1959,L1,0,0,0,1069335.89,60-69
TEST,5,Moderna,2,1950-1959,L1,0,0,0,1308119.63,60-69
TEST,6,Moderna,2,1950-1959,L1,0,0,0,1374860.43,60-69
TEST,7,Moderna,2,1950-1959,L1,0,0,0,1433365.13,60-69
TEST,8,Moderna,2,1950-1959,L1,0,0,0,1663411.38,60-69
TEST,9,Moderna,2,1950-1959,L1,0,0,0,1924804.6,60-69
TEST,10,Moderna,2,1950-1959,L1,0,0,0,3641522.22,60-69
TEST,2,Moderna,1,1980-1989,L1,0,0,0,1403503.35,30-39
TEST,3,Moderna,1,1980-1989,L1,0,0,0,3286251.76,30-39
TEST,4,Moderna,1,1980-1989,L1,0,0,0,8421020.13,30-39
TEST,1,Moderna,2,1980-1989,L1,0,0,0,9624023,30-39
TEST,2,Moderna,2,1980-1989,L1,0,0,0,9624023,30-39
TEST,3,Moderna,2,1980-1989,L1,0,0,0,9624023,30-39
TEST,4,Moderna,2,1980-1989,L1,0,0,0,12248756.55,30-39
TEST,1,Pfizer,1,1980-1989,L1,0,0,0,446146.76,30-39
TEST,2,Pfizer,1,1980-1989,L1,0,0,0,534667.94,30-39
TEST,3,Pfizer,1,1980-1989,L1,0,0,0,821562.94,30-39
TEST,4,Pfizer,1,<1940,L1,0,0,0,493539.64,80+
TEST,5,Pfizer,1,<1940,L1,0,0,0,836871.57,80+
TEST,6,Pfizer,1,<1940,L1,0,0,0,858193.13,80+
TEST,7,Pfizer,1,<1940,L1,0,0,0,929216.01,80+
TEST,8,Pfizer,1,<1940,L1,0,0,0,998046.83,80+
TEST,9,Pfizer,1,<1940,L1,0,0,0,1060915.92,80+
TEST,5,Pfizer,1,1950-1959,L1,0,0,0,397452.28,60-69
TEST,1,Moderna,1,1990+,L1,0,0,0,1749822.36,<30
TEST,2,Moderna,1,1990+,L1,0,0,0,1981416.5,<30
TEST,4,Pfizer,1,1940-1949,L1,0,0,0,641601.53,70-79
TEST,5,Pfizer,1,1940-1949,L1,0,0,0,1104396.08,70-79
TEST,6,Pfizer,1,1940-1949,L1,0,0,0,1820761.11,70-79
TEST,1,AstraZeneca,1,1960-1969,L1,0,0,0,601501.44,50-59
TEST,2,AstraZeneca,1,1960-1969,L1,0,0,0,601501.44,50-59
TEST,3,AstraZeneca,1,1960-1969,L1,0,0,0,601501.44,50-59
TEST,4,AstraZeneca,1,1960-1969,L1,0,0,0,609666.62,50-59
TEST,5,AstraZeneca,1,1960-1969,L1,0,0,0,680486.48,50-59
TEST,6,AstraZeneca,1,1960-1969,L1,0,0,0,842102.01,50-59
TEST,7,AstraZeneca,1,1960-1969,L1,0,0,0,955576.75,50-59
TEST,8,AstraZeneca,1,1960-1969,L1,0,0,0,1069335.89,50-59
TEST,9,AstraZeneca,1,1960-1969,L1,0,0,0,1069335.89,50-59
TEST,10,AstraZeneca,1,1960-1969,L1,0,0,0,1069335.89,50-59
TEST,11,AstraZeneca,1,1960-1969,L1,0,0,0,1069335.89,50-59
TEST,12,AstraZeneca,1,1960-1969,L1,0,0,0,1192356.83,50-59
TEST,13,AstraZeneca,1,1960-1969,L1,0,0,0,3849609.2,50-59
TEST,14,AstraZeneca,1,1960-1969,L1,0,0,0,9624023,50-59
TEST,15,AstraZeneca,1,1960-1969,L1,0,0,0,9624023,50-59
TEST,16,AstraZeneca,1,1960-1969,L1,0,0,0,9624023,50-59
TEST,17,AstraZeneca,1,1960-1969,L1,0,0,0,13473632.21,50-59
TEST,1,Pfizer,1,1990+,L1,0,0,0,437455.59,<30
TEST,2,Pfizer,1,1990+,L1,0,0,0,606920.37,<30
TEST,2,Pfizer,2,1960-1969,L1,0,0,0,1203002.88,50-59
TEST,3,Pfizer,2,1960-1969,L1,0,0,0,1203002.88,50-59
TEST,4,Pfizer,2,1960-1969,L1,0,0,0,1203002.88,50-59
TEST,5,Pfizer,2,1960-1969,L1,0,0,0,1548693.36,50-59
TEST,6,Pfizer,2,1960-1969,L1,0,0,0,1845703.04,50-59
TEST,7,Pfizer,2,1960-1969,L1,0,0,0,1952700.32,50-59
TEST,8,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,9,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,10,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,11,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,12,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,13,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,14,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,15,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,16,Pfizer,2,1960-1969,L1,0,0,0,2138671.78,50-59
TEST,17,Pfizer,2,1960-1969,L1,0,0,0,2749720.86,50-59
TEST,18,Pfizer,2,1960-1969,L1,0,0,0,3208007.67,50-59
TEST,19,Pfizer,2,1960-1969,L1,0,0,0,3849609.2,50-59
TEST,20,Pfizer,2,1960-1969,L1,0,0,0,3849609.2,50-59
TEST,21,Pfizer,2,1960-1969,L1,0,0,0,5182166.23,50-59
TEST,22,Pfizer,2,1960-1969,L1,0,0,0,6736816.1,50-59
TEST,6,Pfizer,1,1950-1959,L1,0,0,0,922851.52,60-69
TEST,7,Pfizer,1,1950-1959,L1,0,0,0,6416015.34,60-69
TEST,1,Moderna,1,1960-1969,L1,0,0,0,583274.12,50-59
TEST,2,Moderna,1,1960-1969,L1,0,0,0,583274.12,50-59
TEST,3,Moderna,1,1960-1969,L1,0,0,0,583274.12,50-59
TEST,4,Moderna,1,1960-1969,L1,0,0,0,635548.69,50-59
TEST,5,Moderna,1,1960-1969,L1,0,0,0,1060915.92,50-59
TEST,6,Moderna,1,1960-1969,L1,0,0,0,2041459.43,50-59
TEST,7,Moderna,1,1960-1969,L1,0,0,0,6124378.28,50-59
TEST,8,Moderna,1,1960-1969,L1,0,0,0,6416015.34,50-59
TEST,9,Moderna,1,1960-1969,L1,0,0,0,6416015.34,50-59
TEST,10,Moderna,1,1960-1969,L1,0,0,0,8421020.13,50-59
TEST,11,Moderna,1,1960-1969,L1,0,0,0,9624023,50-59
TEST,12,Moderna,1,1960-1969,L1,0,0,0,9624023,50-59
TEST,13,Moderna,1,1960-1969,L1,0,0,0,13473632.21,50-59
TEST,14,Moderna,1,1960-1969,L1,0,0,0,19248046.01,50-59
TEST,15,Moderna,1,1960-1969,L1,0,0,0,22456053.68,50-59
TEST,1,Pfizer,2,1940-1949,L1,0,0,0,299414.05,70-79
TEST,2,Pfizer,2,1940-1949,L1,0,0,0,309738.67,70-79
TEST,3,Pfizer,2,1940-1949,L1,0,0,0,310452.35,70-79
TEST,4,Pfizer,2,1940-1949,L1,0,0,0,313340.28,70-79
TEST,5,Pfizer,2,1940-1949,L1,0,0,0,358341.28,70-79
TEST,6,Pfizer,2,1940-1949,L1,0,0,0,455190.28,70-79
TEST,7,Pfizer,2,1940-1949,L1,0,0,0,526313.76,70-79
