datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,CV,L1,9,868.68,397.21,1649.02
TEST,1,Pfizer,1,CV,L1,0,0,0,32790.54
TEST,2,Pfizer,1,CV,L1,0,0,0,33391.9
TEST,3,Pfizer,1,CV,L1,0,0,0,37614.83
TEST,1,AstraZeneca,1,CV,L1,0,0,0,168842.51
TEST,2,AstraZeneca,1,CV,L1,0,0,0,169693.1
TEST,3,AstraZeneca,1,CV,L1,0,0,0,170336.69
TEST,4,AstraZeneca,1,CV,L1,0,0,0,170336.69
TEST,5,AstraZeneca,1,CV,L1,0,0,0,171420.26
TEST,6,AstraZeneca,1,CV,L1,0,0,0,173405.82
TEST,7,AstraZeneca,1,CV,L1,0,0,0,177051.67
TEST,8,AstraZeneca,1,CV,L1,0,0,0,186615.4
TEST,9,AstraZeneca,1,CV,L1,0,0,0,206334.34
TEST,10,AstraZeneca,1,CV,L1,0,0,0,227980.24
TEST,11,AstraZeneca,1,CV,L1,0,0,0,241896.45
TEST,12,AstraZeneca,1,CV,L1,0,0,0,291007.18
TEST,1,AstraZeneca,2,CV,L1,0,0,0,352712.88
TEST,4,Pfizer,1,CV,L1,0,0,0,105592.73
TEST,1,Pfizer,2,CV,L1,0,0,0,44927.08
TEST,2,Pfizer,2,CV,L1,0,0,0,46047.96
TEST,3,Pfizer,2,CV,L1,0,0,0,46285.24
TEST,4,Pfizer,2,CV,L1,0,0,0,46444.79
TEST,5,Pfizer,2,CV,L1,0,0,0,48137.31
TEST,6,Pfizer,2,CV,L1,0,0,0,52162.73
TEST,7,Pfizer,2,CV,L1,0,0,0,55310.48
TEST,8,Pfizer,2,CV,L1,0,0,0,64282.6
TEST,9,Pfizer,2,CV,L1,0,0,0,80247.96
TEST,10,Pfizer,2,CV,L1,0,0,0,111536.69
TEST,11,Pfizer,2,CV,L1,0,0,0,154160.55
TEST,12,Pfizer,2,CV,L1,0,0,0,188442.41
TEST,13,Pfizer,2,CV,L1,0,0,0,240600.58
TEST,14,Pfizer,2,CV,L1,0,0,0,453657.65
TEST,15,Pfizer,2,CV,L1,0,0,0,765547.28
TEST,16,Pfizer,2,CV,L1,0,0,0,1122802.68
TEST,17,Pfizer,2,CV,L1,0,0,0,1259217.96
TEST,18,Pfizer,2,CV,L1,0,0,0,1448777.66
TEST,19,Pfizer,2,CV,L1,0,0,0,1480618.92
TEST,20,Pfizer,2,CV,L1,0,0,0,1480618.92
TEST,21,Pfizer,2,CV,L1,0,0,0,1705523.06
TEST,2,AstraZeneca,2,CV,L1,0,0,0,705425.77
TEST,1,Moderna,1,CV,L1,0,0,0,271099.24
TEST,2,Moderna,1,CV,L1,0,0,0,274972.09
TEST,3,Moderna,1,CV,L1,0,0,0,278380.83
TEST,4,Moderna,1,CV,L1,0,0,0,304833.31
TEST,5,Moderna,1,CV,L1,0,0,0,929216.01
TEST,6,Moderna,1,CV,L1,0,0,0,2641888.67
TEST,7,Moderna,1,CV,L1,0,0,0,5389452.88
TEST,8,Moderna,1,CV,L1,0,0,0,7091385.37
TEST,5,Pfizer,1,CV,L1,0,0,0,169266.74
TEST,6,Pfizer,1,CV,L1,0,0,0,223443.32
TEST,7,Pfizer,1,CV,L1,0,0,0,334333.31
TEST,8,Pfizer,1,CV,L1,0,0,0,370154.73
TEST,9,Pfizer,1,CV,L1,0,0,0,440314.78
TEST,10,Pfizer,1,CV,L1,0,0,0,516231.12
TEST,11,Pfizer,1,CV,L1,0,0,0,647770.78
TEST,1,Moderna,2,CV,L1,0,0,0,363170.68
TEST,2,Moderna,2,CV,L1,0,0,0,367128.94
TEST,3,Moderna,2,CV,L1,0,0,0,370154.73
TEST,4,Moderna,2,CV,L1,0,0,0,384960.92
TEST,5,Moderna,2,CV,L1,0,0,0,422370.92
TEST,6,Moderna,2,CV,L1,0,0,0,461425.76
TEST,7,Moderna,2,CV,L1,0,0,0,512305.41
TEST,8,Moderna,2,CV,L1,0,0,0,626680.57
TEST,13,AstraZeneca,1,CV,L1,0,0,0,1924804.6
TEST,3,AstraZeneca,2,CV,L1,0,0,0,2245605.37
TEST,1,UKN,1,CV,L1,0,0,0,1924804.6
TEST,2,UKN,1,CV,L1,0,0,0,1924804.6
TEST,3,UKN,1,CV,L1,0,0,0,2323040.04
TEST,4,UKN,1,CV,L1,0,0,0,2749720.86
TEST,5,UKN,1,CV,L1,0,0,0,2749720.86
TEST,6,UKN,1,CV,L1,0,0,0,2994140.49
TEST,7,UKN,1,CV,L1,0,0,0,3208007.67
TEST,8,UKN,1,CV,L1,0,0,0,3208007.67
TEST,9,UKN,1,CV,L1,0,0,0,3286251.76
