datasource,week_since_vaccination,vx_manufacturer,dose,birth_cohort,COVID,Numerator,IR,lb,ub,ageband
TEST,0,none,no_dose,1960-1969,L1,16,1300.45,743.32,2111.84,50-59
TEST,0,none,no_dose,1990+,L1,22,1449.45,908.36,2194.48,<30
TEST,0,none,no_dose,1940-1949,L1,4,515.05,140.33,1318.72,70-79
TEST,1,AstraZeneca,1,1940-1949,L1,0,0,0,68498.38,70-79
TEST,2,AstraZeneca,1,1940-1949,L1,0,0,0,68848.4,70-79
TEST,3,AstraZeneca,1,1940-1949,L1,0,0,0,68989.41,70-79
TEST,4,AstraZeneca,1,1940-1949,L1,0,0,0,68989.41,70-79
TEST,5,AstraZeneca,1,1940-1949,L1,0,0,0,68989.41,70-79
TEST,6,AstraZeneca,1,1940-1949,L1,0,0,0,68989.41,70-79
TEST,7,AstraZeneca,1,1940-1949,L1,0,0,0,68989.41,70-79
TEST,8,AstraZeneca,1,1940-1949,L1,0,0,0,69273.17,70-79
TEST,9,AstraZeneca,1,1940-1949,L1,0,0,0,77972.41,70-79
TEST,1,Pfizer,1,1960-1969,L1,0,0,0,38828.91,50-59
TEST,2,Pfizer,1,1960-1969,L1,0,0,0,44644.24,50-59
TEST,3,Pfizer,1,1960-1969,L1,0,0,0,57752.39,50-59
TEST,4,Pfizer,1,1960-1969,L1,0,0,0,102617.15,50-59
TEST,5,Pfizer,1,1960-1969,L1,0,0,0,140790.31,50-59
TEST,6,Pfizer,1,1960-1969,L1,0,0,0,261623.93,50-59
TEST,1,Pfizer,2,1960-1969,L1,0,0,0,221241.91,50-59
TEST,0,none,no_dose,1970-1979,L1,20,1738.68,1062.03,2685.25,40-49
TEST,1,Pfizer,1,1970-1979,L1,0,0,0,60692.04,40-49
TEST,2,Pfizer,1,1970-1979,L1,0,0,0,70579.53,40-49
TEST,3,Pfizer,1,1970-1979,L1,0,0,0,88120.55,40-49
TEST,4,Pfizer,1,1970-1979,L1,0,0,0,175437.92,40-49
TEST,5,Pfizer,1,1970-1979,L1,0,0,0,437455.59,40-49
TEST,6,Pfizer,1,1970-1979,L1,0,0,0,716682.56,40-49
TEST,1,Pfizer,1,1940-1949,L1,0,0,0,62697.22,70-79
TEST,2,Pfizer,1,1940-1949,L1,0,0,0,63226.81,70-79
TEST,3,Pfizer,1,1940-1949,L1,0,0,0,69631.17,70-79
TEST,1,AstraZeneca,1,1990+,L1,0,0,0,874911.18,<30
TEST,2,AstraZeneca,1,1990+,L1,0,0,0,874911.18,<30
TEST,3,AstraZeneca,1,1990+,L1,0,0,0,874911.18,<30
TEST,4,AstraZeneca,1,1990+,L1,0,0,0,874911.18,<30
TEST,5,AstraZeneca,1,1990+,L1,0,0,0,874911.18,<30
TEST,6,AstraZeneca,1,1990+,L1,0,0,0,935668.9,<30
TEST,7,AstraZeneca,1,1990+,L1,0,0,0,962402.3,<30
TEST,8,AstraZeneca,1,1990+,L1,0,0,0,983476.8,<30
TEST,9,AstraZeneca,1,1990+,L1,0,0,0,1013055.05,<30
TEST,10,AstraZeneca,1,1990+,L1,0,0,0,1044467.61,<30
TEST,11,AstraZeneca,1,1990+,L1,0,0,0,1069335.89,<30
TEST,12,AstraZeneca,1,1990+,L1,0,0,0,1308119.63,<30
TEST,10,AstraZeneca,1,1940-1949,L1,0,0,0,88934.87,70-79
TEST,11,AstraZeneca,1,1940-1949,L1,0,0,0,95085.62,70-79
TEST,12,AstraZeneca,1,1940-1949,L1,0,0,0,116352.61,70-79
TEST,1,AstraZeneca,2,1940-1949,L1,0,0,0,162725.03,70-79
TEST,0,none,no_dose,1950-1959,L1,13,1406.79,749.06,2405.66,60-69
TEST,1,Pfizer,1,1950-1959,L1,0,0,0,48137.31,60-69
TEST,2,Pfizer,1,1950-1959,L1,0,0,0,48344.57,60-69
TEST,3,Pfizer,1,1950-1959,L1,0,0,0,51702.35,60-69
TEST,4,Pfizer,1,1950-1959,L1,0,0,0,81608.92,60-69
TEST,1,Pfizer,2,1970-1979,L1,0,0,0,223073.38,40-49
TEST,2,Pfizer,2,1970-1979,L1,0,0,0,254219.48,40-49
TEST,3,Pfizer,2,1970-1979,L1,0,0,0,263671.86,40-49
TEST,4,Pfizer,2,1970-1979,L1,0,0,0,263671.86,40-49
TEST,5,Pfizer,2,1970-1979,L1,0,0,0,268934.77,40-49
TEST,6,Pfizer,2,1970-1979,L1,0,0,0,294827.84,40-49
TEST,7,Pfizer,2,1970-1979,L1,0,0,0,327825.6,40-49
TEST,8,Pfizer,2,1970-1979,L1,0,0,0,356445.3,40-49
TEST,9,Pfizer,2,1970-1979,L1,0,0,0,381689.3,40-49
