datasource,week,vx_manufacturer,dose,birth_cohort,COVID,Numerator,IR,lb,ub,ageband
TEST,20200106,none,no_dose,1960-1969,L1,0,0,0,15250.29,50-59
TEST,20200106,none,no_dose,1990+,L1,0,0,0,12118.76,<30
TEST,20200106,none,no_dose,1940-1949,L1,0,0,0,23758.83,70-79
TEST,20200106,none,no_dose,1970-1979,L1,0,0,0,16132.22,40-49
TEST,20200106,none,no_dose,1950-1959,L1,0,0,0,20139.96,60-69
TEST,20200106,none,no_dose,1980-1989,L1,0,0,0,24658.92,30-39
TEST,20200106,none,no_dose,<1940,L1,0,0,0,26850.6,80+
TEST,20200113,none,no_dose,1960-1969,L1,0,0,0,15274.5,50-59
TEST,20200113,none,no_dose,1990+,L1,0,0,0,12130.76,<30
TEST,20200113,none,no_dose,1940-1949,L1,0,0,0,23771.4,70-79
TEST,20200113,none,no_dose,1970-1979,L1,0,0,0,16155.43,40-49
TEST,20200113,none,no_dose,1950-1959,L1,0,0,0,20182.19,60-69
TEST,20200113,none,no_dose,1980-1989,L1,0,0,0,24699.6,30-39
TEST,20200113,none,no_dose,<1940,L1,0,0,0,26995.86,80+
TEST,20200120,none,no_dose,1960-1969,L1,0,0,0,15291.83,50-59
TEST,20200120,none,no_dose,1990+,L1,0,0,0,12165.81,<30
TEST,20200120,none,no_dose,1940-1949,L1,0,0,0,23792.39,70-79
TEST,20200120,none,no_dose,1970-1979,L1,0,0,0,16174.83,40-49
TEST,20200120,none,no_dose,1950-1959,L1,0,0,0,20200.35,60-69
TEST,20200120,none,no_dose,1980-1989,L1,0,0,0,24758.6,30-39
TEST,20200120,none,no_dose,<1940,L1,0,0,0,27066.36,80+
TEST,20200127,none,no_dose,1960-1969,L1,0,0,0,15305.73,50-59
TEST,20200127,none,no_dose,1990+,L1,0,0,0,12194.44,<30
TEST,20200127,none,no_dose,1940-1949,L1,0,0,0,23834.48,70-79
TEST,20200127,none,no_dose,1970-1979,L1,0,0,0,16211.81,40-49
TEST,20200127,none,no_dose,1950-1959,L1,0,0,0,20221.57,60-69
TEST,20200127,none,no_dose,1980-1989,L1,0,0,0,24772.26,30-39
TEST,20200127,none,no_dose,<1940,L1,0,0,0,27181.02,80+
TEST,20200203,none,no_dose,1960-1969,L1,0,0,0,15312.69,50-59
TEST,20200203,none,no_dose,1990+,L1,0,0,0,12222.09,<30
TEST,20200203,none,no_dose,1940-1949,L1,0,0,0,23880.95,70-79
TEST,20200203,none,no_dose,1970-1979,L1,0,0,0,16246.99,40-49
TEST,20200203,none,no_dose,1950-1959,L1,0,0,0,20273.3,60-69
TEST,20200203,none,no_dose,1980-1989,L1,0,0,0,24772.26,30-39
TEST,20200203,none,no_dose,<1940,L1,0,0,0,27224.96,80+
TEST,20200210,none,no_dose,1960-1969,L1,0,0,0,15324.88,50-59
TEST,20200210,none,no_dose,1990+,L1,0,0,0,12252.1,<30
TEST,20200210,none,no_dose,1940-1949,L1,0,0,0,23880.95,70-79
TEST,20200210,none,no_dose,1970-1979,L1,0,0,0,16266.61,40-49
TEST,20200210,none,no_dose,1950-1959,L1,0,0,0,20309.97,60-69
TEST,20200210,none,no_dose,1980-1989,L1,0,0,0,24804.18,30-39
TEST,20200210,none,no_dose,<1940,L1,0,0,0,27302.19,80+
TEST,20200217,none,no_dose,1960-1969,L1,0,0,0,15326.62,50-59
TEST,20200217,none,no_dose,1990+,L1,0,0,0,12264.37,<30
TEST,20200217,none,no_dose,1940-1949,L1,0,0,0,23910.62,70-79
TEST,20200217,none,no_dose,1970-1979,L1,0,0,0,16270.54,40-49
TEST,20200217,none,no_dose,1950-1959,L1,0,0,0,20346.77,60-69
TEST,20200217,none,no_dose,1980-1989,L1,0,0,0,24845.35,30-39
TEST,20200217,none,no_dose,<1940,L1,0,0,0,27363.18,80+
TEST,20200224,none,no_dose,1960-1969,L1,0,0,0,15337.09,50-59
TEST,20200224,none,no_dose,1990+,L1,0,0,0,12276.66,<30
TEST,20200224,none,no_dose,1940-1949,L1,0,0,0,23970.17,70-79
TEST,20200224,none,no_dose,1970-1979,L1,0,0,0,16274.47,40-49
TEST,20200224,none,no_dose,1950-1959,L1,0,0,0,20355.99,60-69
TEST,20200224,none,no_dose,1980-1989,L1,0,0,0,24918.87,30-39
TEST,20200224,none,no_dose,<1940,L1,0,0,0,27435.62,80+
TEST,20200302,none,no_dose,1960-1969,L1,0,0,0,15344.07,50-59
TEST,20200302,none,no_dose,1990+,L1,0,0,0,12312.56,<30
TEST,20200302,none,no_dose,1940-1949,L1,0,0,0,24047.18,70-79
TEST,20200302,none,no_dose,1970-1979,L1,0,0,0,16284.3,40-49
TEST,20200302,none,no_dose,1950-1959,L1,0,0,0,20380.63,60-69
TEST,20200302,none,no_dose,1980-1989,L1,0,0,0,24960.42,30-39
TEST,20200302,none,no_dose,<1940,L1,0,0,0,27497.21,80+
TEST,20200309,none,no_dose,1960-1969,L1,0,0,0,15356.32,50-59
TEST,20200309,none,no_dose,1990+,L1,0,0,0,12335.1,<30
TEST,20200309,none,no_dose,1940-1949,L1,0,0,0,24133.32,70-79
TEST,20200309,none,no_dose,1970-1979,L1,0,0,0,16286.27,40-49
TEST,20200309,none,no_dose,1950-1959,L1,0,0,0,20389.88,60-69
TEST,20200309,none,no_dose,1980-1989,L1,0,0,0,24965.04,30-39
TEST,20200309,none,no_dose,<1940,L1,0,0,0,27643.89,80+
TEST,20200316,none,no_dose,1960-1969,L1,0,0,0,15368.58,50-59
TEST,20200316,none,no_dose,1990+,L1,0,0,0,12349.8,<30
TEST,20200316,none,no_dose,1940-1949,L1,0,0,0,24150.62,70-79
TEST,20200316,none,no_dose,1970-1979,L1,0,0,0,16315.85,40-49
TEST,20200316,none,no_dose,1950-1959,L1,0,0,0,20389.88,60-69
TEST,20200316,none,no_dose,1980-1989,L1,0,0,0,24974.3,30-39
TEST,20200316,none,no_dose,<1940,L1,0,0,0,27734.94,80+
TEST,20200323,none,no_dose,1960-1969,L1,0,0,0,15386.13,50-59
TEST,20200323,none,no_dose,1990+,L1,0,0,0,12364.53,<30
TEST,20200323,none,no_dose,1940-1949,L1,0,0,0,24215.73,70-79
TEST,20200323,none,no_dose,1970-1979,L1,0,0,0,16337.62,40-49
TEST,20200323,none,no_dose,1950-1959,L1,0,0,0,20396.05,60-69
TEST,20200323,none,no_dose,1980-1989,L1,0,0,0,25071.89,30-39
TEST,20200323,none,no_dose,<1940,L1,0,0,0,27763.51,80+
TEST,20200330,none,no_dose,1960-1969,L1,0,0,0,15386.13,50-59
TEST,20200330,none,no_dose,1990+,L1,0,0,0,12381.58,<30
TEST,20200330,none,no_dose,1940-1949,L1,0,0,0,24307.47,70-79
TEST,20200330,none,no_dose,1970-1979,L1,0,0,0,16343.56,40-49
TEST,20200330,none,no_dose,1950-1959,L1,0,0,0,20411.5,60-69
TEST,20200330,none,no_dose,1980-1989,L1,0,0,0,25179.65,30-39
TEST,20200330,none,no_dose,<1940,L1,0,0,0,27815.1,80+
TEST,20200406,none,no_dose,1960-1969,L1,0,0,0,15409,50-59
TEST,20200406,none,no_dose,1990+,L1,0,0,0,12398.67,<30
TEST,20200406,none,no_dose,1940-1949,L1,0,0,0,24333.81,70-79
TEST,20200406,none,no_dose,1970-1979,L1,0,0,0,16377.33,40-49
TEST,20200406,none,no_dose,1950-1959,L1,0,0,0,20411.5,60-69
TEST,20200406,none,no_dose,1980-1989,L1,0,0,0,25231.52,30-39
TEST,20200406,none,no_dose,<1940,L1,0,0,0,27855.35,80+
TEST,20200413,none,no_dose,1960-1969,L1,0,0,0,15435.48,50-59
TEST,20200413,none,no_dose,1990+,L1,0,0,0,12408.94,<30
TEST,20200413,none,no_dose,1940-1949,L1,0,0,0,24342.61,70-79
TEST,20200413,none,no_dose,1970-1979,L1,0,0,0,16395.27,40-49
TEST,20200413,none,no_dose,1950-1959,L1,0,0,0,20439.37,60-69
TEST,20200413,none,no_dose,1980-1989,L1,0,0,0,25312.1,30-39
TEST,20200413,none,no_dose,<1940,L1,0,0,0,27913.06,80+
TEST,20200420,none,no_dose,1960-1969,L1,0,0,0,15437.25,50-59
TEST,20200420,none,no_dose,1990+,L1,0,0,0,12445.62,<30
TEST,20200420,none,no_dose,1940-1949,L1,1,6616.85,167.52,36866.72,70-79
TEST,20200420,none,no_dose,1970-1979,L1,0,0,0,16411.25,40-49
TEST,20200420,none,no_dose,1950-1959,L1,0,0,0,20501.57,60-69
TEST,20200420,none,no_dose,1980-1989,L1,0,0,0,25326.38,30-39
TEST,20200420,none,no_dose,<1940,L1,0,0,0,27942,80+
TEST,20200427,none,no_dose,1960-1969,L1,0,0,0,15467.38,50-59
TEST,20200427,none,no_dose,1990+,L1,0,0,0,12461.74,<30
TEST,20200427,none,no_dose,1940-1949,L1,1,6627.65,167.8,36926.92,70-79
TEST,20200427,none,no_dose,1970-1979,L1,0,0,0,16433.26,40-49
TEST,20200427,none,no_dose,1950-1959,L1,0,0,0,20520.3,60-69
TEST,20200427,none,no_dose,1980-1989,L1,0,0,0,25326.38,30-39
TEST,20200427,none,no_dose,<1940,L1,0,0,0,27976.81,80+
TEST,20200504,none,no_dose,1960-1969,L1,0,0,0,15472.71,50-59
TEST,20200504,none,no_dose,1990+,L1,1,3380.07,85.58,18832.53,<30
TEST,20200504,none,no_dose,1940-1949,L1,0,0,0,24493.06,70-79
TEST,20200504,none,no_dose,1970-1979,L1,0,0,0,16461.37,40-49
TEST,20200504,none,no_dose,1950-1959,L1,0,0,0,20535.94,60-69
TEST,20200504,none,no_dose,1980-1989,L1,0,0,0,25354.97,30-39
TEST,20200504,none,no_dose,<1940,L1,0,0,0,28005.89,80+
TEST,20200511,none,no_dose,1960-1969,L1,0,0,0,15483.37,50-59
TEST,20200511,none,no_dose,1990+,L1,0,0,0,12494.1,<30
TEST,20200511,none,no_dose,1940-1949,L1,0,0,0,24586.92,70-79
TEST,20200511,none,no_dose,1970-1979,L1,0,0,0,16491.59,40-49
TEST,20200511,none,no_dose,1950-1959,L1,0,0,0,20579.86,60-69
TEST,20200511,none,no_dose,1980-1989,L1,0,0,0,25450.76,30-39
TEST,20200511,none,no_dose,<1940,L1,0,0,0,28163.95,80+
TEST,20200518,none,no_dose,1960-1969,L1,0,0,0,15504.76,50-59
TEST,20200518,none,no_dose,1990+,L1,0,0,0,12508.01,<30
TEST,20200518,none,no_dose,1940-1949,L1,0,0,0,24681.5,70-79
TEST,20200518,none,no_dose,1970-1979,L1,1,4490.96,113.7,25022.04,40-49
TEST,20200518,none,no_dose,1950-1959,L1,0,0,0,20630.27,60-69
TEST,20200518,none,no_dose,1980-1989,L1,0,0,0,25494.1,30-39
TEST,20200518,none,no_dose,<1940,L1,0,0,0,28341.67,80+
TEST,20200525,none,no_dose,1960-1969,L1,0,0,0,15510.11,50-59
TEST,20200525,none,no_dose,1990+,L1,0,0,0,12538.28,<30
TEST,20200525,none,no_dose,1940-1949,L1,0,0,0,24758.6,70-79
TEST,20200525,none,no_dose,1970-1979,L1,1,4500.92,113.95,25077.54,40-49
