datasource,week_since_vaccination,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,18-24,L1,0,0,0,17864.8
TEST,0,none,no_dose,40-49,L1,2,3549.91,429.91,12823.49
TEST,0,none,no_dose,80+,L1,1,2880.97,72.94,16051.76
TEST,0,none,no_dose,70-79,L1,1,2328.81,58.96,12975.28
TEST,0,none,no_dose,25-29,L1,1,7720.36,195.46,43015.07
TEST,0,none,no_dose,60-69,L1,2,4017.49,486.54,14512.55
TEST,0,none,no_dose,50-59,L1,3,4436.06,914.82,12964.04
TEST,0,none,no_dose,12-17,L1,0,0,0,17161.68
TEST,0,none,no_dose,30-39,L1,1,2436.46,61.69,13575.1
TEST,1,Pfizer,1,40-49,L1,0,0,0,6416015.34
TEST,2,Pfizer,1,40-49,L1,0,0,0,7091385.37
TEST,3,Pfizer,1,40-49,L1,0,0,0,11228026.84
TEST,0,none,no_dose,5-11,L1,0,0,0,19375.37
TEST,1,Pfizer,1,50-59,L1,0,0,0,3849609.2
TEST,1,Pfizer,1,80+,L1,0,0,0,5858100.96
TEST,2,Pfizer,1,50-59,L1,0,0,0,4812011.5
TEST,3,Pfizer,1,50-59,L1,0,0,0,4812011.5
TEST,4,Pfizer,1,50-59,L1,0,0,0,5614013.42
TEST,1,Pfizer,2,50-59,L1,0,0,0,19248046.01
TEST,2,Pfizer,2,50-59,L1,0,0,0,22456053.68
TEST,5,Pfizer,1,50-59,L1,0,0,0,14970702.45
TEST,2,Pfizer,1,80+,L1,0,0,0,13473632.21
TEST,0,none,no_dose,0-4,L1,0,0,0,97212.35
TEST,1,Pfizer,1,30-39,L1,0,0,0,9624023
TEST,2,Pfizer,1,30-39,L1,0,0,0,9624023
TEST,3,Pfizer,1,30-39,L1,0,0,0,9624023
TEST,4,Pfizer,1,30-39,L1,0,0,0,8982421.47
TEST,1,AstraZeneca,1,40-49,L1,0,0,0,19248046.01
TEST,2,AstraZeneca,1,40-49,L1,0,0,0,19248046.01
TEST,3,Pfizer,1,80+,L1,0,0,0,19248046.01
TEST,4,Pfizer,1,80+,L1,0,0,0,19248046.01
TEST,5,Pfizer,1,80+,L1,0,0,0,26947264.41
TEST,1,AstraZeneca,1,70-79,L1,0,0,0,16842040.26
TEST,4,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,5,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,6,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,7,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,8,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,9,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,11,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,12,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,13,Pfizer,1,40-49,L1,0,0,0,19248046.01
TEST,14,Pfizer,1,40-49,L1,0,0,0,44912107.35
TEST,5,Pfizer,1,30-39,L1,0,0,0,19248046.01
TEST,6,Pfizer,1,30-39,L1,0,0,0,33684080.52
TEST,1,Pfizer,2,30-39,L1,0,0,0,19248046.01
TEST,2,Pfizer,2,30-39,L1,0,0,0,19248046.01
TEST,3,Pfizer,2,30-39,L1,0,0,0,19248046.01
TEST,4,Pfizer,2,30-39,L1,0,0,0,33684080.52
TEST,0,none,no_dose,all_birth_cohorts,L1,11,2969.97,1482.6,5314.1
TEST,1,Pfizer,1,all_birth_cohorts,L1,0,0,0,1448777.66
TEST,2,Pfizer,1,all_birth_cohorts,L1,0,0,0,1897694.68
TEST,3,Pfizer,1,all_birth_cohorts,L1,0,0,0,2208792.16
TEST,4,Pfizer,1,all_birth_cohorts,L1,0,0,0,2542194.76
TEST,1,Pfizer,2,all_birth_cohorts,L1,0,0,0,9624023
TEST,2,Pfizer,2,all_birth_cohorts,L1,0,0,0,10364332.47
TEST,5,Pfizer,1,all_birth_cohorts,L1,0,0,0,4812011.5
TEST,1,AstraZeneca,1,all_birth_cohorts,L1,0,0,0,8982421.47
TEST,2,AstraZeneca,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,6,Pfizer,1,all_birth_cohorts,L1,0,0,0,12248756.55
TEST,7,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,8,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,9,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,11,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,12,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,13,Pfizer,1,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,14,Pfizer,1,all_birth_cohorts,L1,0,0,0,44912107.35
TEST,3,Pfizer,2,all_birth_cohorts,L1,0,0,0,19248046.01
TEST,4,Pfizer,2,all_birth_cohorts,L1,0,0,0,33684080.52
TEST,0,none,no_dose,0-59,L1,7,2881.36,1158.46,5936.71
TEST,1,Pfizer,1,0-59,L1,0,0,0,1924804.6
TEST,2,Pfizer,1,0-59,L1,0,0,0,2208792.16
TEST,3,Pfizer,1,0-59,L1,0,0,0,2495117.08
TEST,4,Pfizer,1,0-59,L1,0,0,0,2929050.48
TEST,1,Pfizer,2,0-59,L1,0,0,0,9624023
TEST,2,Pfizer,2,0-59,L1,0,0,0,10364332.47
TEST,5,Pfizer,1,0-59,L1,0,0,0,5858100.96
TEST,1,AstraZeneca,1,0-59,L1,0,0,0,19248046.01
TEST,2,AstraZeneca,1,0-59,L1,0,0,0,19248046.01
TEST,6,Pfizer,1,0-59,L1,0,0,0,12248756.55
TEST,7,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,8,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,9,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,10,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,11,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,12,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,13,Pfizer,1,0-59,L1,0,0,0,19248046.01
TEST,14,Pfizer,1,0-59,L1,0,0,0,44912107.35
TEST,3,Pfizer,2,0-59,L1,0,0,0,19248046.01
TEST,4,Pfizer,2,0-59,L1,0,0,0,33684080.52
TEST,0,none,no_dose,60+,L1,4,3138.9,855.24,8036.83
TEST,1,Pfizer,1,60+,L1,0,0,0,5858100.96
TEST,2,Pfizer,1,60+,L1,0,0,0,13473632.21
TEST,3,Pfizer,1,60+,L1,0,0,0,19248046.01
TEST,4,Pfizer,1,60+,L1,0,0,0,19248046.01
TEST,5,Pfizer,1,60+,L1,0,0,0,26947264.41
TEST,1,AstraZeneca,1,60+,L1,0,0,0,16842040.26
TEST,0,none,no_dose,18-24,L2,0,0,0,17864.8
TEST,0,none,no_dose,40-49,L2,0,0,0,6506.8
