Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,5,6891,57,66,70,63,24,93
TEST,Pfizer,4,4623,77,82,84,78,27,96
TEST,Moderna,6,707,37,38,47,41,20,65
TEST,Pfizer,3,2196,85,87,90,85,34,96
TEST,Pfizer,6,4779,43,52,58,50,15,84
TEST,Pfizer,1,1455,42,53,62,53,23,91
TEST,AstraZeneca,3,3684,56,75,77,66,35,79
TEST,Moderna,3,696,62,69,74,65,31,83
TEST,AstraZeneca,4,5054,70,73,75,71,27,79
TEST,Moderna,5,1648,53,58,66,56,19,79
TEST,AstraZeneca,5,3402,60,63,69,63,29,79
TEST,J&J,6,365,59,61,64,62,59,78
TEST,Pfizer,2,1007,42,51,61,51,21,92
TEST,J&J,5,404,61,64,65,63,59,68
TEST,AstraZeneca,2,1898,40,47,52,45,26,56
TEST,Moderna,4,1020,52,65,70,62,40,74
TEST,AstraZeneca,6,171,56,60,61,59,49,68
TEST,J&J,4,386,74,74,75,74,71,79
TEST,Moderna,1,87,42,52,57,49,32,62
TEST,Moderna,2,50,50,54,57,54,46,61
