Datasource,Vax_dose1,Month_vax1,Followup_vax1,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,5,6157,56,66,70,63,25,93
TEST,Pfizer,4,4288,78,82,84,79,27,96
TEST,Moderna,6,612,37,38,46,41,20,58
TEST,Pfizer,3,2037,85,88,91,85,34,96
TEST,Pfizer,6,4303,42,52,58,49,15,84
TEST,Pfizer,1,1190,40,54,62,54,23,91
TEST,AstraZeneca,3,3224,56,75,77,66,35,79
TEST,Moderna,3,667,62,69,74,65,31,83
TEST,AstraZeneca,4,4399,70,73,75,70,27,79
TEST,Moderna,5,1540,56,58,66,57,20,79
TEST,Pfizer,2,912,44,52,61,51,21,92
TEST,AstraZeneca,5,2809,60,63,69,62,29,78
TEST,J&J,6,341,59,61,64,61,59,66
TEST,J&J,5,404,61,64,65,63,59,68
TEST,AstraZeneca,2,1755,43,48,52,46,27,54
TEST,Moderna,4,689,52,65,70,62,45,74
TEST,AstraZeneca,6,171,56,60,61,59,49,68
TEST,J&J,4,323,74,74,75,75,71,79
TEST,Moderna,1,87,42,52,57,49,32,62
TEST,Moderna,2,200,37,46,54,45,28,61
