Datasource,Vax_dose2,Month_vax2,Followup_vax2,Age_P25,Age_P50,Age_p75,Age_mean,Age_min,Age_max
TEST,Pfizer,6,526,56,66,72,63,32,82
TEST,Pfizer,5,6702,70,76,82,73,27,93
TEST,Pfizer,4,7404,83,85,88,84,34,95
TEST,Pfizer,2,2815,45,52,61,52,25,80
TEST,AstraZeneca,6,531,71,75,78,73,47,80
TEST,Moderna,4,1501,56,66,72,64,31,83
TEST,Moderna,6,651,47,58,67,54,19,77
TEST,Pfizer,1,2291,35,53,64,52,23,89
TEST,Pfizer,3,3622,48,84,90,70,21,96
TEST,AstraZeneca,5,1102,44,50,54,48,27,61
TEST,Moderna,5,761,53,67,71,62,40,74
TEST,Moderna,2,342,42,52,57,49,32,62
TEST,Moderna,3,204,50,54,57,54,46,61
