datasource,week_since_vaccination,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,50-59,L1,16,1303.63,745.14,2117.02
TEST,1,Pfizer,1,50-59,L1,0,0,0,38873.72
TEST,2,Pfizer,1,50-59,L1,0,0,0,44585.15
TEST,3,Pfizer,1,50-59,L1,0,0,0,57876.43
TEST,0,none,no_dose,18-24,L1,5,1306.69,424.28,3049.37
TEST,0,none,no_dose,70-79,L1,4,515.05,140.33,1318.72
TEST,1,AstraZeneca,1,70-79,L1,0,0,0,68463.58
TEST,2,AstraZeneca,1,70-79,L1,0,0,0,68883.6
TEST,3,AstraZeneca,1,70-79,L1,0,0,0,68989.41
TEST,4,AstraZeneca,1,70-79,L1,0,0,0,68989.41
TEST,5,AstraZeneca,1,70-79,L1,0,0,0,68989.41
TEST,6,AstraZeneca,1,70-79,L1,0,0,0,68989.41
TEST,7,AstraZeneca,1,70-79,L1,0,0,0,68989.41
TEST,8,AstraZeneca,1,70-79,L1,0,0,0,69166.49
TEST,9,AstraZeneca,1,70-79,L1,0,0,0,78108.01
TEST,0,none,no_dose,0-4,L1,1,968.19,24.51,5394.41
TEST,4,Pfizer,1,50-59,L1,0,0,0,104285.08
TEST,5,Pfizer,1,50-59,L1,0,0,0,141085.15
TEST,6,Pfizer,1,50-59,L1,0,0,0,266804.6
TEST,0,none,no_dose,40-49,L1,20,1740.2,1062.96,2687.59
TEST,1,Pfizer,1,40-49,L1,0,0,0,60664.71
TEST,2,Pfizer,1,40-49,L1,0,0,0,70579.53
TEST,3,Pfizer,1,40-49,L1,0,0,0,87321.01
TEST,4,Pfizer,1,40-49,L1,0,0,0,177752.4
TEST,5,Pfizer,1,40-49,L1,0,0,0,450623.15
TEST,6,Pfizer,1,40-49,L1,0,0,0,709138.54
TEST,1,Pfizer,1,70-79,L1,0,0,0,62697.22
TEST,2,Pfizer,1,70-79,L1,0,0,0,63019.8
TEST,3,Pfizer,1,70-79,L1,0,0,0,67945.7
TEST,1,Pfizer,2,50-59,L1,0,0,0,224935.43
TEST,0,none,no_dose,25-29,L1,9,2713.06,1240.58,5150.23
TEST,1,AstraZeneca,1,25-29,L1,0,0,0,1069335.89
TEST,2,AstraZeneca,1,25-29,L1,0,0,0,1069335.89
TEST,3,AstraZeneca,1,25-29,L1,0,0,0,1069335.89
TEST,4,AstraZeneca,1,25-29,L1,0,0,0,1069335.89
TEST,5,AstraZeneca,1,25-29,L1,0,0,0,1069335.89
TEST,6,AstraZeneca,1,25-29,L1,0,0,0,1113523.32
TEST,7,AstraZeneca,1,25-29,L1,0,0,0,1132238
TEST,8,AstraZeneca,1,25-29,L1,0,0,0,1161520.02
TEST,9,AstraZeneca,1,25-29,L1,0,0,0,1203002.88
TEST,10,AstraZeneca,1,25-29,L1,0,0,0,1247558.54
TEST,11,AstraZeneca,1,25-29,L1,0,0,0,1283203.07
TEST,12,AstraZeneca,1,25-29,L1,0,0,0,1604003.83
TEST,10,AstraZeneca,1,70-79,L1,0,0,0,88642.32
TEST,11,AstraZeneca,1,70-79,L1,0,0,0,95354.79
TEST,12,AstraZeneca,1,70-79,L1,0,0,0,113605.67
TEST,1,AstraZeneca,2,70-79,L1,0,0,0,162921.79
TEST,0,none,no_dose,60-69,L1,13,1403.75,747.44,2400.45
TEST,1,Pfizer,1,60-69,L1,0,0,0,48017.22
TEST,2,Pfizer,1,60-69,L1,0,0,0,48137.31
TEST,3,Pfizer,1,60-69,L1,0,0,0,51172.17
TEST,1,Pfizer,2,40-49,L1,0,0,0,223073.38
TEST,2,Pfizer,2,40-49,L1,0,0,0,254700.04
TEST,3,Pfizer,2,40-49,L1,0,0,0,263671.86
TEST,4,Pfizer,2,40-49,L1,0,0,0,263671.86
TEST,5,Pfizer,2,40-49,L1,0,0,0,268934.77
TEST,6,Pfizer,2,40-49,L1,0,0,0,294184.11
TEST,7,Pfizer,2,40-49,L1,0,0,0,328625.18
TEST,8,Pfizer,2,40-49,L1,0,0,0,356445.3
TEST,9,Pfizer,2,40-49,L1,0,0,0,381689.3
TEST,10,Pfizer,2,40-49,L1,0,0,0,384960.92
TEST,11,Pfizer,2,40-49,L1,0,0,0,384960.92
TEST,12,Pfizer,2,40-49,L1,0,0,0,389411.34
TEST,13,Pfizer,2,40-49,L1,0,0,0,409532.89
TEST,14,Pfizer,2,40-49,L1,0,0,0,412037.68
TEST,15,Pfizer,2,40-49,L1,0,0,0,426380.77
TEST,16,Pfizer,2,40-49,L1,0,0,0,486412.72
TEST,17,Pfizer,2,40-49,L1,0,0,0,701751.68
TEST,18,Pfizer,2,40-49,L1,0,0,0,826603.2
TEST,19,Pfizer,2,40-49,L1,0,0,0,836871.57
TEST,20,Pfizer,2,40-49,L1,0,0,0,847398.25
TEST,21,Pfizer,2,40-49,L1,0,0,0,1077890.58
TEST,22,Pfizer,2,40-49,L1,0,0,0,2641888.67
TEST,4,Pfizer,1,60-69,L1,0,0,0,82106.23
