datasource,week_since_vaccination,vx_manufacturer,dose,ageband,AESI,Numerator,IR,lb,ub
TEST,0,none,no_dose,0-4,ADEM_broad,0,0,0,3570.69
TEST,0,none,no_dose,5-11,ADEM_broad,0,0,0,1231.86
TEST,0,none,no_dose,12-17,ADEM_broad,0,0,0,1081.85
TEST,0,none,no_dose,18-24,ADEM_broad,0,0,0,962.64
TEST,0,none,no_dose,25-29,ADEM_broad,0,0,0,1107.3
TEST,0,none,no_dose,30-39,ADEM_broad,0,0,0,494.08
TEST,0,none,no_dose,40-49,ADEM_broad,1,86.83,2.2,483.76
TEST,0,none,no_dose,50-59,ADEM_broad,0,0,0,300.24
TEST,0,none,no_dose,60-69,ADEM_broad,0,0,0,397.68
TEST,0,none,no_dose,70-79,ADEM_broad,0,0,0,474.73
TEST,0,none,no_dose,80+,ADEM_broad,0,0,0,549.57
TEST,0,none,no_dose,all_birth_cohorts,ADEM_broad,1,14.36,0.36,80.02
TEST,0,none,no_dose,0-59,ADEM_broad,1,21.8,0.55,121.46
TEST,0,none,no_dose,60+,ADEM_broad,0,0,0,155.26
TEST,1,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,18-24,ADEM_broad,0,0,0,4812011.5
TEST,1,AstraZeneca,1,25-29,ADEM_broad,0,0,0,1069335.89
TEST,1,AstraZeneca,1,30-39,ADEM_broad,0,0,0,677066.95
TEST,1,AstraZeneca,1,40-49,ADEM_broad,0,0,0,256640.61
TEST,1,AstraZeneca,1,50-59,ADEM_broad,0,0,0,202611.01
TEST,1,AstraZeneca,1,60-69,ADEM_broad,0,0,0,121056.89
TEST,1,AstraZeneca,1,70-79,ADEM_broad,0,0,0,67740.74
TEST,1,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,1,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,29006.74
TEST,1,AstraZeneca,1,0-59,ADEM_broad,0,0,0,87321.01
TEST,1,AstraZeneca,1,60+,ADEM_broad,0,0,0,43435.31
TEST,2,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,18-24,ADEM_broad,0,0,0,2406005.75
TEST,2,AstraZeneca,1,25-29,ADEM_broad,0,0,0,534667.94
TEST,2,AstraZeneca,1,30-39,ADEM_broad,0,0,0,343715.11
TEST,2,AstraZeneca,1,40-49,ADEM_broad,0,0,0,128320.31
TEST,2,AstraZeneca,1,50-59,ADEM_broad,0,0,0,101611.1
TEST,2,AstraZeneca,1,60-69,ADEM_broad,0,0,0,60582.88
TEST,2,AstraZeneca,1,70-79,ADEM_broad,0,0,0,33972.85
TEST,2,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,2,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,14540.94
TEST,2,AstraZeneca,1,0-59,ADEM_broad,0,0,0,43802.45
TEST,2,AstraZeneca,1,60+,ADEM_broad,0,0,0,21766.77
TEST,3,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,18-24,ADEM_broad,0,0,0,1604003.83
TEST,3,AstraZeneca,1,25-29,ADEM_broad,0,0,0,356445.3
TEST,3,AstraZeneca,1,30-39,ADEM_broad,0,0,0,231904.17
TEST,3,AstraZeneca,1,40-49,ADEM_broad,0,0,0,85492.59
TEST,3,AstraZeneca,1,50-59,ADEM_broad,0,0,0,67911.45
TEST,3,AstraZeneca,1,60-69,ADEM_broad,0,0,0,40461.36
TEST,3,AstraZeneca,1,70-79,ADEM_broad,0,0,0,22682.88
TEST,3,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,3,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,9712.13
TEST,3,AstraZeneca,1,0-59,ADEM_broad,0,0,0,29271.41
TEST,3,AstraZeneca,1,60+,ADEM_broad,0,0,0,14534.66
TEST,4,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,18-24,ADEM_broad,0,0,0,1203002.88
TEST,4,AstraZeneca,1,25-29,ADEM_broad,0,0,0,267333.97
TEST,4,AstraZeneca,1,30-39,ADEM_broad,0,0,0,174982.24
TEST,4,AstraZeneca,1,40-49,ADEM_broad,0,0,0,64313.28
TEST,4,AstraZeneca,1,50-59,ADEM_broad,0,0,0,50997.85
TEST,4,AstraZeneca,1,60-69,ADEM_broad,0,0,0,30400.79
TEST,4,AstraZeneca,1,70-79,ADEM_broad,0,0,0,17025.06
TEST,4,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,4,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,7295.27
TEST,4,AstraZeneca,1,0-59,ADEM_broad,0,0,0,22004.95
TEST,4,AstraZeneca,1,60+,ADEM_broad,0,0,0,10913.36
TEST,5,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,18-24,ADEM_broad,0,0,0,962402.3
TEST,5,AstraZeneca,1,25-29,ADEM_broad,0,0,0,213867.18
TEST,5,AstraZeneca,1,30-39,ADEM_broad,0,0,0,141827.71
TEST,5,AstraZeneca,1,40-49,ADEM_broad,0,0,0,51901.51
TEST,5,AstraZeneca,1,50-59,ADEM_broad,0,0,0,41623.83
TEST,5,AstraZeneca,1,60-69,ADEM_broad,0,0,0,24560.03
TEST,5,AstraZeneca,1,70-79,ADEM_broad,0,0,0,13626.25
TEST,5,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,5,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,5876.75
TEST,5,AstraZeneca,1,0-59,ADEM_broad,0,0,0,17838.78
TEST,5,AstraZeneca,1,60+,ADEM_broad,0,0,0,8763.91
TEST,6,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,18-24,ADEM_broad,0,0,0,826603.2
TEST,6,AstraZeneca,1,25-29,ADEM_broad,0,0,0,179409.22
TEST,6,AstraZeneca,1,30-39,ADEM_broad,0,0,0,120515.49
TEST,6,AstraZeneca,1,40-49,ADEM_broad,0,0,0,43759.77
TEST,6,AstraZeneca,1,50-59,ADEM_broad,0,0,0,35958.45
TEST,6,AstraZeneca,1,60-69,ADEM_broad,0,0,0,20840.89
TEST,6,AstraZeneca,1,70-79,ADEM_broad,0,0,0,11358.65
TEST,6,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,6,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,4956.27
TEST,6,AstraZeneca,1,0-59,ADEM_broad,0,0,0,15210.69
TEST,6,AstraZeneca,1,60+,ADEM_broad,0,0,0,7351.79
TEST,7,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,18-24,ADEM_broad,0,0,0,732262.62
TEST,7,AstraZeneca,1,25-29,ADEM_broad,0,0,0,154869.34
TEST,7,AstraZeneca,1,30-39,ADEM_broad,0,0,0,104771.63
TEST,7,AstraZeneca,1,40-49,ADEM_broad,0,0,0,37985.99
TEST,7,AstraZeneca,1,50-59,ADEM_broad,0,0,0,32011.48
TEST,7,AstraZeneca,1,60-69,ADEM_broad,0,0,0,18510.28
TEST,7,AstraZeneca,1,70-79,ADEM_broad,0,0,0,9738.1
TEST,7,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,7,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,4316.95
TEST,7,AstraZeneca,1,0-59,ADEM_broad,0,0,0,13345.52
TEST,7,AstraZeneca,1,60+,ADEM_broad,0,0,0,6381.07
TEST,8,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,12-17,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,18-24,ADEM_broad,0,0,0,657250.35
TEST,8,AstraZeneca,1,25-29,ADEM_broad,0,0,0,136649.41
TEST,8,AstraZeneca,1,30-39,ADEM_broad,0,0,0,92602.28
TEST,8,AstraZeneca,1,40-49,ADEM_broad,0,0,0,33709.36
TEST,8,AstraZeneca,1,50-59,ADEM_broad,0,0,0,29063.05
TEST,8,AstraZeneca,1,60-69,ADEM_broad,0,0,0,17356.22
TEST,8,AstraZeneca,1,70-79,ADEM_broad,0,0,0,8524.92
TEST,8,AstraZeneca,1,80+,ADEM_broad,0,0,0,0
TEST,8,AstraZeneca,1,all_birth_cohorts,ADEM_broad,0,0,0,3866.51
TEST,8,AstraZeneca,1,0-59,ADEM_broad,0,0,0,11945.77
TEST,8,AstraZeneca,1,60+,ADEM_broad,0,0,0,5716.92
TEST,9,AstraZeneca,1,0-4,ADEM_broad,0,0,0,0
TEST,9,AstraZeneca,1,5-11,ADEM_broad,0,0,0,0
