datasource,week,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,50-59,L1,0,0,0,15286.63
TEST,20200106,none,no_dose,18-24,L1,0,0,0,48729.23
TEST,20200106,none,no_dose,70-79,L1,0,0,0,23758.83
TEST,20200106,none,no_dose,0-4,L1,0,0,0,179888.28
TEST,20200106,none,no_dose,40-49,L1,0,0,0,16145.75
TEST,20200106,none,no_dose,25-29,L1,0,0,0,54504.98
TEST,20200106,none,no_dose,60-69,L1,0,0,0,20097.9
TEST,20200106,none,no_dose,30-39,L1,0,0,0,24785.93
TEST,20200106,none,no_dose,80+,L1,0,0,0,26850.6
TEST,20200106,none,no_dose,5-11,L1,0,0,0,62464.68
TEST,20200106,none,no_dose,12-17,L1,0,0,0,53318.69
TEST,20200113,none,no_dose,50-59,L1,0,0,0,15310.95
TEST,20200113,none,no_dose,18-24,L1,0,0,0,48729.23
TEST,20200113,none,no_dose,70-79,L1,0,0,0,23771.4
TEST,20200113,none,no_dose,0-4,L1,0,0,0,179888.28
TEST,20200113,none,no_dose,40-49,L1,0,0,0,16169.01
TEST,20200113,none,no_dose,25-29,L1,0,0,0,54659.77
TEST,20200113,none,no_dose,60-69,L1,0,0,0,20139.96
TEST,20200113,none,no_dose,30-39,L1,0,0,0,24827.04
TEST,20200113,none,no_dose,80+,L1,0,0,0,26995.86
TEST,20200113,none,no_dose,5-11,L1,0,0,0,62493.66
TEST,20200113,none,no_dose,12-17,L1,0,0,0,53382.06
TEST,20200120,none,no_dose,50-59,L1,0,0,0,15328.36
TEST,20200120,none,no_dose,18-24,L1,0,0,0,48746.86
TEST,20200120,none,no_dose,70-79,L1,0,0,0,23792.39
TEST,20200120,none,no_dose,0-4,L1,0,0,0,179888.28
TEST,20200120,none,no_dose,40-49,L1,0,0,0,16188.43
TEST,20200120,none,no_dose,25-29,L1,0,0,0,54837.74
TEST,20200120,none,no_dose,60-69,L1,0,0,0,20158.04
TEST,20200120,none,no_dose,30-39,L1,0,0,0,24886.65
TEST,20200120,none,no_dose,80+,L1,0,0,0,27066.36
TEST,20200120,none,no_dose,5-11,L1,0,0,0,62638.92
TEST,20200120,none,no_dose,12-17,L1,0,0,0,53765.49
TEST,20200127,none,no_dose,50-59,L1,0,0,0,15342.33
TEST,20200127,none,no_dose,18-24,L1,0,0,0,48959.42
TEST,20200127,none,no_dose,70-79,L1,0,0,0,23834.48
TEST,20200127,none,no_dose,0-4,L1,0,0,0,179888.28
TEST,20200127,none,no_dose,40-49,L1,0,0,0,16225.47
TEST,20200127,none,no_dose,25-29,L1,0,0,0,55061.84
TEST,20200127,none,no_dose,60-69,L1,0,0,0,20179.17
TEST,20200127,none,no_dose,30-39,L1,0,0,0,24900.45
TEST,20200127,none,no_dose,80+,L1,0,0,0,27181.02
TEST,20200127,none,no_dose,5-11,L1,0,0,0,62755.62
TEST,20200127,none,no_dose,12-17,L1,0,0,0,53765.49
TEST,20200203,none,no_dose,50-59,L1,0,0,0,15349.32
TEST,20200203,none,no_dose,18-24,L1,0,0,0,48977.22
TEST,20200203,none,no_dose,70-79,L1,0,0,0,23880.95
TEST,20200203,none,no_dose,0-4,L1,0,0,0,180854.12
TEST,20200203,none,no_dose,40-49,L1,0,0,0,16260.72
TEST,20200203,none,no_dose,25-29,L1,0,0,0,55310.48
TEST,20200203,none,no_dose,60-69,L1,0,0,0,20230.68
TEST,20200203,none,no_dose,30-39,L1,0,0,0,24900.45
TEST,20200203,none,no_dose,80+,L1,0,0,0,27224.96
TEST,20200203,none,no_dose,5-11,L1,0,0,0,62902.11
TEST,20200203,none,no_dose,12-17,L1,0,0,0,53765.49
TEST,20200210,none,no_dose,50-59,L1,0,0,0,15361.57
TEST,20200210,none,no_dose,18-24,L1,0,0,0,48977.22
TEST,20200210,none,no_dose,70-79,L1,0,0,0,23880.95
TEST,20200210,none,no_dose,0-4,L1,0,0,0,181585.34
TEST,20200210,none,no_dose,40-49,L1,0,0,0,16280.37
TEST,20200210,none,no_dose,25-29,L1,0,0,0,55538.47
