meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
exemption,ICD9,402,< 5
hospitalisation_primary,ICD9,4281,< 5
emergency_room_diagnosis,ICD9,4280,7
hospitalisation_secondary,ICD9,4281,< 5
emergency_room_diagnosis,ICD9,4289,< 5
hospitalisation_primary,ICD9,4280,< 5
emergency_room_diagnosis,ICD9,4281,< 5
hospitalisation_secondary,ICD9,42842,< 5
hospitalisation_primary,ICD9,42843,< 5
hospitalisation_secondary,ICD9,40210,< 5
hospitalisation_secondary,ICD9,4280,< 5
hospitalisation_primary,ICD9,40211,< 5
hospitalisation_secondary,ICD9,4150,< 5
