meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_secondary,ICD9,4149,5
hospitalisation_primary,ICD9,41050,< 5
hospitalisation_secondary,ICD9,4148,< 5
hospitalisation_secondary,ICD9,41090,< 5
hospitalisation_primary,ICD9,41401,< 5
hospitalisation_secondary,ICD9,41401,6
hospitalisation_primary,ICD9,4111,< 5
emergency_room_diagnosis,ICD9,41091,< 5
hospitalisation_primary,ICD9,41041,< 5
exemption,ICD9,414,< 5
hospitalisation_primary,ICD9,41071,< 5
emergency_room_diagnosis,ICD9,4111,< 5
hospitalisation_primary,ICD9,44021,< 5
hospitalisation_primary,ICD9,4139,< 5
hospitalisation_secondary,ICD9,4408,< 5
hospitalisation_secondary,ICD9,4139,< 5
hospitalisation_secondary,ICD9,412,< 5
hospitalisation_primary,ICD9,41021,< 5
emergency_room_diagnosis,ICD9,41071,< 5
