meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,43401,< 5
hospitalisation_primary,ICD9,41050,< 5
emergency_room_diagnosis,ICD9,41519,< 5
hospitalisation_secondary,ICD9,41090,< 5
hospitalisation_secondary,ICD9,45119,< 5
emergency_room_diagnosis,ICD9,45183,< 5
hospitalisation_primary,ICD9,41041,< 5
hospitalisation_primary,ICD9,41071,< 5
emergency_room_diagnosis,ICD9,4510,< 5
hospitalisation_secondary,ICD9,412,< 5
hospitalisation_primary,ICD9,43411,< 5
emergency_room_diagnosis,ICD9,43491,< 5
hospitalisation_primary,ICD9,41021,< 5
emergency_room_diagnosis,ICD9,41091,< 5
hospitalisation_primary,ICD9,43400,< 5
