 ,Parameters,Test,perc_Test
"","",N,%
Study population,N,210,""
Person years of follow-up,PY,83,""
Month of first diagnosis,01-2021,53,25.2
Month of first diagnosis,02-2021,37,17.6
Month of first diagnosis,03-2021,20,9.5
Month of first diagnosis,04-2020,2,1
Month of first diagnosis,04-2021,5,2.4
Month of first diagnosis,05-2020,6,2.9
Month of first diagnosis,05-2021,2,1
Month of first diagnosis,06-2020,4,1.9
Month of first diagnosis,07-2020,2,1
Month of first diagnosis,09-2020,4,1.9
Month of first diagnosis,10-2020,5,2.4
Month of first diagnosis,11-2020,19,9
Month of first diagnosis,12-2020,51,24.3
Age in years,Min,5,""
Age in years,P25,31,""
Age in years,P50,48,""
Age in years,Mean,48,""
Age in years,P75,61,""
Age in years,Max,98,""
Age in categories,0-4,0,0%
Age in categories,5-11,4,1.9%
Age in categories,12-17,12,5.7%
Age in categories,18-24,19,9%
Age in categories,25-29,9,4.3%
Age in categories,30-39,30,14.3%
Age in categories,40-49,33,15.7%
Age in categories,50-59,44,21%
Age in categories,60-69,28,13.3%
Age in categories,70-79,11,5.2%
Age in categories,80+,20,9.5%
Person years across age categories,0-4,2,2.4%
Person years across age categories,5-11,5,6%
Person years across age categories,12-17,8,9.6%
Person years across age categories,18-24,5,6%
Person years across age categories,25-29,14,16.9%
Person years across age categories,30-39,14,16.9%
Person years across age categories,40-49,15,18.1%
Person years across age categories,50-59,11,13.3%
Person years across age categories,60-69,2,2.4%
Person years across age categories,70-79,6,7.2%
At risk population at first covid diagnosis,Cardiovascular disease,33,""
At risk population at first covid diagnosis,Cancer,6,""
At risk population at first covid diagnosis,Chronic lung disease,12,""
At risk population at first covid diagnosis,HIV,0,""
At risk population at first covid diagnosis,Chronic kidney disease,1,""
At risk population at first covid diagnosis,Diabetes,9,""
At risk population at first covid diagnosis,Severe obesity,1,""
At risk population at first covid diagnosis,Sickle cell disease,0,""
At risk population at first covid diagnosis,Use of immunosuppressants,15,""
