DAP,AESI,Sex,Age in 2020,history_covid,Person years,IR narrow,LL narrow,UL narrow
TEST,MIS_KD_narrow,Female,12-17,0,6,0,0,22456053.68
TEST,MIS_KD_narrow,Female,18-24,0,669,0,0,201399.58
TEST,MIS_KD_narrow,Male,18-24,0,441,0,0,305524.54
TEST,MIS_KD_narrow,Female,25-29,0,190,0,0,709138.54
TEST,MIS_KD_narrow,Male,25-29,0,352,0,0,382773.64
TEST,MIS_KD_narrow,Female,30-39,0,837,0,0,160975.3
TEST,MIS_KD_narrow,Male,30-39,0,899,0,0,149873.55
TEST,MIS_KD_narrow,Female,40-49,0,869,0,0,155047.55
TEST,MIS_KD_narrow,Female,40-49,1,102,0,0,1320944.33
TEST,MIS_KD_narrow,Male,40-49,1,12,0,0,11228026.84
TEST,MIS_KD_narrow,Male,40-49,0,1362,0,0,98925.35
TEST,MIS_KD_narrow,Female,50-59,0,2393,0,0,56304.36
TEST,MIS_KD_narrow,Female,50-59,1,46,0,0,2929050.48
TEST,MIS_KD_narrow,Male,50-59,0,2484,0,0,54241.68
TEST,MIS_KD_narrow,Female,60-69,0,2211,0,0,60939.09
TEST,MIS_KD_narrow,Female,60-69,1,111,0,0,1213840.74
TEST,MIS_KD_narrow,Male,60-69,0,2372,0,0,56802.83
TEST,MIS_KD_narrow,Female,70-79,0,1567,0,0,85983.61
TEST,MIS_KD_narrow,Male,70-79,0,2770,0,0,48641.27
TEST,MIS_KD_narrow,Male,70-79,1,92,0,0,1464525.24
TEST,MIS_KD_narrow,Female,80+,0,291,0,0,463011.42
TEST,MIS_KD_narrow,Male,80+,0,72,0,0,1871337.81
TEST,MYOCARD_narrow,Female,12-17,0,6,0,0,22456053.68
TEST,MYOCARD_narrow,Female,18-24,0,669,0,0,201399.58
TEST,MYOCARD_narrow,Male,18-24,0,441,0,0,305524.54
TEST,MYOCARD_narrow,Female,25-29,0,190,0,0,709138.54
TEST,MYOCARD_narrow,Male,25-29,0,352,0,0,382773.64
TEST,MYOCARD_narrow,Female,30-39,0,837,0,0,160975.3
TEST,MYOCARD_narrow,Male,30-39,0,899,0,0,149873.55
TEST,MYOCARD_narrow,Female,40-49,0,869,0,0,155047.55
TEST,MYOCARD_narrow,Female,40-49,1,102,0,0,1320944.33
TEST,MYOCARD_narrow,Male,40-49,1,12,0,0,11228026.84
TEST,MYOCARD_narrow,Male,40-49,0,1362,0,0,98925.35
TEST,MYOCARD_narrow,Female,50-59,0,2393,0,0,56304.36
TEST,MYOCARD_narrow,Female,50-59,1,46,0,0,2929050.48
TEST,MYOCARD_narrow,Male,50-59,0,2460,0,0,54770.86
TEST,MYOCARD_narrow,Female,60-69,0,2211,0,0,60939.09
TEST,MYOCARD_narrow,Female,60-69,1,111,0,0,1213840.74
TEST,MYOCARD_narrow,Male,60-69,0,2372,0,0,56802.83
TEST,MYOCARD_narrow,Female,70-79,0,1567,0,0,85983.61
TEST,MYOCARD_narrow,Male,70-79,0,2770,0,0,48641.27
TEST,MYOCARD_narrow,Male,70-79,1,92,0,0,1464525.24
TEST,MYOCARD_narrow,Female,80+,0,291,0,0,463011.42
TEST,MYOCARD_narrow,Male,80+,0,72,0,0,1871337.81
