 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,2483,68.2%,387,10.6%,664,18.2%,106,2.9%
Person-years of follow-up,PY,376,63.8%,55,9.3%,148,25.1%,10,1.7%
Month of first vaccination,"",1,"",1,"",2,"",4,""
2021 January,N,112,4.5%,5,1.3%,0,0%,0,0%
2021 February,N,107,4.3%,11,2.8%,81,12.2%,0,0%
2021 March,N,233,9.4%,50,12.9%,167,25.2%,0,0%
2021 April,N,503,20.3%,68,17.6%,207,31.2%,16,15.1%
2021 May,N,598,24.1%,119,30.7%,192,28.9%,31,29.2%
2021 June,N,930,37.5%,134,34.6%,17,2.6%,59,55.7%
Age in years,Min,15,"",17,"",22,"",58,""
Age in years,P25,49,"",38,"",55,"",60,""
Age in years,P50,61,"",56,"",69,"",61,""
Age in years,Mean,61,"",52,"",63,"",64,""
Age in years,P75,79,"",64,"",74,"",67,""
Age in years,Max,99,"",83,"",79,"",78,""
Age in categories,12-17,31,1.2%,1,0.3%,0,0%,0,0%
Age in categories,18-24,92,3.7%,24,6.2%,4,0.6%,0,0%
Age in categories,25-29,62,2.5%,12,3.1%,15,2.3%,0,0%
Age in categories,30-39,170,6.8%,68,17.6%,28,4.2%,0,0%
Age in categories,40-49,290,11.7%,60,15.5%,74,11.1%,0,0%
Age in categories,50-59,549,22.1%,98,25.3%,86,13%,26,24.5%
Age in categories,60-69,425,17.1%,66,17.1%,147,22.1%,60,56.6%
Age in categories,70-79,269,10.8%,54,14%,310,46.7%,20,18.9%
Age in categories,80+,595,24%,4,1%,0,0%,0,0%
Person years across age categories,12-17,1,0.3%,0,0%,0,0%,0,0%
Person years across age categories,18-24,6,1.6%,3,5.6%,1,0.7%,0,0%
Person years across age categories,25-29,8,2.1%,1,1.9%,4,2.7%,0,0%
Person years across age categories,30-39,19,5.1%,5,9.3%,8,5.4%,0,0%
Person years across age categories,40-49,37,9.9%,6,11.1%,22,14.9%,0,0%
Person years across age categories,50-59,61,16.3%,13,24.1%,22,14.9%,2,20%
Person years across age categories,60-69,55,14.7%,13,24.1%,22,14.9%,5,50%
Person years across age categories,70-79,41,10.9%,12,22.2%,69,46.6%,3,30%
Person years across age categories,80+,147,39.2%,1,1.9%,0,0%,0,0%
Person years across sex,Female,218,58.1%,25,45.5%,89,60.1%,5,50%
Person years across sex,Male,157,41.9%,30,54.5%,59,39.9%,5,50%
COVID-19 diagnosis/test in past year,"N, %",76,3.1%,6,1.6%,10,1.5%,3,2.8%
At risk population at date of vaccination,Cardiovascular disease,771,31.1%,99,14.9%,151,39%,17,16%
At risk population at date of vaccination,Cancer,106,4.3%,47,7.1%,17,4.4%,3,2.8%
At risk population at date of vaccination,Chronic lung disease,213,8.6%,39,5.9%,64,16.5%,8,7.5%
At risk population at date of vaccination,HIV,9,0.4%,7,1.1%,2,0.5%,0,0%
At risk population at date of vaccination,Chronic kidney disease,34,1.4%,11,1.7%,1,0.3%,0,0%
At risk population at date of vaccination,Diabetes,282,11.4%,45,6.8%,36,9.3%,4,3.8%
At risk population at date of vaccination,Severe obesity,11,0.4%,5,0.8%,2,0.5%,0,0%
At risk population at date of vaccination,Sickle cell disease,7,0.3%,3,0.5%,0,0%,0,0%
At risk population at date of vaccination,Use of immunosuppressants,324,13%,60,9%,73,18.9%,15,14.2%
At risk population at date of vaccination,Any risk factors,1128,45.4%,178,26.8%,255,65.9%,39,36.8%
