 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,2483,68.2%,387,10.6%,664,18.2%,106,2.9%
Person-years of follow-up,PY,376,63.8%,55,9.3%,148,25.1%,10,1.7%
Month of first vaccination,"",1,"",1,"",2,"",4,""
January 2021,N,112,4.5%,5,1.3%,0,0%,0,0%
February 2021,N,107,4.3%,11,2.8%,81,12.2%,0,0%
March 2021,N,233,9.4%,50,12.9%,167,25.2%,0,0%
April 2021,N,503,20.3%,68,17.6%,207,31.2%,16,15.1%
May 2021,N,598,24.1%,119,30.7%,192,28.9%,31,29.2%
June 2021,N,930,37.5%,134,34.6%,17,2.6%,59,55.7%
Age in years,Min,15,"",17,"",22,"",58,""
Age in years,P25,49,"",38,"",55,"",60,""
Age in years,P50,61,"",56,"",69,"",61,""
Age in years,Mean,61,"",52,"",63,"",64,""
Age in years,P75,79,"",64,"",74,"",67,""
Age in years,Max,99,"",83,"",79,"",78,""
Age in categories,12-17,31,1.2%,1,0.3%,0,0%,0,0%
Age in categories,18-24,92,3.7%,24,6.2%,4,0.6%,0,0%
Age in categories,25-29,62,2.5%,12,3.1%,15,2.3%,0,0%
Age in categories,30-39,170,6.8%,68,17.6%,28,4.2%,0,0%
Age in categories,40-49,290,11.7%,60,15.5%,74,11.1%,0,0%
Age in categories,50-59,549,22.1%,98,25.3%,86,13%,26,24.5%
Age in categories,60-69,425,17.1%,66,17.1%,147,22.1%,60,56.6%
Age in categories,70-79,269,10.8%,54,14%,310,46.7%,20,18.9%
Age in categories,80+,595,24%,4,1%,0,0%,0,0%
Person years across age categories,12-17,1,0.3%,0,0%,0,0%,0,0%
Person years across age categories,18-24,6,1.6%,3,5.6%,1,0.7%,0,0%
Person years across age categories,25-29,8,2.1%,1,1.9%,4,2.7%,0,0%
Person years across age categories,30-39,19,5.1%,5,9.3%,8,5.4%,0,0%
Person years across age categories,40-49,37,9.9%,6,11.1%,22,14.9%,0,0%
Person years across age categories,50-59,61,16.3%,13,24.1%,22,14.9%,2,20%
Person years across age categories,60-69,55,14.7%,13,24.1%,22,14.9%,5,50%
Person years across age categories,70-79,41,10.9%,12,22.2%,69,46.6%,3,30%
Person years across age categories,80+,147,39.2%,1,1.9%,0,0%,0,0%
Person years across sex,Female,1334,53.7%,186,48.1%,390,58.7%,55,51.9%
Person years across sex,Male,1149,46.3%,201,51.9%,274,41.3%,51,48.1%
COVID-19 diagnosis/test in past year,"N, %",76,3.1%,6,1.6%,10,1.5%,3,2.8%
At risk population at date of vaccination,CV,673,27.1%,72,18.6%,125,18.8%,11,10.4%
At risk population at date of vaccination,Cancer,86,22.2%,41,6.2%,8,7.5%,2,0.1%
At risk population at date of vaccination,CLD,133,20%,26,24.5%,46,1.9%,6,1.6%
At risk population at date of vaccination,HIV,6,5.7%,6,0.2%,2,0.5%,0,0%
At risk population at date of vaccination,CKD,18,0.7%,5,1.3%,1,0.2%,0,0%
At risk population at date of vaccination,Diabetes,271,70%,40,6%,34,32.1%,4,0.2%
At risk population at date of vaccination,Obesity,3,0.5%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sicklecell,5,4.7%,2,0.1%,0,0%,0,0%
At risk population at date of vaccination,immunosuppressants,164,6.6%,33,8.5%,32,4.8%,1,0.9%
