DAP,AESI,Sex,Age in 2020,Person years,IR narrow,LL narrow,UL narrow
TEST,KD_narrow,Female,5-11,542,0,0,248591
TEST,KD_narrow,Male,5-11,128,0,0,1052627.52
TEST,KD_narrow,Female,12-17,812,0,0,165931.43
TEST,KD_narrow,Male,12-17,1053,0,0,127954.72
TEST,KD_narrow,Female,18-24,1320,0,0,102072.97
TEST,KD_narrow,Male,18-24,1639,0,0,82206.42
TEST,KD_narrow,Female,25-29,848,0,0,158887.17
TEST,KD_narrow,Male,25-29,910,0,0,148061.89
TEST,KD_narrow,Female,30-39,2223,0,0,60610.13
TEST,KD_narrow,Male,30-39,2830,0,0,47610.01
TEST,KD_narrow,Female,40-49,3447,0,0,39088
TEST,KD_narrow,Male,40-49,1829,0,0,73666.66
TEST,KD_narrow,Female,50-59,2971,0,0,45350.5
TEST,KD_narrow,Male,50-59,2676,0,0,50349.9
TEST,KD_narrow,Female,60-69,2797,0,0,48171.73
TEST,KD_narrow,Male,60-69,1196,0,0,112655.79
TEST,KD_narrow,Female,70-79,520,0,0,259108.31
TEST,KD_narrow,Male,70-79,369,0,0,365139.08
TEST,KD_narrow,Female,80+,1458,0,0,92411.74
TEST,KD_narrow,Male,80+,671,0,0,200799.29
TEST,MIS_KD_narrow,Female,5-11,542,0,0,248591
TEST,MIS_KD_narrow,Male,5-11,128,0,0,1052627.52
TEST,MIS_KD_narrow,Female,12-17,812,0,0,165931.43
TEST,MIS_KD_narrow,Male,12-17,1053,0,0,127954.72
TEST,MIS_KD_narrow,Female,18-24,1320,0,0,102072.97
TEST,MIS_KD_narrow,Male,18-24,1639,0,0,82206.42
TEST,MIS_KD_narrow,Female,25-29,848,0,0,158887.17
TEST,MIS_KD_narrow,Male,25-29,910,0,0,148061.89
TEST,MIS_KD_narrow,Female,30-39,2223,0,0,60610.13
TEST,MIS_KD_narrow,Male,30-39,2830,0,0,47610.01
TEST,MIS_KD_narrow,Female,40-49,3447,0,0,39088
TEST,MIS_KD_narrow,Male,40-49,1829,0,0,73666.66
TEST,MIS_KD_narrow,Female,50-59,2971,0,0,45350.5
TEST,MIS_KD_narrow,Male,50-59,2676,0,0,50349.9
TEST,MIS_KD_narrow,Female,60-69,2797,0,0,48171.73
TEST,MIS_KD_narrow,Male,60-69,1196,0,0,112655.79
TEST,MIS_KD_narrow,Female,70-79,520,0,0,259108.31
TEST,MIS_KD_narrow,Male,70-79,369,0,0,365139.08
TEST,MIS_KD_narrow,Female,80+,1458,0,0,92411.74
TEST,MIS_KD_narrow,Male,80+,671,0,0,200799.29
TEST,MYOCARD_narrow,Female,5-11,542,0,0,248591
TEST,MYOCARD_narrow,Male,5-11,128,0,0,1052627.52
TEST,MYOCARD_narrow,Female,12-17,812,0,0,165931.43
TEST,MYOCARD_narrow,Male,12-17,1053,0,0,127954.72
TEST,MYOCARD_narrow,Female,18-24,1320,0,0,102072.97
TEST,MYOCARD_narrow,Male,18-24,1639,0,0,82206.42
TEST,MYOCARD_narrow,Female,25-29,848,0,0,158887.17
TEST,MYOCARD_narrow,Male,25-29,910,0,0,148061.89
TEST,MYOCARD_narrow,Female,30-39,2223,0,0,60610.13
TEST,MYOCARD_narrow,Male,30-39,2830,0,0,47610.01
TEST,MYOCARD_narrow,Female,40-49,3447,0,0,39088
TEST,MYOCARD_narrow,Male,40-49,1829,0,0,73666.66
TEST,MYOCARD_narrow,Female,50-59,2971,0,0,45350.5
TEST,MYOCARD_narrow,Male,50-59,2676,0,0,50349.9
TEST,MYOCARD_narrow,Female,60-69,2797,0,0,48171.73
TEST,MYOCARD_narrow,Male,60-69,1196,0,0,112655.79
TEST,MYOCARD_narrow,Female,70-79,520,0,0,259108.31
TEST,MYOCARD_narrow,Male,70-79,369,0,0,365139.08
TEST,MYOCARD_narrow,Female,80+,1458,0,0,92411.74
TEST,MYOCARD_narrow,Male,80+,671,0,0,200799.29
TEST,PERICARD_narrow,Female,5-11,542,0,0,248591
TEST,PERICARD_narrow,Male,5-11,128,0,0,1052627.52
TEST,PERICARD_narrow,Female,12-17,812,0,0,165931.43
TEST,PERICARD_narrow,Male,12-17,1053,0,0,127954.72
TEST,PERICARD_narrow,Female,18-24,1320,0,0,102072.97
TEST,PERICARD_narrow,Male,18-24,1639,0,0,82206.42
TEST,PERICARD_narrow,Female,25-29,848,0,0,158887.17
TEST,PERICARD_narrow,Male,25-29,910,0,0,148061.89
TEST,PERICARD_narrow,Female,30-39,2223,0,0,60610.13
TEST,PERICARD_narrow,Male,30-39,2830,0,0,47610.01
TEST,PERICARD_narrow,Female,40-49,3447,0,0,39088
TEST,PERICARD_narrow,Male,40-49,1829,0,0,73666.66
TEST,PERICARD_narrow,Female,50-59,2971,0,0,45350.5
TEST,PERICARD_narrow,Male,50-59,2676,0,0,50349.9
TEST,PERICARD_narrow,Female,60-69,2797,0,0,48171.73
TEST,PERICARD_narrow,Male,60-69,1196,0,0,112655.79
TEST,PERICARD_narrow,Female,70-79,520,0,0,259108.31
TEST,PERICARD_narrow,Male,70-79,369,0,0,365139.08
TEST,PERICARD_narrow,Female,80+,1458,0,0,92411.74
TEST,PERICARD_narrow,Male,80+,671,0,0,200799.29
