datasource,week,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,50-59,L1,0,0,0,52203.15
TEST,20200106,none,no_dose,40-49,L1,0,0,0,58734.23
TEST,20200106,none,no_dose,70-79,L1,0,0,0,80200.19
TEST,20200106,none,no_dose,30-39,L1,0,0,0,90366.41
TEST,20200106,none,no_dose,25-29,L1,0,0,0,181585.34
TEST,20200106,none,no_dose,80+,L1,0,0,0,85546.87
TEST,20200106,none,no_dose,60-69,L1,0,0,0,61692.46
TEST,20200106,none,no_dose,5-11,L1,0,0,0,216270.18
TEST,20200106,none,no_dose,18-24,L1,0,0,0,209217.89
TEST,20200106,none,no_dose,0-4,L1,0,0,0,493539.64
TEST,20200106,none,no_dose,12-17,L1,0,0,0,202611.01
TEST,20200113,none,no_dose,50-59,L1,0,0,0,52304.47
TEST,20200113,none,no_dose,40-49,L1,0,0,0,58965.57
TEST,20200113,none,no_dose,70-79,L1,0,0,0,80295.78
TEST,20200113,none,no_dose,30-39,L1,0,0,0,90366.41
TEST,20200113,none,no_dose,25-29,L1,0,0,0,181585.34
TEST,20200113,none,no_dose,80+,L1,0,0,0,86535.85
TEST,20200113,none,no_dose,60-69,L1,0,0,0,61692.46
TEST,20200113,none,no_dose,5-11,L1,0,0,0,216270.18
TEST,20200113,none,no_dose,18-24,L1,0,0,0,209217.89
TEST,20200113,none,no_dose,0-4,L1,0,0,0,493539.64
TEST,20200113,none,no_dose,12-17,L1,0,0,0,202916.15
TEST,20200120,none,no_dose,50-59,L1,0,0,0,52304.47
TEST,20200120,none,no_dose,40-49,L1,0,0,0,59043.09
TEST,20200120,none,no_dose,70-79,L1,0,0,0,80535.76
TEST,20200120,none,no_dose,30-39,L1,0,0,0,90670.47
TEST,20200120,none,no_dose,25-29,L1,0,0,0,181585.34
TEST,20200120,none,no_dose,80+,L1,0,0,0,86702.91
TEST,20200120,none,no_dose,60-69,L1,0,0,0,61692.46
TEST,20200120,none,no_dose,5-11,L1,0,0,0,216270.18
TEST,20200120,none,no_dose,18-24,L1,0,0,0,209217.89
TEST,20200120,none,no_dose,0-4,L1,0,0,0,493539.64
TEST,20200120,none,no_dose,12-17,L1,0,0,0,206018.84
TEST,20200127,none,no_dose,50-59,L1,0,0,0,52304.47
TEST,20200127,none,no_dose,40-49,L1,0,0,0,59043.09
TEST,20200127,none,no_dose,70-79,L1,0,0,0,80535.76
TEST,20200127,none,no_dose,30-39,L1,0,0,0,90792.67
TEST,20200127,none,no_dose,25-29,L1,0,0,0,181585.34
TEST,20200127,none,no_dose,80+,L1,0,0,0,86814.64
TEST,20200127,none,no_dose,60-69,L1,0,0,0,61692.46
TEST,20200127,none,no_dose,5-11,L1,0,0,0,216270.18
TEST,20200127,none,no_dose,18-24,L1,0,0,0,209217.89
TEST,20200127,none,no_dose,0-4,L1,0,0,0,493539.64
TEST,20200127,none,no_dose,12-17,L1,0,0,0,206968.24
TEST,20200203,none,no_dose,50-59,L1,0,0,0,52304.47
