datasource,week,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,L1,0,0,0,50143.77
TEST,20200113,none,no_dose,CV,L1,0,0,0,50500.87
TEST,20200120,none,no_dose,CV,L1,0,0,0,50652.75
TEST,20200127,none,no_dose,CV,L1,0,0,0,50690.87
TEST,20200203,none,no_dose,CV,L1,0,0,0,50786.4
TEST,20200210,none,no_dose,CV,L1,0,0,0,50901.52
TEST,20200217,none,no_dose,CV,L1,0,0,0,50997.85
TEST,20200224,none,no_dose,CV,L1,0,0,0,51211.07
TEST,20200302,none,no_dose,CV,L1,0,0,0,51465.36
TEST,20200309,none,no_dose,CV,L1,0,0,0,51642.9
TEST,20200316,none,no_dose,CV,L1,0,0,0,51742.06
TEST,20200323,none,no_dose,CV,L1,0,0,0,51761.94
TEST,20200330,none,no_dose,CV,L1,0,0,0,51921.51
TEST,20200406,none,no_dose,CV,L1,0,0,0,52182.93
TEST,20200413,none,no_dose,CV,L1,0,0,0,52345.11
TEST,20200420,none,no_dose,CV,L1,1,14278.73,361.51,79556.01
TEST,20200427,none,no_dose,CV,L1,0,0,0,52879.25
TEST,20200504,none,no_dose,CV,L1,0,0,0,52879.25
TEST,20200511,none,no_dose,CV,L1,0,0,0,52962.39
TEST,20200518,none,no_dose,CV,L1,0,0,0,53024.92
TEST,20200525,none,no_dose,CV,L1,0,0,0,53024.92
TEST,20200601,none,no_dose,CV,L1,0,0,0,53087.6
TEST,20200608,none,no_dose,CV,L1,0,0,0,53171.4
TEST,20200615,none,no_dose,CV,L1,0,0,0,53255.46
TEST,20200622,none,no_dose,CV,L1,0,0,0,53424.39
TEST,20200629,none,no_dose,CV,L1,0,0,0,53466.79
TEST,20200706,none,no_dose,CV,L1,0,0,0,53551.8
TEST,20200713,none,no_dose,CV,L1,0,0,0,53765.49
TEST,20200720,none,no_dose,CV,L1,0,0,0,54154.47
TEST,20200727,none,no_dose,CV,L1,0,0,0,54219.85
TEST,20200803,none,no_dose,CV,L1,0,0,0,54219.85
TEST,20200810,none,no_dose,CV,L1,0,0,0,54219.85
TEST,20200817,none,no_dose,CV,L1,0,0,0,54527.04
TEST,20200824,none,no_dose,CV,L1,0,0,0,54593.32
TEST,20200831,none,no_dose,CV,L1,0,0,0,54681.95
TEST,20200907,none,no_dose,CV,L1,0,0,0,54681.95
TEST,20200914,none,no_dose,CV,L1,0,0,0,54681.95
TEST,20200921,none,no_dose,CV,L1,0,0,0,54860.07
TEST,20200928,none,no_dose,CV,L1,0,0,0,55265.1
TEST,20201005,none,no_dose,CV,L1,0,0,0,55401.45
TEST,20201012,none,no_dose,CV,L1,0,0,0,55469.87
TEST,20201019,none,no_dose,CV,L1,0,0,0,55607.23
TEST,20201026,none,no_dose,CV,L1,0,0,0,55976.87
TEST,20201102,none,no_dose,CV,L1,0,0,0,56116.75
TEST,20201109,none,no_dose,CV,L1,0,0,0,56210.4
TEST,20201116,none,no_dose,CV,L1,0,0,0,56327.89
TEST,20201123,none,no_dose,CV,L1,0,0,0,56493.22
TEST,20201130,none,no_dose,CV,L1,0,0,0,56778.9
TEST,20201207,none,no_dose,CV,L1,1,15509.55,392.67,86413.7
TEST,20201214,none,no_dose,CV,L1,0,0,0,57407.89
TEST,20201221,none,no_dose,CV,L1,0,0,0,57456.85
TEST,20201228,none,no_dose,CV,L1,0,0,0,57456.85
TEST,20210104,none,no_dose,CV,L1,0,0,0,57826.75
TEST,20210104,Pfizer,1,CV,L1,0,0,0,8982421.47
TEST,20210111,none,no_dose,CV,L1,2,31747.07,3844.72,114681.32
TEST,20210111,Pfizer,1,CV,L1,0,0,0,3849609.2
TEST,20210118,none,no_dose,CV,L1,1,15908.1,402.76,88634.27
TEST,20210118,Pfizer,1,CV,L1,0,0,0,4210510.06
TEST,20210125,none,no_dose,CV,L1,0,0,0,58862.53
TEST,20210125,Pfizer,2,CV,L1,0,0,0,13473632.21
TEST,20210125,Pfizer,1,CV,L1,0,0,0,7485351.23
TEST,20210201,none,no_dose,CV,L1,0,0,0,58991.38
TEST,20210201,Pfizer,2,CV,L1,0,0,0,7925666
TEST,20210201,Pfizer,1,CV,L1,0,0,0,12248756.55
TEST,20210208,none,no_dose,CV,L1,1,16111.6,407.91,89768.1
TEST,20210208,Pfizer,1,CV,L1,0,0,0,14970702.45
TEST,20210208,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210215,none,no_dose,CV,L1,0,0,0,59909.44
TEST,20210215,Pfizer,1,CV,L1,0,0,0,9624023
TEST,20210215,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210222,none,no_dose,CV,L1,0,0,0,60284.71
TEST,20210222,Pfizer,1,CV,L1,0,0,0,7485351.23
TEST,20210222,Pfizer,2,CV,L1,0,0,0,6416015.34
TEST,20210301,none,no_dose,CV,L1,0,0,0,61132.63
TEST,20210301,Pfizer,1,CV,L1,0,0,0,4346332.97
TEST,20210301,Pfizer,2,CV,L1,0,0,0,5182166.23
TEST,20210308,none,no_dose,CV,L1,0,0,0,63765.42
TEST,20210308,Pfizer,1,CV,L1,0,0,0,1320944.33
TEST,20210308,Pfizer,2,CV,L1,0,0,0,4812011.5
TEST,20210308,Moderna,1,CV,L1,0,0,0,44912107.35
TEST,20210315,none,no_dose,CV,L1,0,0,0,67469.37
TEST,20210315,Pfizer,1,CV,L1,0,0,0,690955.5
TEST,20210315,Moderna,1,CV,L1,0,0,0,9624023
TEST,20210315,Pfizer,2,CV,L1,0,0,0,4491210.74
TEST,20210315,AstraZeneca,1,CV,L1,0,0,0,67368161.03
TEST,20210322,none,no_dose,CV,L1,0,0,0,71478.15
TEST,20210322,Pfizer,1,CV,L1,0,0,0,585810.1
TEST,20210322,AstraZeneca,1,CV,L1,0,0,0,5858100.96
TEST,20210322,Moderna,1,CV,L1,0,0,0,4812011.5
TEST,20210322,Pfizer,2,CV,L1,0,0,0,2641888.67
