datasource,week_since_vaccination,vx_manufacturer,dose,riskfactor,COVID,Numerator,IR,lb,ub
TEST,0,none,no_dose,CV,L1,2,555.53,67.28,2006.77
TEST,1,Pfizer,1,CV,L1,0,0,0,92665.97
TEST,2,Pfizer,1,CV,L1,0,0,0,94023.95
TEST,3,Pfizer,1,CV,L1,0,0,0,105924.78
TEST,1,Pfizer,2,CV,L1,0,0,0,133799.72
TEST,2,Pfizer,2,CV,L1,0,0,0,140643.34
TEST,3,Pfizer,2,CV,L1,0,0,0,141529.75
TEST,4,Pfizer,2,CV,L1,0,0,0,141381.24
TEST,5,Pfizer,2,CV,L1,0,0,0,148061.89
TEST,6,Pfizer,2,CV,L1,0,0,0,163514.95
TEST,7,Pfizer,2,CV,L1,0,0,0,172517.7
TEST,8,Pfizer,2,CV,L1,0,0,0,200500.48
TEST,9,Pfizer,2,CV,L1,0,0,0,252788.6
TEST,10,Pfizer,2,CV,L1,0,0,0,349964.47
TEST,11,Pfizer,2,CV,L1,0,0,0,486412.72
TEST,12,Pfizer,2,CV,L1,0,0,0,670329.96
TEST,4,Pfizer,1,CV,L1,0,0,0,309738.67
TEST,5,Pfizer,1,CV,L1,0,0,0,458286.81
TEST,6,Pfizer,1,CV,L1,0,0,0,615234.35
TEST,7,Pfizer,1,CV,L1,0,0,0,1044467.61
TEST,8,Pfizer,1,CV,L1,0,0,0,1151592.5
TEST,9,Pfizer,1,CV,L1,0,0,0,1271097.38
TEST,1,AstraZeneca,1,CV,L1,0,0,0,641601.53
TEST,2,AstraZeneca,1,CV,L1,0,0,0,641601.53
TEST,3,AstraZeneca,1,CV,L1,0,0,0,641601.53
TEST,4,AstraZeneca,1,CV,L1,0,0,0,641601.53
TEST,5,AstraZeneca,1,CV,L1,0,0,0,657250.35
TEST,6,AstraZeneca,1,CV,L1,0,0,0,663725.72
TEST,7,AstraZeneca,1,CV,L1,0,0,0,673681.61
TEST,8,AstraZeneca,1,CV,L1,0,0,0,769921.84
TEST,9,AstraZeneca,1,CV,L1,0,0,0,869266.59
TEST,10,AstraZeneca,1,CV,L1,0,0,0,1013055.05
TEST,11,AstraZeneca,1,CV,L1,0,0,0,1104396.08
TEST,12,AstraZeneca,1,CV,L1,0,0,0,1259217.96
TEST,1,AstraZeneca,2,CV,L1,0,0,0,1684204.03
TEST,1,Moderna,1,CV,L1,0,0,0,712890.59
TEST,2,Moderna,1,CV,L1,0,0,0,724388.83
TEST,3,Moderna,1,CV,L1,0,0,0,740309.46
TEST,4,Moderna,1,CV,L1,0,0,0,806804.32
TEST,5,Moderna,1,CV,L1,0,0,0,2866730.26
TEST,1,Moderna,2,CV,L1,0,0,0,1013055.05
TEST,2,Moderna,2,CV,L1,0,0,0,1044467.61
