datasource,week,vx_manufacturer,dose,riskfactor,AESI,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,CV,ADEM_broad,0,0,0,50143.77
TEST,20200113,none,no_dose,CV,ADEM_broad,0,0,0,50500.87
TEST,20200120,none,no_dose,CV,ADEM_broad,0,0,0,50652.75
TEST,20200127,none,no_dose,CV,ADEM_broad,0,0,0,50690.87
TEST,20200203,none,no_dose,CV,ADEM_broad,0,0,0,50786.4
TEST,20200210,none,no_dose,CV,ADEM_broad,0,0,0,50901.52
TEST,20200217,none,no_dose,CV,ADEM_broad,0,0,0,50997.85
TEST,20200224,none,no_dose,CV,ADEM_broad,0,0,0,51211.07
TEST,20200302,none,no_dose,CV,ADEM_broad,0,0,0,51465.36
TEST,20200309,none,no_dose,CV,ADEM_broad,0,0,0,51642.9
TEST,20200316,none,no_dose,CV,ADEM_broad,0,0,0,51742.06
TEST,20200323,none,no_dose,CV,ADEM_broad,0,0,0,51761.94
TEST,20200330,none,no_dose,CV,ADEM_broad,0,0,0,51921.51
TEST,20200406,none,no_dose,CV,ADEM_broad,0,0,0,52182.93
TEST,20200413,none,no_dose,CV,ADEM_broad,0,0,0,52345.11
TEST,20200420,none,no_dose,CV,ADEM_broad,0,0,0,52610.82
TEST,20200427,none,no_dose,CV,ADEM_broad,0,0,0,52734.37
TEST,20200504,none,no_dose,CV,ADEM_broad,0,0,0,52755.02
TEST,20200511,none,no_dose,CV,ADEM_broad,0,0,0,52962.39
TEST,20200518,none,no_dose,CV,ADEM_broad,0,0,0,53024.92
TEST,20200525,none,no_dose,CV,ADEM_broad,0,0,0,53024.92
TEST,20200601,none,no_dose,CV,ADEM_broad,0,0,0,53087.6
TEST,20200608,none,no_dose,CV,ADEM_broad,0,0,0,53171.4
TEST,20200615,none,no_dose,CV,ADEM_broad,0,0,0,53255.46
TEST,20200622,none,no_dose,CV,ADEM_broad,0,0,0,53424.39
TEST,20200629,none,no_dose,CV,ADEM_broad,0,0,0,53466.79
TEST,20200706,none,no_dose,CV,ADEM_broad,0,0,0,53551.8
TEST,20200713,none,no_dose,CV,ADEM_broad,0,0,0,53765.49
TEST,20200720,none,no_dose,CV,ADEM_broad,0,0,0,54154.47
TEST,20200727,none,no_dose,CV,ADEM_broad,0,0,0,54219.85
