datasource,week,vx_manufacturer,dose,ageband,COVID,Numerator,IR,lb,ub
TEST,20200106,none,no_dose,50-59,L1,0,0,0,45969.4
TEST,20200106,none,no_dose,40-49,L1,0,0,0,50162.44
TEST,20200106,none,no_dose,70-79,L1,0,0,0,71026
TEST,20200106,none,no_dose,30-39,L1,0,0,0,76079.23
TEST,20200106,none,no_dose,25-29,L1,0,0,0,168842.51
TEST,20200106,none,no_dose,80+,L1,0,0,0,76381.13
TEST,20200106,none,no_dose,60-69,L1,0,0,0,52021.75
TEST,20200106,none,no_dose,5-11,L1,0,0,0,192480.46
TEST,20200106,none,no_dose,18-24,L1,0,0,0,188706.33
TEST,20200106,none,no_dose,0-4,L1,0,0,0,427734.36
TEST,20200106,none,no_dose,12-17,L1,0,0,0,174982.24
TEST,20200113,none,no_dose,50-59,L1,0,0,0,46047.96
TEST,20200113,none,no_dose,40-49,L1,0,0,0,50331.09
TEST,20200113,none,no_dose,70-79,L1,0,0,0,71100.96
TEST,20200113,none,no_dose,30-39,L1,0,0,0,76079.23
TEST,20200113,none,no_dose,25-29,L1,0,0,0,168842.51
TEST,20200113,none,no_dose,80+,L1,0,0,0,77168.57
TEST,20200113,none,no_dose,60-69,L1,0,0,0,52021.75
TEST,20200113,none,no_dose,5-11,L1,0,0,0,192480.46
TEST,20200113,none,no_dose,18-24,L1,0,0,0,188706.33
TEST,20200113,none,no_dose,0-4,L1,0,0,0,427734.36
TEST,20200113,none,no_dose,12-17,L1,0,0,0,175209.78
TEST,20200120,none,no_dose,50-59,L1,0,0,0,46047.96
TEST,20200120,none,no_dose,40-49,L1,0,0,0,50444.15
TEST,20200120,none,no_dose,70-79,L1,0,0,0,71289.06
TEST,20200120,none,no_dose,30-39,L1,0,0,0,76294.63
TEST,20200120,none,no_dose,25-29,L1,0,0,0,168842.51
TEST,20200120,none,no_dose,80+,L1,0,0,0,77301.39
TEST,20200120,none,no_dose,60-69,L1,0,0,0,52021.75
TEST,20200120,none,no_dose,5-11,L1,0,0,0,192755.83
TEST,20200120,none,no_dose,18-24,L1,0,0,0,188706.33
TEST,20200120,none,no_dose,0-4,L1,0,0,0,427734.36
TEST,20200120,none,no_dose,12-17,L1,0,0,0,177518.21
TEST,20200127,none,no_dose,50-59,L1,0,0,0,46126.78
TEST,20200127,none,no_dose,40-49,L1,0,0,0,50671.8
TEST,20200127,none,no_dose,70-79,L1,0,0,0,71289.06
TEST,20200127,none,no_dose,30-39,L1,0,0,0,76381.13
