meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
emergency_room_diagnosis,ICD9,42731,5847
exemption,ICD9,427,1106
emergency_room_diagnosis,ICD9,42741,31
emergency_room_diagnosis,ICD9,4270,1050
emergency_room_diagnosis,ICD9,42760,789
emergency_room_diagnosis,ICD9,4260,500
emergency_room_diagnosis,ICD9,4275,992
emergency_room_diagnosis,ICD9,42732,579
emergency_room_diagnosis,ICD9,4271,225
emergency_room_diagnosis,ICD9,7850,245
emergency_room_diagnosis,ICD9,42612,280
emergency_room_diagnosis,ICD9,42761,74
emergency_room_diagnosis,ICD9,4279,21
emergency_room_diagnosis,ICD9,4267,< 5
exemption,ICD9,426,47
emergency_room_diagnosis,ICD9,42781,18
emergency_room_diagnosis,ICD9,4272,83
emergency_room_diagnosis,ICD9,42789,112
"","",4271,< 5
emergency_room_diagnosis,ICD9,42610,23
"","",42760,< 5
emergency_room_diagnosis,ICD9,4266,7
emergency_room_diagnosis,ICD9,42650,< 5
emergency_room_diagnosis,ICD9,42611,< 5
emergency_room_diagnosis,ICD9,42654,< 5
emergency_room_diagnosis,ICD9,42769,6
"","",42731,10
emergency_room_diagnosis,ICD9,4269,< 5
emergency_room_diagnosis,ICD9,42682,< 5
emergency_room_diagnosis,ICD9,42613,< 5
"","",42612,< 5
"","",7850,< 5
"","",42654,< 5
"","",4270,< 5
"","",4275,< 5
"","",42741,< 5
"","",4260,< 5
emergency_room_diagnosis,ICD9,4263,< 5
