 ,Parameters,Pfizer,perc_Pfizer,Moderna,perc_Moderna,AstraZeneca,perc_AstraZeneca,Janssen,perc_Janssen
"","",N,%,N,%,N,%,N,%
Study population,N,807,68%,141,11.9%,207,17.5%,31,2.6%
Person-years of follow-up between first and second dose,PY,57,51.4%,12,10.8%,39,35.1%,3,2.7%
Month of first vaccination,"",1,"",1,"",2,"",4,""
2021 January,N,41,5.1%,3,2.1%,0,0%,0,0%
2021 February,N,25,3.1%,2,1.4%,23,11.1%,0,0%
2021 March,N,84,10.4%,20,14.2%,43,20.8%,0,0%
2021 April,N,164,20.3%,27,19.1%,63,30.4%,6,19.4%
2021 May,N,204,25.3%,48,34%,72,34.8%,9,29%
2021 June,N,289,35.8%,41,29.1%,6,2.9%,16,51.6%
Age in years,Min,15,"",19,"",26,"",59,""
Age in years,P25,51,"",42,"",56,"",60,""
Age in years,P50,64,"",57,"",66,"",64,""
Age in years,Mean,63,"",54,"",64,"",65,""
Age in years,P75,80,"",66,"",73,"",67,""
Age in years,Max,96,"",83,"",79,"",79,""
Age in categories,12-17,7,0.9%,0,0%,0,0%,0,0%
Age in categories,18-24,18,2.2%,7,5%,0,0%,0,0%
Age in categories,25-29,16,2%,4,2.8%,4,1.9%,0,0%
Age in categories,30-39,49,6.1%,23,16.3%,5,2.4%,0,0%
Age in categories,40-49,83,10.3%,18,12.8%,21,10.1%,0,0%
Age in categories,50-59,173,21.4%,35,24.8%,30,14.5%,7,22.6%
Age in categories,60-69,159,19.7%,30,21.3%,56,27.1%,17,54.8%
Age in categories,70-79,95,11.8%,21,14.9%,91,44%,7,22.6%
Age in categories,80+,207,25.7%,3,2.1%,0,0%,0,0%
Age in categories,60+,461,57.2%,54,38.3%,147,71.1%,24,77.4%
Person years across age categories,12-17,0,0%,0,0%,0,0%,0,0%
Person years across age categories,18-24,1,1.8%,0,0%,0,0%,0,0%
Person years across age categories,25-29,1,1.8%,0,0%,1,2.6%,0,0%
Person years across age categories,30-39,3,5.3%,1,10%,1,2.6%,0,0%
Person years across age categories,40-49,5,8.8%,1,10%,4,10.3%,0,0%
Person years across age categories,50-59,11,19.3%,3,30%,6,15.4%,1,33.3%
Person years across age categories,60-69,13,22.8%,3,30%,8,20.5%,1,33.3%
Person years across age categories,70-79,7,12.3%,2,20%,19,48.7%,1,33.3%
Person years across age categories,80+,16,28.1%,0,0%,0,0%,0,0%
Person years across age categories,60+,36,63.2%,5,50%,27,69.2%,2,66.6%
Person years across sex,Female,33,57.9%,6,54.5%,22,56.4%,2,66.7%
Person years across sex,Male,24,42.1%,5,45.5%,17,43.6%,1,33.3%
At risk population at date of vaccination,Cardiovascular disease,272,33.7%,39,27.7%,42,20.3%,6,19.4%
At risk population at date of vaccination,Cancer,45,5.6%,16,11.3%,8,3.9%,1,3.2%
At risk population at date of vaccination,Chronic lung disease,67,8.3%,15,10.6%,16,7.7%,2,6.5%
At risk population at date of vaccination,HIV,1,0.1%,2,1.4%,0,0%,0,0%
At risk population at date of vaccination,Chronic kidney disease,6,0.7%,4,2.8%,0,0%,0,0%
At risk population at date of vaccination,Diabetes,93,11.5%,18,12.8%,9,4.3%,1,3.2%
At risk population at date of vaccination,Severe obesity,6,0.7%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Sickle cell disease,1,0.1%,0,0%,0,0%,0,0%
At risk population at date of vaccination,Use of immunosuppressants,109,13.5%,18,12.8%,26,12.6%,6,19.4%
At risk population at date of vaccination,Any risk factors,387,48%,68,48.2%,75,36.2%,14,45.2%
