DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,January,0,0,0,3664.7,total
TEST,DM1_narrow,February,0,0,0,3917.44,total
TEST,DM1_narrow,March,0,0,0,3664.7,total
TEST,DM1_narrow,April,0,0,0,3786.86,total
TEST,DM1_narrow,May,0,0,0,3664.7,total
TEST,DM1_narrow,June,0,0,0,3786.86,total
TEST,DM1_narrow,July,0,0,0,3664.7,total
TEST,DM1_narrow,August,0,0,0,3664.7,total
TEST,DM1_narrow,September,0,0,0,3786.86,total
TEST,DM1_narrow,October,0,0,0,3664.7,total
TEST,DM1_narrow,November,0,0,0,3786.86,total
TEST,DM1_narrow,December,0,0,0,3664.7,total
TEST,HF_narrow,January,0,0,0,3683.33,total
TEST,HF_narrow,February,0,0,0,3937.36,total
TEST,HF_narrow,March,0,0,0,3683.33,total
TEST,HF_narrow,April,0,0,0,3806.11,total
TEST,HF_narrow,May,2,1998.58,242.04,7219.55,total
TEST,HF_narrow,June,0,0,0,3812.57,total
TEST,HF_narrow,July,0,0,0,3689.59,total
TEST,HF_narrow,August,1,1000.41,25.33,5573.93,total
TEST,HF_narrow,September,1,1035.08,26.21,5767.12,total
TEST,HF_narrow,October,0,0,0,3695.86,total
TEST,HF_narrow,November,0,0,0,3819.06,total
TEST,HF_narrow,December,0,0,0,3695.86,total
TEST,CAD_narrow,January,0,0,0,3670.89,total
TEST,CAD_narrow,February,0,0,0,3924.05,total
TEST,CAD_narrow,March,0,0,0,3670.89,total
TEST,CAD_narrow,April,0,0,0,3793.25,total
TEST,CAD_narrow,May,2,1992.25,241.27,7196.71,total
TEST,CAD_narrow,June,1,1030.24,26.08,5740.11,total
TEST,CAD_narrow,July,0,0,0,3680.21,total
TEST,CAD_narrow,August,0,0,0,3680.21,total
TEST,CAD_narrow,September,2,2063.15,249.86,7452.81,total
TEST,CAD_narrow,October,0,0,0,3686.46,total
TEST,CAD_narrow,November,0,0,0,3809.34,total
TEST,CAD_narrow,December,0,0,0,3686.46,total
TEST,ARR_narrow,January,1,1007.64,25.51,5614.22,total
TEST,ARR_narrow,February,0,0,0,3974.41,total
TEST,ARR_narrow,March,5,5050.75,1639.96,11786.76,total
TEST,ARR_narrow,April,0,0,0,3858.43,total
TEST,ARR_narrow,May,1,1012.84,25.64,5643.18,total
TEST,ARR_narrow,June,1,1046.86,26.5,5832.74,total
TEST,ARR_narrow,July,0,0,0,3740.39,total
TEST,ARR_narrow,August,1,1014.1,25.67,5650.23,total
TEST,ARR_narrow,September,2,2097.87,254.06,7578.23,total
TEST,ARR_narrow,October,1,1017.24,25.75,5667.7,total
TEST,ARR_narrow,November,2,2105.55,254.99,7605.98,total
TEST,ARR_narrow,December,0,0,0,3759.8,total
TEST,MYOCARD_narrow,January,0,0,0,3667.79,total
TEST,MYOCARD_narrow,February,0,0,0,3920.74,total
TEST,MYOCARD_narrow,March,0,0,0,3667.79,total
TEST,MYOCARD_narrow,April,0,0,0,3790.05,total
TEST,MYOCARD_narrow,May,0,0,0,3667.79,total
TEST,MYOCARD_narrow,June,1,1027.83,26.02,5726.71,total
TEST,MYOCARD_narrow,July,0,0,0,3670.89,total
TEST,MYOCARD_narrow,August,0,0,0,3670.89,total
TEST,MYOCARD_narrow,September,0,0,0,3793.25,total
TEST,MYOCARD_narrow,October,0,0,0,3670.89,total
TEST,MYOCARD_narrow,November,0,0,0,3793.25,total
TEST,MYOCARD_narrow,December,0,0,0,3670.89,total
TEST,PERICARD_narrow,January,0,0,0,3667.79,total
TEST,PERICARD_narrow,February,0,0,0,3920.74,total
TEST,PERICARD_narrow,March,0,0,0,3667.79,total
TEST,PERICARD_narrow,April,0,0,0,3790.05,total
TEST,PERICARD_narrow,May,0,0,0,3667.79,total
TEST,PERICARD_narrow,June,1,1027.83,26.02,5726.71,total
TEST,PERICARD_narrow,July,0,0,0,3670.89,total
TEST,PERICARD_narrow,August,0,0,0,3670.89,total
TEST,PERICARD_narrow,September,0,0,0,3793.25,total
TEST,PERICARD_narrow,October,0,0,0,3670.89,total
TEST,PERICARD_narrow,November,0,0,0,3793.25,total
TEST,PERICARD_narrow,December,0,0,0,3670.89,total
TEST,AKI_narrow,January,0,0,0,3664.7,total
TEST,AKI_narrow,February,1,1061.96,26.89,5916.85,total
TEST,AKI_narrow,March,0,0,0,3667.79,total
TEST,AKI_narrow,April,0,0,0,3790.05,total
TEST,AKI_narrow,May,0,0,0,3667.79,total
TEST,AKI_narrow,June,0,0,0,3790.05,total
TEST,AKI_narrow,July,0,0,0,3667.79,total
TEST,AKI_narrow,August,1,994.45,25.18,5540.7,total
TEST,AKI_narrow,September,0,0,0,3793.25,total
TEST,AKI_narrow,October,0,0,0,3670.89,total
TEST,AKI_narrow,November,0,0,0,3793.25,total
TEST,AKI_narrow,December,1,995.39,25.2,5545.98,total
TEST,GENCONV_narrow,January,1,993.74,25.16,5536.78,total
TEST,GENCONV_narrow,February,0,0,0,3919.6,total
TEST,GENCONV_narrow,March,1,993.74,25.16,5536.78,total
