"",IT-ARS,IT-ARS
"",Narrow,Broad
ACUASEARTHRITIS,"",""
2020,0,5
2021,0,0
ADEM,"",""
2020,0,1
2021,0,0
AKI,"",""
2020,8,18
2021,7,9
ALI,"",""
2020,0,0
2021,0,0
ANOSMIA,"",""
2020,0,0
2021,0,0
ARD,"",""
2020,1,1
2021,0,0
ARR,"",""
2020,36,36
2021,25,25
ArterialNoTP,"",""
2020,12,0
2021,6,0
ArterialTP,"",""
2020,0,0
2021,0,0
ArterialVTENoTP,"",""
2020,15,0
2021,7,0
ArterialVTETP,"",""
2020,0,0
2021,0,0
BP,"",""
2020,0,0
2021,0,0
CAD,"",""
2020,10,38
2021,13,23
CHILBLAIN,"",""
2020,0,0
2021,1,1
CONTRDIVERTIC,"",""
2020,0,0
2021,0,0
CONTRHYPERT,"",""
2020,160,0
2021,216,0
CVSTNoTP,"",""
2020,0,0
2021,0,0
CVSTTP,"",""
2020,0,0
2021,0,0
DEATH,"",""
2020,92,0
2021,58,0
DIC,"",""
2020,0,0
2021,0,0
DM1,"",""
2020,2,21
2021,2,28
ERYTH,"",""
2020,0,0
2021,0,0
GBS,"",""
2020,0,0
2021,0,0
Hemostroke,"",""
2020,3,3
2021,4,4
HF,"",""
2020,17,18
2021,17,23
Ischstroke,"",""
2020,5,7
2021,1,2
KD,"",""
2020,0,0
2021,0,0
MENINGOENC,"",""
2020,1,1
2021,0,0
MICROANGIO,"",""
2020,0,0
2021,0,0
MIS,"",""
2020,0,1
2021,0,3
MISCC,"",""
2020,0,0
2021,0,0
MYOCARD,"",""
2020,1,1
2021,1,1
Myocardalone,"",""
2020,0,0
2021,0,0
NARCOLEPSY,"",""
2020,0,0
2021,0,0
PERICARD,"",""
2020,1,2
2021,1,2
Sinusthrom,"",""
2020,0,0
2021,0,0
SOCV,"",""
2020,0,0
2021,0,0
STRCARD,"",""
2020,0,0
2021,0,0
SUDDENDEAT,"",""
2020,0,0
2021,0,0
TMA,"",""
2020,0,0
2021,0,0
TP,"",""
2020,0,0
2021,0,0
TRANSMYELITIS,"",""
2020,0,0
2021,0,0
VTE,"",""
2020,5,5
2021,1,1
VTENoTP,"",""
2020,3,0
2021,1,0
VTETP,"",""
2020,0,0
2021,0,0
ANAPHYL,"",""
2020,0,2
2021,0,5
GENCONV,"",""
2020,4,4
2021,0,0
COVID_L1plus,"",""
2020,32,0
2021,41,0
COVID_L2plus,"",""
2020,10,0
2021,14,0
COVID_L3plus,"",""
2020,6,0
2021,3,0
COVID_L4plus,"",""
2020,5,0
2021,3,0
COVID_L5plus,"",""
2020,5,0
2021,3,0
