DAP,AESI,Age in 2020,Sex,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,AKI_narrow,0-59,Female,0,0,0,1269.42,total
TEST,AKI_narrow,0-59,Male,0,0,0,1496.47,total
TEST,AKI_narrow,12-17,Female,0,0,0,46016.5,total
TEST,AKI_narrow,12-17,Male,0,0,0,73626.41,total
TEST,AKI_narrow,18-24,Female,0,0,0,33466.55,total
TEST,AKI_narrow,18-24,Male,0,0,0,26295.14,total
TEST,AKI_narrow,25-29,Female,0,0,0,26295.14,total
TEST,AKI_narrow,25-29,Male,0,0,0,30677.67,total
TEST,AKI_narrow,30-39,Female,0,0,0,8002.87,total
TEST,AKI_narrow,30-39,Male,0,0,0,11155.52,total
TEST,AKI_narrow,40-49,Female,0,0,0,4659.9,total
TEST,AKI_narrow,40-49,Male,0,0,0,5577.76,total
TEST,AKI_narrow,50-59,Female,0,0,0,2788.88,total
TEST,AKI_narrow,50-59,Male,0,0,0,3173.55,total
TEST,AKI_narrow,60+,Female,1,286.23,7.25,1594.79,total
TEST,AKI_narrow,60+,Male,2,665,80.53,2402.2,total
TEST,AKI_narrow,60-69,Female,0,0,0,2726.9,total
TEST,AKI_narrow,60-69,Male,1,766.69,19.41,4271.71,total
TEST,AKI_narrow,70-79,Female,0,0,0,3644.87,total
TEST,AKI_narrow,70-79,Male,1,998.22,25.27,5561.75,total
TEST,AKI_narrow,80+,Female,1,885.88,22.43,4935.83,total
TEST,AKI_narrow,80+,Male,0,0,0,5259.03,total
TEST,ARD_narrow,0-59,Female,0,0,0,1269.42,total
TEST,ARD_narrow,0-59,Male,0,0,0,1496.47,total
TEST,ARD_narrow,12-17,Female,0,0,0,46016.5,total
TEST,ARD_narrow,12-17,Male,0,0,0,73626.41,total
TEST,ARD_narrow,18-24,Female,0,0,0,33466.55,total
TEST,ARD_narrow,18-24,Male,0,0,0,26295.14,total
TEST,ARD_narrow,25-29,Female,0,0,0,26295.14,total
TEST,ARD_narrow,25-29,Male,0,0,0,30677.67,total
TEST,ARD_narrow,30-39,Female,0,0,0,8002.87,total
TEST,ARD_narrow,30-39,Male,0,0,0,11155.52,total
TEST,ARD_narrow,40-49,Female,0,0,0,4659.9,total
TEST,ARD_narrow,40-49,Male,0,0,0,5577.76,total
TEST,ARD_narrow,50-59,Female,0,0,0,2788.88,total
TEST,ARD_narrow,50-59,Male,0,0,0,3173.55,total
TEST,ARD_narrow,60+,Female,0,0,0,1054.82,total
TEST,ARD_narrow,60+,Male,0,0,0,1223.03,total
TEST,ARD_narrow,60-69,Female,0,0,0,2726.9,total
TEST,ARD_narrow,60-69,Male,0,0,0,2810.17,total
TEST,ARD_narrow,70-79,Female,0,0,0,3644.87,total
TEST,ARD_narrow,70-79,Male,0,0,0,3681.32,total
TEST,ARD_narrow,80+,Female,0,0,0,3257.81,total
TEST,ARD_narrow,80+,Male,0,0,0,5259.03,total
TEST,ARR_narrow,0-59,Female,0,0,0,1273.81,total
TEST,ARR_narrow,0-59,Male,0,0,0,1508.74,total
TEST,ARR_narrow,12-17,Female,0,0,0,46016.5,total
TEST,ARR_narrow,12-17,Male,0,0,0,73626.41,total
TEST,ARR_narrow,18-24,Female,0,0,0,33466.55,total
TEST,ARR_narrow,18-24,Male,0,0,0,26295.14,total
TEST,ARR_narrow,25-29,Female,0,0,0,26295.14,total
TEST,ARR_narrow,25-29,Male,0,0,0,30677.67,total
TEST,ARR_narrow,30-39,Female,0,0,0,8002.87,total
TEST,ARR_narrow,30-39,Male,0,0,0,11155.52,total
TEST,ARR_narrow,40-49,Female,0,0,0,4659.9,total
TEST,ARR_narrow,40-49,Male,0,0,0,5663.57,total
TEST,ARR_narrow,50-59,Female,0,0,0,2810.17,total
TEST,ARR_narrow,50-59,Male,0,0,0,3201.15,total
TEST,ARR_narrow,60+,Female,7,2061.91,829,4248.33,total
TEST,ARR_narrow,60+,Male,7,2403.01,966.13,4951.11,total
TEST,ARR_narrow,60-69,Female,1,740.63,18.75,4126.54,total
TEST,ARR_narrow,60-69,Male,1,774.41,19.61,4314.73,total
TEST,ARR_narrow,70-79,Female,3,3118.24,643.06,9112.82,total
TEST,ARR_narrow,70-79,Male,3,3160.06,651.68,9235.03,total
TEST,ARR_narrow,80+,Female,3,2771.03,571.45,8098.14,total
TEST,ARR_narrow,80+,Male,3,4461.89,920.15,13039.52,total
TEST,ArterialNoTP,0-59,Female,2,692.16,83.82,2500.32,total
TEST,ArterialNoTP,0-59,Male,0,0,0,1496.47,total
TEST,ArterialNoTP,12-17,Female,0,0,0,46016.5,total
TEST,ArterialNoTP,12-17,Male,0,0,0,73626.41,total
TEST,ArterialNoTP,18-24,Female,0,0,0,33466.55,total
TEST,ArterialNoTP,18-24,Male,0,0,0,26295.14,total
TEST,ArterialNoTP,25-29,Female,0,0,0,26295.14,total
TEST,ArterialNoTP,25-29,Male,0,0,0,30677.67,total
TEST,ArterialNoTP,30-39,Female,0,0,0,8002.87,total
TEST,ArterialNoTP,30-39,Male,0,0,0,11155.52,total
TEST,ArterialNoTP,40-49,Female,0,0,0,4659.9,total
TEST,ArterialNoTP,40-49,Male,0,0,0,5577.76,total
TEST,ArterialNoTP,50-59,Female,2,1531.09,185.42,5530.84,total
TEST,ArterialNoTP,50-59,Male,0,0,0,3173.55,total
TEST,ArterialNoTP,60+,Female,3,866.36,178.66,2531.88,total
TEST,ArterialNoTP,60+,Male,3,1004.42,207.14,2935.34,total
TEST,ArterialNoTP,60-69,Female,0,0,0,2726.9,total
TEST,ArterialNoTP,60-69,Male,2,1546.29,187.26,5585.74,total
TEST,ArterialNoTP,70-79,Female,2,2012.29,243.7,7269.07,total
TEST,ArterialNoTP,70-79,Male,1,1008.11,25.52,5616.86,total
TEST,ArterialNoTP,80+,Female,1,895.99,22.68,4992.13,total
TEST,ArterialNoTP,80+,Male,0,0,0,5259.03,total
TEST,ArterialVTENoTP,0-59,Female,2,692.16,83.82,2500.32,total
TEST,ArterialVTENoTP,0-59,Male,0,0,0,1496.47,total
TEST,ArterialVTENoTP,12-17,Female,0,0,0,46016.5,total
TEST,ArterialVTENoTP,12-17,Male,0,0,0,73626.41,total
TEST,ArterialVTENoTP,18-24,Female,0,0,0,33466.55,total
TEST,ArterialVTENoTP,18-24,Male,0,0,0,26295.14,total
TEST,ArterialVTENoTP,25-29,Female,0,0,0,26295.14,total
TEST,ArterialVTENoTP,25-29,Male,0,0,0,30677.67,total
TEST,ArterialVTENoTP,30-39,Female,0,0,0,8002.87,total
TEST,ArterialVTENoTP,30-39,Male,0,0,0,11155.52,total
TEST,ArterialVTENoTP,40-49,Female,0,0,0,4659.9,total
