DAP,Event,Coding_system,First_4_digits_of_code,meaning_of_event,sum
TEST,ADEM,ICD9,3239,emergency_room_diagnosis,1
TEST,ACUASEARTHRITIS,ICD9,7169,emergency_room_diagnosis,4
TEST,ACUASEARTHRITIS,ICD9,2740,emergency_room_diagnosis,1
TEST,DM1,ICD9,2501,emergency_room_diagnosis,4
TEST,DM1,ICD9,2501,hospitalisation_primary,2
TEST,DM1,ICD9,2500,emergency_room_diagnosis,2
TEST,DM1,ICD9,2500,emergency_room_diagnosis,4
TEST,DM1,ICD9,2500,hospitalisation_secondary,15
TEST,DM1,ICD9,2500,hospitalisation_secondary,8
TEST,DM1,ICD9,250,exemption,9
TEST,DM1,ICD9,2507,hospitalisation_secondary,4
TEST,DM1,ICD9,2508,emergency_room_diagnosis,3
TEST,DM1,ICD9,2507,hospitalisation_secondary,1
TEST,DM1,ICD9,2504,hospitalisation_secondary,1
TEST,HF,ICD9,4280,emergency_room_diagnosis,26
TEST,HF,ICD9,4280,hospitalisation_secondary,12
TEST,HF,ICD9,4281,hospitalisation_primary,4
TEST,HF,ICD9,4284,hospitalisation_secondary,4
TEST,HF,ICD9,4280,hospitalisation_primary,8
TEST,HF,ICD9,4281,emergency_room_diagnosis,4
TEST,HF,ICD9,4283,hospitalisation_secondary,2
TEST,HF,ICD9,4029,hospitalisation_secondary,2
TEST,HF,ICD9,4281,hospitalisation_secondary,2
TEST,HF,ICD9,4289,emergency_room_diagnosis,2
TEST,HF,ICD9,4284,hospitalisation_primary,2
TEST,HF,ICD9,4021,hospitalisation_secondary,4
TEST,HF,ICD9,402,exemption,1
TEST,HF,ICD9,4021,hospitalisation_primary,1
TEST,HF,ICD9,4150,hospitalisation_secondary,1
TEST,CAD,ICD9,4101,hospitalisation_primary,2
TEST,CAD,ICD9,4105,hospitalisation_primary,2
TEST,CAD,ICD9,4109,hospitalisation_secondary,2
TEST,CAD,ICD9,4109,emergency_room_diagnosis,10
TEST,CAD,ICD9,4104,hospitalisation_primary,2
TEST,CAD,ICD9,4107,hospitalisation_primary,6
TEST,CAD,ICD9,412,hospitalisation_secondary,6
TEST,CAD,ICD9,4102,hospitalisation_primary,4
TEST,CAD,ICD9,4101,hospitalisation_secondary,2
TEST,CAD,ICD9,4107,emergency_room_diagnosis,6
TEST,CAD,ICD9,4103,hospitalisation_primary,2
TEST,CAD,ICD9,4100,hospitalisation_primary,2
TEST,CAD,ICD9,4140,hospitalisation_secondary,7
TEST,CAD,ICD9,4149,hospitalisation_secondary,7
TEST,CAD,ICD9,4148,hospitalisation_secondary,4
TEST,CAD,ICD9,4140,hospitalisation_primary,4
TEST,CAD,ICD9,4111,hospitalisation_primary,1
TEST,CAD,ICD9,414,exemption,6
TEST,CAD,ICD9,4111,emergency_room_diagnosis,1
TEST,CAD,ICD9,4402,hospitalisation_primary,1
TEST,CAD,ICD9,4139,hospitalisation_primary,3
TEST,CAD,ICD9,4408,hospitalisation_secondary,1
TEST,CAD,ICD9,4139,hospitalisation_secondary,2
TEST,CAD,ICD9,4402,hospitalisation_primary,1
TEST,ARR,ICD9,4261,hospitalisation_primary,2
TEST,ARR,ICD9,4260,emergency_room_diagnosis,4
TEST,ARR,ICD9,4260,hospitalisation_primary,10
TEST,ARR,ICD9,4275,hospitalisation_secondary,4
TEST,ARR,ICD9,4273,hospitalisation_secondary,44
TEST,ARR,ICD9,4261,hospitalisation_secondary,2
TEST,ARR,ICD9,4273,emergency_room_diagnosis,26
TEST,ARR,ICD9,4273,hospitalisation_primary,6
TEST,ARR,ICD9,4270,emergency_room_diagnosis,6
TEST,ARR,ICD9,4270,hospitalisation_primary,2
TEST,ARR,ICD9,4261,emergency_room_diagnosis,4
TEST,ARR,ICD9,4275,emergency_room_diagnosis,2
TEST,ARR,ICD9,4276,emergency_room_diagnosis,2
TEST,ARR,ICD9,427,exemption,2
TEST,ARR,ICD9,4260,hospitalisation_secondary,2
