DAP,AESI,Month in 2020,Person years,IR narrow,LL narrow,UL narrow,at_risk_at_study_entry
TEST,DM1_narrow,January,32767,0,0,4111.95,total
TEST,DM1_narrow,February,30653,0,0,4395.53,total
TEST,DM1_narrow,March,32767,0,0,4111.95,total
TEST,DM1_narrow,April,31710,0,0,4249.02,total
TEST,DM1_narrow,May,32767,0,0,4111.95,total
TEST,DM1_narrow,June,31710,0,0,4249.02,total
TEST,DM1_narrow,July,32767,0,0,4111.95,total
TEST,DM1_narrow,August,32767,0,0,4111.95,total
TEST,DM1_narrow,September,31710,0,0,4249.02,total
TEST,DM1_narrow,October,32767,0,0,4111.95,total
TEST,DM1_narrow,November,31710,0,0,4249.02,total
TEST,DM1_narrow,December,32767,0,0,4111.95,total
TEST,HF_narrow,January,32581,0,0,4135.43,total
TEST,HF_narrow,February,30479,0,0,4420.63,total
TEST,HF_narrow,March,32581,0,0,4135.43,total
TEST,HF_narrow,April,31530,0,0,4273.27,total
TEST,HF_narrow,May,32552,2244.1,271.77,8106.47,total
TEST,HF_narrow,June,31470,0,0,4281.42,total
TEST,HF_narrow,July,32519,0,0,4143.31,total
TEST,HF_narrow,August,32511,1123.47,28.44,6259.55,total
TEST,HF_narrow,September,31417,1162.59,29.43,6477.52,total
TEST,HF_narrow,October,32457,0,0,4151.23,total
TEST,HF_narrow,November,31410,0,0,4289.6,total
TEST,HF_narrow,December,32457,0,0,4151.23,total
TEST,CAD_narrow,January,32736,0,0,4115.85,total
TEST,CAD_narrow,February,30624,0,0,4399.7,total
TEST,CAD_narrow,March,32736,0,0,4115.85,total
TEST,CAD_narrow,April,31680,0,0,4253.04,total
TEST,CAD_narrow,May,32699,2234.01,270.55,8070.02,total
TEST,CAD_narrow,June,31613,1155.38,29.25,6437.36,total
TEST,CAD_narrow,July,32643,0,0,4127.57,total
TEST,CAD_narrow,August,32643,0,0,4127.57,total
TEST,CAD_narrow,September,31567,2314.13,280.25,8359.42,total
TEST,CAD_narrow,October,32581,0,0,4135.43,total
TEST,CAD_narrow,November,31530,0,0,4273.27,total
TEST,CAD_narrow,December,32581,0,0,4135.43,total
TEST,ARR_narrow,January,32249,1132.59,28.67,6310.41,total
TEST,ARR_narrow,February,30160,0,0,4467.38,total
TEST,ARR_narrow,March,32159,5678.81,1843.9,13252.46,total
TEST,ARR_narrow,April,31050,0,0,4339.33,total
TEST,ARR_narrow,May,32063,1139.16,28.84,6347.01,total
TEST,ARR_narrow,June,31020,1177.47,29.81,6560.42,total
TEST,ARR_narrow,July,32023,0,0,4207.49,total
TEST,ARR_narrow,August,32018,1140.76,28.88,6355.93,total
TEST,ARR_narrow,September,30951,2360.18,285.83,8525.79,total
TEST,ARR_narrow,October,31907,1144.73,28.98,6378.04,total
TEST,ARR_narrow,November,30824,2369.91,287.01,8560.92,total
TEST,ARR_narrow,December,31837,0,0,4232.07,total
TEST,MYOCARD_narrow,January,32736,0,0,4115.85,total
TEST,MYOCARD_narrow,February,30624,0,0,4399.7,total
TEST,MYOCARD_narrow,March,32736,0,0,4115.85,total
TEST,MYOCARD_narrow,April,31680,0,0,4253.04,total
TEST,MYOCARD_narrow,May,32736,0,0,4115.85,total
TEST,MYOCARD_narrow,June,31666,1153.45,29.2,6426.59,total
TEST,MYOCARD_narrow,July,32705,0,0,4119.75,total
TEST,MYOCARD_narrow,August,32705,0,0,4119.75,total
TEST,MYOCARD_narrow,September,31650,0,0,4257.07,total
TEST,MYOCARD_narrow,October,32705,0,0,4119.75,total
TEST,MYOCARD_narrow,November,31650,0,0,4257.07,total
TEST,MYOCARD_narrow,December,32705,0,0,4119.75,total
TEST,PERICARD_narrow,January,32736,0,0,4115.85,total
TEST,PERICARD_narrow,February,30624,0,0,4399.7,total
TEST,PERICARD_narrow,March,32736,0,0,4115.85,total
TEST,PERICARD_narrow,April,31680,0,0,4253.04,total
TEST,PERICARD_narrow,May,32736,0,0,4115.85,total
TEST,PERICARD_narrow,June,31666,1153.45,29.2,6426.59,total
TEST,PERICARD_narrow,July,32705,0,0,4119.75,total
TEST,PERICARD_narrow,August,32705,0,0,4119.75,total
TEST,PERICARD_narrow,September,31650,0,0,4257.07,total
TEST,PERICARD_narrow,October,32705,0,0,4119.75,total
TEST,PERICARD_narrow,November,31650,0,0,4257.07,total
TEST,PERICARD_narrow,December,32705,0,0,4119.75,total
TEST,AKI_narrow,January,32767,0,0,4111.95,total
TEST,AKI_narrow,February,30653,0,0,4395.53,total
TEST,AKI_narrow,March,32767,0,0,4111.95,total
TEST,AKI_narrow,April,31710,0,0,4249.02,total
TEST,AKI_narrow,May,32767,0,0,4111.95,total
TEST,AKI_narrow,June,31710,0,0,4249.02,total
TEST,AKI_narrow,July,32767,0,0,4111.95,total
TEST,AKI_narrow,August,32761,1114.89,28.23,6211.78,total
TEST,AKI_narrow,September,31680,0,0,4253.04,total
TEST,AKI_narrow,October,32736,0,0,4115.85,total
TEST,AKI_narrow,November,31680,0,0,4253.04,total
TEST,AKI_narrow,December,32726,1116.09,28.26,6218.43,total
TEST,GENCONV_narrow,January,32756,1115.06,28.23,6212.73,total
TEST,GENCONV_narrow,February,30634,0,0,4398.26,total
TEST,GENCONV_narrow,March,32756,1115.06,28.23,6212.73,total
TEST,GENCONV_narrow,April,31691,0,0,4251.56,total
TEST,GENCONV_narrow,May,32767,0,0,4111.95,total
TEST,GENCONV_narrow,June,31710,0,0,4249.02,total
TEST,GENCONV_narrow,July,32767,0,0,4111.95,total
TEST,GENCONV_narrow,August,32767,0,0,4111.95,total
TEST,GENCONV_narrow,September,31710,0,0,4249.02,total
TEST,GENCONV_narrow,October,32767,0,0,4111.95,total
TEST,GENCONV_narrow,November,31710,0,0,4249.02,total
