DAP,Vaccine brand,Year,Week,Number of doses,Number vaccinate,Number present,Coverage
TEST,AstraZeneca,2020,50,0,0,2134,0
TEST,AstraZeneca,2020,50,0,0,2134,0
TEST,J&J,2020,50,0,0,2134,0
TEST,J&J,2020,50,0,0,2134,0
TEST,Moderna,2020,50,0,0,2134,0
TEST,Moderna,2020,50,0,0,2134,0
TEST,Pfizer,2020,50,0,0,2134,0
TEST,Pfizer,2020,50,0,0,2134,0
TEST,UKN,2020,50,0,0,2134,0
TEST,UKN,2020,50,0,0,2134,0
TEST,AstraZeneca,2020,51,0,0,2126,0
TEST,AstraZeneca,2020,51,0,0,2126,0
TEST,J&J,2020,51,0,0,2126,0
TEST,J&J,2020,51,0,0,2126,0
TEST,Moderna,2020,51,0,0,2126,0
TEST,Moderna,2020,51,0,0,2126,0
TEST,Pfizer,2020,51,0,0,2126,0
TEST,Pfizer,2020,51,0,0,2126,0
TEST,UKN,2020,51,0,0,2126,0
TEST,UKN,2020,51,0,0,2126,0
TEST,AstraZeneca,2020,52,0,0,2120,0
TEST,AstraZeneca,2020,52,0,0,2120,0
TEST,J&J,2020,52,0,0,2120,0
TEST,J&J,2020,52,0,0,2120,0
TEST,Moderna,2020,52,0,0,2120,0
TEST,Moderna,2020,52,0,0,2120,0
TEST,Pfizer,2020,52,2,2,2120,0.1
TEST,Pfizer,2020,52,2,0,2120,0
TEST,UKN,2020,52,0,0,2120,0
TEST,UKN,2020,52,0,0,2120,0
TEST,AstraZeneca,2021,1,0,0,2106,0
TEST,AstraZeneca,2021,1,0,0,2106,0
TEST,J&J,2021,1,0,0,2106,0
TEST,J&J,2021,1,0,0,2106,0
TEST,Moderna,2021,1,0,0,2106,0
TEST,Moderna,2021,1,0,0,2106,0
TEST,Pfizer,2021,1,22,22,2106,1
TEST,Pfizer,2021,1,22,0,2106,0
TEST,UKN,2021,1,0,0,2106,0
TEST,UKN,2021,1,0,0,2106,0
TEST,AstraZeneca,2021,2,0,0,2099,0
TEST,AstraZeneca,2021,2,0,0,2099,0
TEST,J&J,2021,2,0,0,2099,0
TEST,J&J,2021,2,0,0,2099,0
TEST,Moderna,2021,2,0,0,2099,0
TEST,Moderna,2021,2,0,0,2099,0
TEST,Pfizer,2021,2,34,34,2099,1.6
TEST,Pfizer,2021,2,34,0,2099,0
TEST,UKN,2021,2,0,0,2099,0
TEST,UKN,2021,2,0,0,2099,0
TEST,AstraZeneca,2021,3,0,0,2091,0
TEST,AstraZeneca,2021,3,0,0,2091,0
TEST,J&J,2021,3,0,0,2091,0
TEST,J&J,2021,3,0,0,2091,0
TEST,Moderna,2021,3,3,3,2091,0.1
TEST,Moderna,2021,3,3,0,2091,0
TEST,Pfizer,2021,3,42,41,2091,2
TEST,Pfizer,2021,3,42,1,2091,0
TEST,UKN,2021,3,0,0,2091,0
TEST,UKN,2021,3,0,0,2091,0
TEST,AstraZeneca,2021,4,0,0,2081,0
TEST,AstraZeneca,2021,4,0,0,2081,0
