sex,ageband_at_study_entry,Dose,type_vax,week,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
0,50-59,0,,2020-01-06,0,0,0,0,0,0,0,29795.74,0,0,29795.74,0,0,29795.74,0,0,29795.74,0,0,29795.74
1,18-24,0,,2020-01-06,0,0,0,0,0,0,0,89111.32,0,0,89111.32,0,0,89111.32,0,0,89111.32,0,0,89111.32
0,70-79,0,,2020-01-06,0,0,0,0,0,0,0,43533.55,0,0,43533.55,0,0,43533.55,0,0,43533.55,0,0,43533.55
0,0-4,0,,2020-01-06,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,40-49,0,,2020-01-06,0,0,0,0,0,0,0,30387.08,0,0,30387.08,0,0,30387.08,0,0,30387.08,0,0,30387.08
1,70-79,0,,2020-01-06,0,0,0,0,0,0,0,52304.47,0,0,52304.47,0,0,52304.47,0,0,52304.47,0,0,52304.47
1,25-29,0,,2020-01-06,0,0,0,0,0,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8
0,60-69,0,,2020-01-06,0,0,0,0,0,0,0,38828.91,0,0,38828.91,0,0,38828.91,0,0,38828.91,0,0,38828.91
1,60-69,0,,2020-01-06,0,0,0,0,0,0,0,41662.44,0,0,41662.44,0,0,41662.44,0,0,41662.44,0,0,41662.44
1,30-39,0,,2020-01-06,0,0,0,0,0,0,0,50920.76,0,0,50920.76,0,0,50920.76,0,0,50920.76,0,0,50920.76
1,40-49,0,,2020-01-06,0,0,0,0,0,0,0,34450.61,0,0,34450.61,0,0,34450.61,0,0,34450.61,0,0,34450.61
0,80+,0,,2020-01-06,0,0,0,0,0,0,0,44718.33,0,0,44718.33,0,0,44718.33,0,0,44718.33,0,0,44718.33
1,50-59,0,,2020-01-06,0,0,0,0,0,0,0,31392.43,0,0,31392.43,0,0,31392.43,0,0,31392.43,0,0,31392.43
1,80+,0,,2020-01-06,0,0,0,0,0,0,0,67200.16,0,0,67200.16,0,0,67200.16,0,0,67200.16,0,0,67200.16
0,30-39,0,,2020-01-06,0,0,0,0,0,0,0,48292.59,0,0,48292.59,0,0,48292.59,0,0,48292.59,0,0,48292.59
0,18-24,0,,2020-01-06,0,0,0,0,0,0,0,107530.98,0,0,107530.98,0,0,107530.98,0,0,107530.98,0,0,107530.98
1,5-11,0,,2020-01-06,0,0,0,0,0,0,0,110530.21,0,0,110530.21,0,0,110530.21,0,0,110530.21,0,0,110530.21
0,12-17,0,,2020-01-06,0,0,0,0,0,0,0,119553.08,0,0,119553.08,0,0,119553.08,0,0,119553.08,0,0,119553.08
0,25-29,0,,2020-01-06,0,0,0,0,0,0,0,111814.38,0,0,111814.38,0,0,111814.38,0,0,111814.38,0,0,111814.38
0,5-11,0,,2020-01-06,0,0,0,0,0,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13,0,0,143642.13
1,0-4,0,,2020-01-06,0,0,0,0,0,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73,0,0,370154.73
1,12-17,0,,2020-01-06,0,0,0,0,0,0,0,96240.23,0,0,96240.23,0,0,96240.23,0,0,96240.23,0,0,96240.23
0,50-59,0,,2020-01-13,0,0,0,0,0,0,0,29835.32,0,0,29835.32,0,0,29835.32,0,0,29835.32,0,0,29835.32
1,18-24,0,,2020-01-13,0,0,0,0,0,0,0,89111.32,0,0,89111.32,0,0,89111.32,0,0,89111.32,0,0,89111.32
0,70-79,0,,2020-01-13,0,0,0,0,0,0,0,43575.78,0,0,43575.78,0,0,43575.78,0,0,43575.78,0,0,43575.78
0,0-4,0,,2020-01-13,0,0,0,0,0,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47,0,0,349964.47
0,40-49,0,,2020-01-13,0,0,0,0,0,0,0,30435.13,0,0,30435.13,0,0,30435.13,0,0,30435.13,0,0,30435.13
1,70-79,0,,2020-01-13,0,0,0,0,0,0,0,52304.47,0,0,52304.47,0,0,52304.47,0,0,52304.47,0,0,52304.47
1,25-29,0,,2020-01-13,0,0,0,0,0,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8,0,0,106342.8
0,60-69,0,,2020-01-13,0,0,0,0,0,0,0,38986.2,0,0,38986.2,0,0,38986.2,0,0,38986.2,0,0,38986.2
1,60-69,0,,2020-01-13,0,0,0,0,0,0,0,41662.44,0,0,41662.44,0,0,41662.44,0,0,41662.44,0,0,41662.44
1,30-39,0,,2020-01-13,0,0,0,0,0,0,0,50920.76,0,0,50920.76,0,0,50920.76,0,0,50920.76,0,0,50920.76
1,40-49,0,,2020-01-13,0,0,0,0,0,0,0,34494.71,0,0,34494.71,0,0,34494.71,0,0,34494.71,0,0,34494.71
0,80+,0,,2020-01-13,0,0,0,0,0,0,0,44912.11,0,0,44912.11,0,0,44912.11,0,0,44912.11,0,0,44912.11
1,50-59,0,,2020-01-13,0,0,0,0,0,0,0,31451.06,0,0,31451.06,0,0,31451.06,0,0,31451.06,0,0,31451.06
1,80+,0,,2020-01-13,0,0,0,0,0,0,0,67672.69,0,0,67672.69,0,0,67672.69,0,0,67672.69,0,0,67672.69
0,30-39,0,,2020-01-13,0,0,0,0,0,0,0,48448.88,0,0,48448.88,0,0,48448.88,0,0,48448.88,0,0,48448.88
