sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-01-06,CV,0,0,0,0,0,0,0,36773.01,0,0,36773.01,0,0,36773.01,0,0,36773.01,0,0,36773.01
0,0,,2020-01-06,CV,0,0,0,0,0,0,0,33268.23,0,0,33268.23,0,0,33268.23,0,0,33268.23,0,0,33268.23
1,0,,2020-01-13,CV,0,0,0,0,0,0,0,36914.06,0,0,36914.06,0,0,36914.06,0,0,36914.06,0,0,36914.06
0,0,,2020-01-13,CV,0,0,0,0,0,0,0,33449.93,0,0,33449.93,0,0,33449.93,0,0,33449.93,0,0,33449.93
1,0,,2020-01-20,CV,0,0,0,0,0,0,0,36954.56,0,0,36954.56,0,0,36954.56,0,0,36954.56,0,0,36954.56
0,0,,2020-01-20,CV,0,0,0,0,0,0,0,33633.63,0,0,33633.63,0,0,33633.63,0,0,33633.63,0,0,33633.63
1,0,,2020-01-27,CV,0,0,0,0,0,0,0,37107.22,0,0,37107.22,0,0,37107.22,0,0,37107.22,0,0,37107.22
0,0,,2020-01-27,CV,0,0,0,0,0,0,0,33743.13,0,0,33743.13,0,0,33743.13,0,0,33743.13,0,0,33743.13
1,0,,2020-02-03,CV,0,0,0,0,0,0,0,37271.46,0,0,37271.46,0,0,37271.46,0,0,37271.46,0,0,37271.46
0,0,,2020-02-03,CV,0,0,0,0,0,0,0,33827.85,0,0,33827.85,0,0,33827.85,0,0,33827.85,0,0,33827.85
1,0,,2020-02-10,CV,0,0,0,0,0,0,0,37374.85,0,0,37374.85,0,0,37374.85,0,0,37374.85,0,0,37374.85
0,0,,2020-02-10,CV,0,0,0,0,0,0,0,33887.4,0,0,33887.4,0,0,33887.4,0,0,33887.4,0,0,33887.4
1,0,,2020-02-17,CV,0,0,0,0,0,0,0,37374.85,0,0,37374.85,0,0,37374.85,0,0,37374.85,0,0,37374.85
0,0,,2020-02-17,CV,0,0,0,0,0,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15
1,0,,2020-02-24,CV,0,0,0,0,0,0,0,37395.59,0,0,37395.59,0,0,37395.59,0,0,37395.59,0,0,37395.59
0,0,,2020-02-24,CV,0,0,0,0,0,0,0,34067.34,0,0,34067.34,0,0,34067.34,0,0,34067.34,0,0,34067.34
1,0,,2020-03-02,CV,0,0,0,0,0,0,0,37593.84,0,0,37593.84,0,0,37593.84,0,0,37593.84,0,0,37593.84
0,0,,2020-03-02,CV,0,0,0,0,0,0,0,34067.34,0,0,34067.34,0,0,34067.34,0,0,34067.34,0,0,34067.34
1,0,,2020-03-09,CV,0,0,0,0,0,0,0,37773.01,0,0,37773.01,0,0,37773.01,0,0,37773.01,0,0,37773.01
0,0,,2020-03-09,CV,0,0,0,0,0,0,0,34145.04,0,0,34145.04,0,0,34145.04,0,0,34145.04,0,0,34145.04
1,0,,2020-03-16,CV,0,0,0,0,0,0,0,37815.41,0,0,37815.41,0,0,37815.41,0,0,37815.41,0,0,37815.41
0,0,,2020-03-16,CV,0,0,0,0,0,0,0,34249.19,0,0,34249.19,0,0,34249.19,0,0,34249.19,0,0,34249.19
1,0,,2020-03-23,CV,0,0,0,0,0,0,0,37889.85,0,0,37889.85,0,0,37889.85,0,0,37889.85,0,0,37889.85
0,0,,2020-03-23,CV,0,0,0,0,0,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61,0,0,34266.61
1,0,,2020-03-30,CV,0,0,0,0,0,0,0,37911.18,0,0,37911.18,0,0,37911.18,0,0,37911.18,0,0,37911.18
0,0,,2020-03-30,CV,0,0,0,0,0,0,0,34424.2,0,0,34424.2,0,0,34424.2,0,0,34424.2,0,0,34424.2
1,0,,2020-04-06,CV,0,0,0,0,0,0,0,38061.11,0,0,38061.11,0,0,38061.11,0,0,38061.11,0,0,38061.11
0,0,,2020-04-06,CV,0,0,0,0,0,0,0,34441.8,0,0,34441.8,0,0,34441.8,0,0,34441.8,0,0,34441.8
1,0,,2020-04-13,CV,0,0,0,0,0,0,0,38114.94,0,0,38114.94,0,0,38114.94,0,0,38114.94,0,0,38114.94
0,0,,2020-04-13,CV,0,0,0,0,0,0,0,34494.71,0,0,34494.71,0,0,34494.71,0,0,34494.71,0,0,34494.71
1,0,,2020-04-20,CV,0,0,0,0,0,0,0,38201.4,0,0,38201.4,0,0,38201.4,0,0,38201.4,0,0,38201.4
0,0,,2020-04-20,CV,1,1,1,1,1,9358.19,236.93,52140.48,9358.19,236.93,52140.48,9358.19,236.93,52140.48,9358.19,236.93,52140.48,9358.19,236.93,52140.48
1,0,,2020-04-27,CV,0,0,0,0,0,0,0,38266.49,0,0,38266.49,0,0,38266.49,0,0,38266.49,0,0,38266.49
0,0,,2020-04-27,CV,0,0,0,0,0,0,0,34556.64,0,0,34556.64,0,0,34556.64,0,0,34556.64,0,0,34556.64
1,0,,2020-05-04,CV,0,0,0,0,0,0,0,38331.81,0,0,38331.81,0,0,38331.81,0,0,38331.81,0,0,38331.81
0,0,,2020-05-04,CV,0,0,0,0,0,0,0,34645.49,0,0,34645.49,0,0,34645.49,0,0,34645.49,0,0,34645.49
1,0,,2020-05-11,CV,0,0,0,0,0,0,0,38507.09,0,0,38507.09,0,0,38507.09,0,0,38507.09,0,0,38507.09
0,0,,2020-05-11,CV,0,0,0,0,0,0,0,34788.62,0,0,34788.62,0,0,34788.62,0,0,34788.62,0,0,34788.62
1,0,,2020-05-18,CV,0,0,0,0,0,0,0,38717.33,0,0,38717.33,0,0,38717.33,0,0,38717.33,0,0,38717.33
0,0,,2020-05-18,CV,0,0,0,0,0,0,0,34869.65,0,0,34869.65,0,0,34869.65,0,0,34869.65,0,0,34869.65
1,0,,2020-05-25,CV,0,0,0,0,0,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54
0,0,,2020-05-25,CV,1,0,0,0,0,9464.89,239.63,52734.98,0,0,34869.65,0,0,34869.65,0,0,34869.65,0,0,34869.65
1,0,,2020-06-01,CV,0,0,0,0,0,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54
0,0,,2020-06-01,CV,1,1,0,0,0,9469.8,239.75,52762.32,9452.64,239.32,52666.74,0,0,34869.65,0,0,34869.65,0,0,34869.65
1,0,,2020-06-08,CV,0,0,0,0,0,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54,0,0,38806.54
0,0,,2020-06-08,CV,0,0,0,0,0,0,0,34996.45,0,0,34932.93,0,0,34869.65,0,0,34869.65,0,0,34869.65
1,0,,2020-06-15,CV,0,0,0,0,0,0,0,38862.51,0,0,38862.51,0,0,38862.51,0,0,38862.51,0,0,38862.51
0,0,,2020-06-15,CV,0,0,0,0,0,0,0,34996.45,0,0,34932.93,0,0,34869.65,0,0,34869.65,0,0,34869.65
1,0,,2020-06-22,CV,0,0,0,0,0,0,0,39065.33,0,0,39065.33,0,0,39065.33,0,0,39065.33,0,0,39065.33
0,0,,2020-06-22,CV,1,0,0,0,0,9519.16,241,53037.34,0,0,35023.74,0,0,34960.13,0,0,34960.13,0,0,34960.13
1,0,,2020-06-29,CV,0,0,0,0,0,0,0,39201.72,0,0,39201.72,0,0,39201.72,0,0,39201.72,0,0,39201.72
0,0,,2020-06-29,CV,0,0,0,0,0,0,0,35262.06,0,0,35133.33,0,0,35069.32,0,0,35069.32,0,0,35069.32
1,0,,2020-07-06,CV,0,0,0,0,0,0,0,39304.64,0,0,39304.64,0,0,39304.64,0,0,39304.64,0,0,39304.64
0,0,,2020-07-06,CV,0,0,0,0,0,0,0,35317.52,0,0,35188.38,0,0,35124.17,0,0,35124.17,0,0,35124.17
1,0,,2020-07-13,CV,0,0,0,0,0,0,0,39442.72,0,0,39442.72,0,0,39442.72,0,0,39442.72,0,0,39442.72
0,0,,2020-07-13,CV,0,0,0,0,0,0,0,35401.03,0,0,35271.29,0,0,35206.77,0,0,35206.77,0,0,35206.77
1,0,,2020-07-20,CV,0,0,0,0,0,0,0,39488.96,0,0,39488.96,0,0,39488.96,0,0,39488.96,0,0,39488.96
0,0,,2020-07-20,CV,0,0,0,0,0,0,0,35447.6,0,0,35317.52,0,0,35252.83,0,0,35252.83,0,0,35252.83
1,0,,2020-07-27,CV,0,0,0,0,0,0,0,39710.09,0,0,39710.09,0,0,39710.09,0,0,39710.09,0,0,39710.09
0,0,,2020-07-27,CV,0,0,0,0,0,0,0,35494.29,0,0,35363.86,0,0,35299.01,0,0,35299.01,0,0,35299.01
1,0,,2020-08-03,CV,0,0,0,0,0,0,0,39780.43,0,0,39780.43,0,0,39780.43,0,0,39780.43,0,0,39780.43
0,0,,2020-08-03,CV,0,0,0,0,0,0,0,35513,0,0,35382.44,0,0,35317.52,0,0,35317.52,0,0,35317.52
1,0,,2020-08-10,CV,0,0,0,0,0,0,0,39898.23,0,0,39898.23,0,0,39898.23,0,0,39898.23,0,0,39898.23
0,0,,2020-08-10,CV,0,0,0,0,0,0,0,35513,0,0,35382.44,0,0,35317.52,0,0,35317.52,0,0,35317.52
1,0,,2020-08-17,CV,0,0,0,0,0,0,0,40316.07,0,0,40316.07,0,0,40316.07,0,0,40316.07,0,0,40316.07
0,0,,2020-08-17,CV,0,0,0,0,0,0,0,35531.73,0,0,35401.03,0,0,35336.04,0,0,35336.04,0,0,35336.04
1,0,,2020-08-24,CV,0,0,0,0,0,0,0,40376.48,0,0,40376.48,0,0,40376.48,0,0,40376.48,0,0,40376.48
0,0,,2020-08-24,CV,0,0,0,0,0,0,0,35672.84,0,0,35541.1,0,0,35475.6,0,0,35475.6,0,0,35475.6
1,0,,2020-08-31,CV,0,0,0,0,0,0,0,40461.36,0,0,40461.36,0,0,40461.36,0,0,40461.36,0,0,40461.36
0,0,,2020-08-31,CV,0,0,0,0,0,0,0,35739.08,0,0,35606.85,0,0,35541.1,0,0,35541.1,0,0,35541.1
1,0,,2020-09-07,CV,0,0,0,0,0,0,0,40522.2,0,0,40522.2,0,0,40522.2,0,0,40522.2,0,0,40522.2
0,0,,2020-09-07,CV,0,0,0,0,0,0,0,35777.04,0,0,35644.53,0,0,35578.64,0,0,35578.64,0,0,35578.64
1,0,,2020-09-14,CV,0,0,0,0,0,0,0,40583.23,0,0,40583.23,0,0,40583.23,0,0,40583.23,0,0,40583.23
0,0,,2020-09-14,CV,0,0,0,0,0,0,0,35777.04,0,0,35644.53,0,0,35578.64,0,0,35578.64,0,0,35578.64
1,0,,2020-09-21,CV,0,0,0,0,0,0,0,40767.42,0,0,40767.42,0,0,40767.42,0,0,40767.42,0,0,40767.42
0,0,,2020-09-21,CV,0,0,0,0,0,0,0,35796.05,0,0,35663.4,0,0,35597.44,0,0,35597.44,0,0,35597.44
1,0,,2020-09-28,CV,0,0,0,0,0,0,0,40866.34,0,0,40866.34,0,0,40866.34,0,0,40866.34,0,0,40866.34
0,0,,2020-09-28,CV,0,0,0,0,0,0,0,35891.4,0,0,35758.05,0,0,35691.74,0,0,35691.74,0,0,35691.74
1,0,,2020-10-05,CV,0,0,0,0,0,0,0,40891.14,0,0,40891.14,0,0,40891.14,0,0,40891.14,0,0,40891.14
0,0,,2020-10-05,CV,0,0,0,0,0,0,0,35968.05,0,0,35834.13,0,0,35767.54,0,0,35767.54,0,0,35767.54
