sex,month,year,Ageband,type_vax_1,history_covid,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible
0,June,2021,50-59,Pfizer,1,376,376,376,376,376,376,376,376,376,376,376,0,0,0,0,0,0,0,0,0,0,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28,0,0,358341.28
0,May,2021,70-79,AstraZeneca,0,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,5438,0,0,0,0,0,0,0,0,0,0,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82,0,0,24776.82
0,June,2021,70-79,AstraZeneca,0,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,5318,0,0,0,0,0,0,0,0,0,0,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9,0,0,25335.9
0,May,2021,50-59,Pfizer,0,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,2454,0,0,0,0,0,0,0,0,0,0,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78,0,0,54904.78
0,June,2021,50-59,Pfizer,0,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,6038,0,0,0,0,0,0,0,0,0,0,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73,0,0,22314.73
1,April,2021,70-79,Pfizer,0,545,545,545,545,545,545,545,545,545,545,545,0,0,0,0,0,0,0,0,0,0,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61,0,0,247222.61
1,May,2021,70-79,Pfizer,0,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,2375,0,0,0,0,0,0,0,0,0,0,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08,0,0,56731.08
1,April,2021,25-29,AstraZeneca,0,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06,0,0,1705523.06
1,May,2021,25-29,AstraZeneca,0,93,93,93,93,93,93,93,93,93,93,93,0,0,0,0,0,0,0,0,0,0,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66,0,0,1448777.66
1,June,2021,25-29,AstraZeneca,0,90,90,90,90,90,90,90,90,90,90,90,0,0,0,0,0,0,0,0,0,0,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25,0,0,1497070.25
