sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b
0,50-59,2020-01,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,19993,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-02,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,18591,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-03,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,19832,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-04,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,19092,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-05,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,19626,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-06,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,18871,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-07,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,19361,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-08,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,19276,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-09,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,18539,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-10,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,19019,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-11,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,18262,0,0,0,0,0,0,0,0,0,0
0,50-59,2020-12,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,18561,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-01,6703,6703,6703,6703,6703,6703,6703,6703,6703,6703,6703,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-02,6206,6206,6206,6206,6206,6206,6206,6206,6206,6206,6206,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-03,6620,6620,6620,6620,6620,6620,6620,6620,6620,6620,6620,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-04,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,6383,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-05,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,6512,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-06,6224,6224,6224,6224,6224,6224,6224,6224,6224,6224,6224,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-07,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,6403,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-08,6376,6376,6376,6376,6376,6376,6376,6376,6376,6376,6376,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-09,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,6150,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-10,6295,6295,6295,6295,6295,6295,6295,6295,6295,6295,6295,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-11,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,5987,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-12,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,6045,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-01,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,5904,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-02,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,5206,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-03,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,5624,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-04,5301,5301,5301,5301,5301,5301,5301,5301,5301,5301,5301,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-05,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,5259,0,0,0,0,0,0,0,0,0,0
1,18-24,2021-06,4409,4409,4409,4409,4409,4409,4409,4409,4409,4409,4409,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-01,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,13936,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-02,12929,12929,12929,12929,12929,12929,12929,12907,12929,12929,12929,0,0,0,0,0,0,1,0,0,0
0,70-79,2020-03,13745,13745,13745,13745,13745,13745,13745,13714,13745,13745,13745,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-04,13209,13209,13209,13209,13209,13209,13209,13179,13209,13209,13209,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-05,13571,13571,13571,13571,13571,13571,13571,13540,13571,13571,13571,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-06,13038,13038,13038,13038,13038,13038,13038,13008,13038,13038,13038,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-07,13340,13340,13340,13340,13340,13340,13340,13309,13340,13340,13340,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-08,13299,13299,13299,13299,13299,13299,13299,13268,13299,13299,13299,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-09,12836,12836,12836,12836,12836,12836,12836,12806,12836,12836,12836,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-10,13179,13179,13179,13179,13179,13179,13179,13148,13179,13179,13179,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-11,12670,12670,12670,12670,12670,12670,12670,12640,12670,12670,12670,0,0,0,0,0,0,0,0,0,0
0,70-79,2020-12,12997,12997,12997,12997,12997,12997,12997,12966,12997,12997,12997,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-01,12781,12781,12781,12781,12781,12781,12781,12750,12781,12781,12781,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-02,11315,11315,11315,11315,11315,11315,11315,11287,11315,11315,11315,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-03,12160,12160,12160,12160,12160,12160,12160,12129,12160,12160,12160,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-04,7613,7613,7613,7613,7613,7613,7613,7583,7613,7613,7613,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-05,3074,3074,3074,3074,3074,3074,3074,3068,3074,3074,3074,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-01,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,1271,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-02,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,1165,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-03,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-04,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-05,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-06,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-07,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-08,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,1240,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-09,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,1120,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-10,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,1133,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-11,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,1009,0,0,0,0,0,0,0,0,0,0
0,0-4,2020-12,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-01,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,1023,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-02,924,924,924,924,924,924,924,924,924,924,924,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-03,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-04,960,960,960,960,960,960,960,960,960,960,960,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-05,992,992,992,992,992,992,992,992,992,992,992,0,0,0,0,0,0,0,0,0,0
0,0-4,2021-06,948,948,948,948,948,948,948,948,948,948,948,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-01,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,17735,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-02,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,15044,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-03,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,15201,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-04,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,14169,0,0,0,0,0,0,0,0,0,0
0,50-59,2021-05,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,13197,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-01,11315,11315,11315,11315,11315,11315,11315,11284,11315,11315,11315,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-02,10576,10576,10576,10576,10576,10576,10576,10547,10576,10576,10576,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-03,11163,11163,11163,11163,11163,11163,11163,11132,11163,11163,11163,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-04,10699,10699,10699,10699,10699,10699,10699,10669,10699,10699,10699,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-05,10920,10920,10920,10920,10920,10920,10920,10889,10920,10920,10920,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-06,10495,10495,10495,10495,10495,10495,10495,10465,10495,10495,10495,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-07,10759,10759,10759,10759,10759,10759,10759,10728,10759,10759,10759,0,0,0,0,0,0,0,0,0,0
1,70-79,2020-08,10664,10664,10664,10664,10664,10664,10664,10633,10664,10664,10664,0,0,0,0,0,0,0,0,0,0
