sex,Dose,type_vax,week,riskfactor,COVID_L1plus_b,COVID_L2plus_b,COVID_L3plus_b,COVID_L4plus_b,COVID_L5plus_b,IR_COVID_L1plus,lb_COVID_L1plus,ub_COVID_L1plus,IR_COVID_L2plus,lb_COVID_L2plus,ub_COVID_L2plus,IR_COVID_L3plus,lb_COVID_L3plus,ub_COVID_L3plus,IR_COVID_L4plus,lb_COVID_L4plus,ub_COVID_L4plus,IR_COVID_L5plus,lb_COVID_L5plus,ub_COVID_L5plus
1,0,,2020-01-06,CV,0,0,0,0,0,0,0,36914.06,0,0,36914.06,0,0,36914.06,0,0,36914.06,0,0,36914.06
0,0,,2020-01-06,CV,0,0,0,0,0,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63,0,0,33383.63
1,0,,2020-01-13,CV,0,0,0,0,0,0,0,37056.19,0,0,37056.19,0,0,37056.19,0,0,37056.19,0,0,37056.19
0,0,,2020-01-13,CV,0,0,0,0,0,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6,0,0,33566.6
1,0,,2020-01-20,CV,0,0,0,0,0,0,0,37097,0,0,37097,0,0,37097,0,0,37097,0,0,37097
0,0,,2020-01-20,CV,0,0,0,0,0,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58,0,0,33751.58
1,0,,2020-01-27,CV,0,0,0,0,0,0,0,37250.85,0,0,37250.85,0,0,37250.85,0,0,37250.85,0,0,37250.85
0,0,,2020-01-27,CV,0,0,0,0,0,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86,0,0,33861.86
1,0,,2020-02-03,CV,0,0,0,0,0,0,0,37416.36,0,0,37416.36,0,0,37416.36,0,0,37416.36,0,0,37416.36
0,0,,2020-02-03,CV,0,0,0,0,0,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17,0,0,33947.17
1,0,,2020-02-10,CV,0,0,0,0,0,0,0,37520.56,0,0,37520.56,0,0,37520.56,0,0,37520.56,0,0,37520.56
0,0,,2020-02-10,CV,0,0,0,0,0,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15,0,0,34007.15
1,0,,2020-02-17,CV,0,0,0,0,0,0,0,37520.56,0,0,37520.56,0,0,37520.56,0,0,37520.56,0,0,37520.56
0,0,,2020-02-17,CV,0,0,0,0,0,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74,0,0,34127.74
1,0,,2020-02-24,CV,0,0,0,0,0,0,0,37541.47,0,0,37541.47,0,0,37541.47,0,0,37541.47,0,0,37541.47
0,0,,2020-02-24,CV,0,0,0,0,0,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36,0,0,34188.36
1,0,,2020-03-02,CV,0,0,0,0,0,0,0,37741.27,0,0,37741.27,0,0,37741.27,0,0,37741.27,0,0,37741.27
