sex,ageband_at_1_jan_2021,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,50-59,2021,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,2274,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2021,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,1590,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2020,324,324,324,324,324,324,324,324,324,324,324,324,324,0,0,0,0,0,0,0,0,0,0,0,0
0,30-39,2021,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,1899,0,0,0,0,0,0,0,0,0,0,0,0
1,40-49,2020,239,239,239,239,239,239,239,239,239,239,239,239,239,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2021,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2021,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,2418,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2020,96,96,96,96,96,96,96,96,96,96,96,96,96,0,0,0,0,0,0,0,0,0,0,0,0
1,50-59,2021,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2020,130,130,130,130,130,130,130,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0
0,12-17,2021,682,682,682,682,682,682,682,682,682,682,682,682,682,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020,130,130,130,130,130,130,130,130,130,130,130,130,130,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2021,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,1509,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2020,569,569,569,569,569,569,569,569,569,569,569,569,569,0,0,0,0,0,0,0,0,0,0,0,0
0,60-69,2021,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,2228,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2021,476,476,476,476,476,476,476,476,476,476,476,476,476,0,0,0,0,0,0,0,0,0,0,0,0
0,5-11,2020,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2020,275,275,275,275,275,275,275,275,275,275,275,275,275,0,0,0,0,0,0,0,0,0,0,0,0
0,25-29,2021,573,573,573,573,573,573,573,573,573,573,573,573,573,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2020,602,602,602,602,602,602,602,602,602,602,602,602,602,0,0,0,0,0,0,0,0,0,0,0,0
0,80+,2021,856,856,856,856,856,856,856,856,856,856,856,856,856,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2020,81,81,81,81,81,81,81,81,81,81,81,81,81,0,0,0,0,0,0,0,0,0,0,0,0
1,60-69,2021,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,1115,0,0,0,0,0,0,0,0,0,0,0,0
0,40-49,2020,696,696,696,696,696,696,696,696,696,696,696,696,696,0,0,0,0,0,0,0,0,0,0,0,0
0,50-59,2020,697,697,697,697,697,697,697,697,697,697,697,697,697,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,1211,0,0,0,0,0,0,0,0,0,0,0,0
1,30-39,2020,412,412,412,412,412,412,412,412,412,412,412,412,412,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2020,79,79,79,79,79,79,79,79,79,79,79,79,79,0,0,0,0,0,0,0,0,0,0,0,0
1,80+,2021,592,592,592,592,592,592,592,592,592,592,592,592,592,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021,480,480,480,480,480,480,480,480,480,480,480,480,480,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2021,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,1049,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2021,795,795,795,795,795,795,795,795,795,795,795,795,795,0,0,0,0,0,0,0,0,0,0,0,0
1,25-29,2020,115,115,115,115,115,115,115,115,115,115,115,115,115,0,0,0,0,0,0,0,0,0,0,0,0
1,12-17,2020,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0
1,5-11,2021,128,128,128,128,128,128,128,128,128,128,128,128,128,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2021,253,253,253,253,253,253,253,253,253,253,253,253,253,0,0,0,0,0,0,0,0,0,0,0,0
1,70-79,2020,116,116,116,116,116,116,116,116,116,116,116,116,116,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2020,40,40,40,40,40,40,40,40,40,40,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020,109,109,109,109,109,109,109,109,109,109,109,109,109,0,0,0,0,0,0,0,0,0,0,0,0
