sex,ageband_at_1_jan_2021,type_vax_1,history_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
0,50-59,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37,0,0,138760.37
0,70-79,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84,0,0,9363.84
0,50-59,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83,0,0,10551.83
0,60-69,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27,0,0,14832.27
0,80+,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68,0,0,4360.68
0,40-49,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55,0,0,155047.55
0,40-49,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6,0,0,15681.6
0,30-39,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81,0,0,67774.81
0,70-79,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37,0,0,16280.37
0,18-24,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58,0,0,201399.58
0,60-69,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09,0,0,60939.09
0,30-39,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3,0,0,160975.3
0,60-69,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74,0,0,30895.74
0,18-24,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07,0,0,101458.07
0,30-39,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12,0,0,32404.12
0,50-59,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316,0,0,29316
0,40-49,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9,0,0,26775.9
0,40-49,Pfizer,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84,0,0,294827.84
0,60-69,J&J,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5,0,0,1981416.5
0,25-29,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28,0,0,78839.28
0,50-59,AstraZeneca,1,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83,0,0,1192356.83
0,12-17,Pfizer,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77,0,0,705425.77
0,60-69,J&J,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04,0,0,141233.04
0,50-59,Moderna,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36,0,0,56304.36
0,25-29,AstraZeneca,0,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97,0,0,102072.97
