meaning_of_first_event,coding_system_of_code_first_event,code_first_event,count_n
hospitalisation_primary,ICD9,43401,3
<<<<<<< HEAD
hospitalisation_primary,ICD9,43411,6
=======
hospitalisation_primary,ICD9,43411,5
>>>>>>> a2bd58d4164d12b33695c48ea45fe56349d60f07
exemption,ICD9,434,1
hospitalisation_primary,ICD9,43400,2
hospitalisation_primary,ICD9,4358,2
hospitalisation_secondary,ICD9,43401,2
hospitalisation_primary,ICD9,43491,1
hospitalisation_secondary,ICD9,43411,1
hospitalisation_secondary,ICD9,4359,1
